ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3014	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	3014	680,808,599	1,7,2	607,570,687	28,30,35	125	74	0.0	0.0	0.998,0.986,0.994	0.928,0.918,0.921	0.07
3345	"FBgn0024491"	"Bin1"	chr3R	-	16189202	16189387	16189202	16189374	16189504	16189564	3345	61,90,46	10,25,17	128,107,131	213,152,205	87	74	0.0	0.0	0.838,0.754,0.697	0.338,0.375,0.352	0.408
3349	"FBgn0024491"	"Bin1"	chr3R	-	16189198	16189416	16189198	16189374	16189504	16189564	3349	123,203,123	10,25,17	283,237,286	213,152,205	116	74	0.0	0.0	0.887,0.838,0.822	0.459,0.499,0.471	0.373
3351	"FBgn0024491"	"Bin1"	chr3R	-	16189198	16189403	16189198	16189374	16189504	16189564	3351	97,149,105	10,25,17	229,173,218	213,152,205	103	74	0.0	0.0	0.875,0.811,0.816	0.436,0.45,0.433	0.394
4817	"FBgn0034858"	"eIF2B-delta"	chr2R	+	23386941	23387612	23387006	23387612	23386520	23386622	4817	63,95,81	19,15,22	51,30,63	89,52,83	139	74	0.0	0.0	0.638,0.771,0.662	0.234,0.235,0.288	0.438
613	"FBgn0039187"	"CG6454"	chr3R	+	24350726	24352351	24352052	24352351	24349889	24350235	613	92,83,52	65,84,79	187,184,280	43,52,84	1400	74	0.0	0.0	0.07,0.05,0.034	0.187,0.158,0.15	-0.114
6405	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678623	6405	3141,4339,3192	10,13,10	3082,2493,3327	69,34,59	744	74	0.0	0.0	0.969,0.971,0.969	0.816,0.879,0.849	0.122
7043	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	7043	13,25,11	63,58,68	247,209,340	71,51,81	1361	74	0.0	0.0	0.011,0.023,0.009	0.159,0.182,0.186	-0.161
7047	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	7047	9,18,26	154,201,184	92,88,105	191,158,204	304	74	0.0	0.0	0.014,0.021,0.033	0.105,0.119,0.111	-0.089
8401	"FBgn0002783"	"mor"	chr3R	-	15968574	15969594	15968574	15969402	15969881	15970092	8401	868,1171,993	42,40,54	793,678,781	110,105,110	266	74	0.0	0.0	0.852,0.891,0.836	0.667,0.642,0.664	0.202
9718	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884621	9884687	9718	403,583,417	9,11,10	519,339,513	46,47,68	278	74	0.0	0.0	0.923,0.934,0.917	0.75,0.658,0.668	0.233
6203	"FBgn0022160"	"Gpo-1"	chr2R	-	15860600	15860753	15860600	15860722	15862682	15862755	6203	58,69,51	1,1,0	117,86,143	36,17,35	105	74	2.77555756156e-15	2.20957511547e-12	0.976,0.98,1.0	0.696,0.781,0.742	0.246
2655	"FBgn0051151"	"wge"	chr3R	-	22714533	22716664	22714533	22716631	22716933	22717050	2655	10,39,19	52,73,46	72,60,67	17,18,35	107	74	5.77315972805e-15	4.2423842217e-12	0.117,0.27,0.222	0.745,0.697,0.57	-0.468
8985	"FBgn0039690"	"CG1969"	chr3R	+	29741655	29741904	29741767	29741904	29741149	29741369	8985	170,234,201	12,15,22	167,111,136	57,37,48	186	74	7.1054273576e-15	4.84843911051e-12	0.849,0.861,0.784	0.538,0.544,0.53	0.294
8058	"FBgn0037215"	"CG12582"	chr3R	+	4197628	4197871	4197736	4197871	4197205	4197562	8058	24,33,31	146,197,130	85,70,115	149,117,175	182	74	2.60902410787e-14	1.66160048683e-11	0.063,0.064,0.088	0.188,0.196,0.211	-0.127
7472	"FBgn0266186"	"Vamp7"	chr2R	-	9841846	9842225	9841846	9842167	9842300	9842502	7472	27,78,49	322,345,243	156,83,116	289,235,244	132	74	4.98490138057e-14	2.97629768054e-11	0.045,0.112,0.102	0.232,0.165,0.21	-0.116
1278	"FBgn0037580"	"DppIII"	chr3R	+	8344580	8344819	8344808	8344819	8344399	8344483	1278	10,8,3	63,117,79	30,29,46	68,66,86	302	74	7.59392548844e-14	4.267339423e-11	0.037,0.016,0.009	0.098,0.097,0.116	-0.083
4477	"FBgn0038742"	"Arc42"	chr3R	+	19877968	19878208	19878005	19878208	19877736	19877911	4477	159,225,155	2,0,1	220,200,272	27,17,19	111	74	8.20454815198e-14	4.35433602755e-11	0.981,1.0,0.99	0.845,0.887,0.905	0.111
4475	"FBgn0038742"	"Arc42"	chr3R	+	19877972	19878208	19878005	19878208	19877736	19877911	4475	159,225,155	2,0,1	221,200,271	27,17,19	107	74	9.43689570931e-14	4.7447718269e-11	0.982,1.0,0.991	0.85,0.891,0.908	0.108
4473	"FBgn0038742"	"Arc42"	chr3R	+	19877984	19878208	19878005	19878208	19877736	19877911	4473	159,225,155	2,0,1	222,200,269	27,17,19	95	74	1.47326595368e-13	7.03705482775e-11	0.984,1.0,0.992	0.865,0.902,0.917	0.097
8891	"FBgn0034968"	"RpL12"	chr2R	+	24060624	24060744	24060675	24060744	24060453	24060574	8891	1048,931,832	13121,17942,14259	667,512,588	20545,14686,19145	125	74	1.59317004034e-13	7.24740637875e-11	0.045,0.03,0.033	0.019,0.02,0.018	0.017
8895	"FBgn0034968"	"RpL12"	chr2R	+	24060634	24060753	24060675	24060753	24060453	24060574	8895	1048,930,830	13121,17942,14259	667,513,588	20545,14686,19145	115	74	1.81077375316e-13	7.86287348361e-11	0.049,0.032,0.036	0.02,0.022,0.019	0.019
2657	"FBgn0051151"	"wge"	chr3R	-	22714533	22716667	22714533	22716631	22716933	22717050	2657	4,8,7	52,73,46	28,22,24	17,18,35	110	74	2.02393657389e-13	8.40637656103e-11	0.049,0.069,0.093	0.526,0.451,0.316	-0.361
6136	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526416	17524703	17526317	17526833	17526983	6136	381,446,295	1,4,1	314,261,386	17,17,20	173	74	2.55240273361e-13	1.01596263809e-10	0.994,0.979,0.992	0.888,0.868,0.892	0.106
4470	"FBgn0038742"	"Arc42"	chr3R	+	19877998	19878208	19878005	19878208	19877736	19877911	4470	155,217,154	2,0,1	216,198,266	27,17,19	81	74	3.3317792969e-13	1.27313950493e-10	0.986,1.0,0.993	0.88,0.914,0.927	0.086
8672	"FBgn0261822"	"Bsg"	chr2L	+	8089184	8089736	8089490	8089736	8083419	8083521	8672	1183,1692,1214	8,7,8	1352,1046,1413	30,30,42	380	74	4.85500528669e-13	1.78384098091e-10	0.966,0.979,0.967	0.898,0.872,0.868	0.091
730	"FBgn0035438"	"PHGPx"	chr3L	+	3326464	3326523	3326522	3326523	3326264	3326367	730	254,359,295	6,14,7	237,204,255	37,26,34	132	74	5.86863890817e-13	2.07641138851e-10	0.96,0.935,0.959	0.782,0.815,0.808	0.15
6137	"FBgn0263197"	"Patronin"	chr2R	-	17524703	17526413	17524703	17526317	17526833	17526983	6137	247,284,191	1,4,1	229,158,257	17,17,20	170	74	6.71351862991e-13	2.29050869541e-10	0.991,0.969,0.988	0.854,0.802,0.848	0.148
2989	"FBgn0004587"	"B52"	chr3R	+	13662954	13663055	13662969	13663055	13662296	13662404	2989	58,69,57	638,717,581	119,103,126	532,414,563	89	74	1.34658950657e-12	4.43585157113e-10	0.07,0.074,0.075	0.157,0.171,0.157	-0.089
1407	"FBgn0036821"	"CG3961"	chr3L	-	18887552	18887732	18887552	18887697	18890189	18890231	1407	237,367,239	0,3,0	279,206,267	19,20,8	109	74	1.48425716162e-12	4.72636955499e-10	1.0,0.988,1.0	0.909,0.875,0.958	0.082
729	"FBgn0035438"	"PHGPx"	chr3L	+	3326419	3326523	3326522	3326523	3326264	3326367	729	372,508,439	6,14,7	359,321,375	37,26,34	177	74	1.59383617415e-12	4.91158611989e-10	0.963,0.938,0.963	0.802,0.838,0.822	0.134
728	"FBgn0035438"	"PHGPx"	chr3L	+	3326432	3326523	3326522	3326523	3326264	3326367	728	338,461,392	6,14,7	326,282,344	37,26,34	164	74	1.72173386659e-12	5.1399136336e-10	0.962,0.937,0.962	0.799,0.83,0.82	0.137
6763	"FBgn0000100"	"RpLP0"	chr3L	+	22076216	22076335	22076247	22076335	22076091	22076136	6763	652,521,404	4626,9317,7133	459,400,464	11651,9477,11442	105	74	1.95188309959e-12	5.65040583345e-10	0.09,0.038,0.038	0.027,0.029,0.028	0.027
1775	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18248208	18248339	18248232	18248339	18247970	18248151	1775	4668,5509,4253	1204,1400,1135	3771,2951,3691	1784,1399,1731	98	74	2.66719979436e-12	7.49404695162e-10	0.745,0.748,0.739	0.615,0.614,0.617	0.129
8713	"FBgn0261822"	"Bsg"	chr2L	+	8089184	8089736	8089490	8089736	8088303	8088453	8713	1226,1729,1220	7,16,8	1342,1050,1438	45,25,44	380	74	2.89590573743e-12	7.90416785991e-10	0.972,0.955,0.967	0.853,0.891,0.864	0.095
1301	"FBgn0260749"	"Utx"	chr2L	-	10273965	10274105	10273965	10274090	10274164	10274868	1301	42,59,32	23,33,22	82,69,93	10,10,7	89	74	5.33428856642e-12	1.41551274097e-09	0.603,0.598,0.547	0.872,0.852,0.917	-0.298
8673	"FBgn0261822"	"Bsg"	chr2L	+	8089393	8089736	8089490	8089736	8083419	8083521	8673	851,1284,876	8,7,8	1057,813,1131	30,30,42	171	74	5.50781642517e-12	1.42205865702e-09	0.979,0.988,0.979	0.938,0.921,0.921	0.055
