ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1228	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1228	1942,1572,1709	296,220,225	3945,2732,3565	202,173,152	270	74	0.0	0.0	0.643,0.662,0.676	0.843,0.812,0.865	-0.18
2306	"FBgn0264693"	"ens"	chr3L	-	4133548	4133656	4131955	4132212	4133768	4133822	2306	40,39,25	93,103,82	6,8,7	179,187,224	182	74	0.0	0.0	0.149,0.133,0.11	0.013,0.017,0.013	0.116
2363	"FBgn0023213"	"eIF4G"	chr4	-	927392	928151	926010	926661	929821	930023	2363	78,93,35	289,225,163	398,398,405	293,456,387	833	74	0.0	0.0	0.023,0.035,0.019	0.108,0.072,0.085	-0.063
2523	"FBgn0032938"	"CG8671"	chr2L	+	21279883	21280447	21275723	21275806	21281131	21281337	2523	138,134,128	81,62,51	45,78,63	118,94,127	638	74	0.0	0.0	0.165,0.2,0.225	0.042,0.088,0.054	0.135
3334	"FBgn0262614"	"pyd"	chr3R	-	8828834	8831005	8827067	8828318	8832141	8832274	3334	1167,990,1037	29,24,42	1754,1724,2093	4,10,7	2245	74	0.0	0.0	0.57,0.576,0.449	0.935,0.85,0.908	-0.366
3413	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3413	195,195,179	1686,1380,1417	65,70,65	1736,2098,2587	107	74	0.0	0.0	0.074,0.089,0.08	0.025,0.023,0.017	0.059
3486	"FBgn0053558"	"mim"	chr2R	-	6927389	6928262	6926669	6926821	6928508	6928836	3486	109,118,112	79,46,63	32,55,35	85,90,110	947	74	0.0	0.0	0.097,0.167,0.122	0.029,0.046,0.024	0.096
3490	"FBgn0053558"	"mim"	chr2R	-	6927389	6928148	6926669	6926821	6928508	6928836	3490	103,114,96	79,46,63	27,51,31	85,90,110	833	74	0.0	0.0	0.104,0.18,0.119	0.027,0.048,0.024	0.101
3579	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3579	145,99,123	420,381,415	14,7,12	305,369,434	164	74	0.0	0.0	0.135,0.105,0.118	0.02,0.008,0.012	0.106
3597	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3597	430,380,360	62,56,62	206,237,278	262,298,313	170	74	0.0	0.0	0.751,0.747,0.717	0.255,0.257,0.279	0.475
