ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2132	"FBgn0003475"	"spir"	chr2L	+	20339244	20339375	20339979	20340112	20336469	20336549	20343598	20343672	2132	609,647,650	476,499,478	774,599,884	163,219,259	205	207	0.0	0.0	0.564,0.567,0.579	0.827,0.734,0.775	-0.209
2153	"FBgn0035162"	"CG13900"	chr3L	-	827181	827236	830621	830728	826945	827001	830907	831242	2153	578,565,461	1584,1242,1576	448,603,611	397,486,459	181	129	0.0	0.0	0.206,0.245,0.173	0.446,0.469,0.487	-0.259
2229	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604582	5604650	2229	722,398,456	474,404,499	145,201,243	738,677,857	123	187	0.0	0.0	0.698,0.6,0.581	0.23,0.311,0.301	0.346
2247	"FBgn0250823"	"gish"	chr3R	+	16274151	16275169	16289630	16289839	16273000	16273330	16292723	16292834	2247	2449,2286,1739	925,846,733	3425,2947,3721	587,612,647	1092	283	0.0	0.0	0.407,0.412,0.381	0.602,0.555,0.598	-0.185
2249	"FBgn0250823"	"gish"	chr3R	+	16293986	16294153	16295668	16295820	16292723	16292834	16296661	16296776	2249	598,564,522	428,393,379	591,709,704	176,201,160	241	226	0.0	0.0	0.567,0.574,0.564	0.759,0.768,0.805	-0.209
2299	"FBgn0040068"	"Vav"	chrX	+	19264684	19265306	19269256	19269365	19263880	19263955	19269483	19269651	2299	26,27,44	54,49,38	8,7,5	79,103,100	696	183	0.0	0.0	0.112,0.127,0.233	0.026,0.018,0.013	0.138
2320	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2320	54013,46561,57021	15187,13866,17793	31355,45297,43627	3301,7091,5498	477	191	0.0	0.0	0.587,0.573,0.562	0.792,0.719,0.761	-0.183
2328	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2328	78,84,97	269,225,277	0,4,1	200,200,236	339	315	0.0	0.0	0.212,0.258,0.246	0.0,0.018,0.004	0.231
23	"FBgn0036926"	"CG7646"	chr3L	+	19993264	19993322	19994167	19994735	19991886	19992042	19994807	19994951	23	240,171,186	279,207,202	172,199,225	70,73,69	132	642	0.0	0.0	0.807,0.801,0.817	0.923,0.93,0.941	-0.123
2447	"FBgn0025936"	"Eph"	chr4	+	618692	619063	619636	619783	618347	618476	619847	620107	2447	411,280,336	265,260,276	741,740,943	212,236,235	445	221	0.0	0.0	0.435,0.348,0.377	0.634,0.609,0.666	-0.25
2485	"FBgn0028494"	"CG6424"	chr2R	-	17706353	17708045	17715705	17717749	17703334	17705190	17719173	17719346	2485	1739,1605,1298	1859,1726,1737	2081,1861,2274	881,1017,1055	2118	1766	0.0	0.0	0.438,0.437,0.384	0.663,0.604,0.643	-0.217
2495	"FBgn0027567"	"CG8108"	chr3L	+	9865057	9865398	9866313	9866361	9864638	9864802	9867313	9867744	2495	1218,981,963	114,95,88	1648,1623,2069	35,67,55	415	122	0.0	0.0	0.759,0.752,0.763	0.933,0.877,0.917	-0.151
2496	"FBgn0027567"	"CG8108"	chr3L	+	9865079	9865398	9866313	9866361	9864638	9864802	9867313	9867744	2496	945,787,784	114,95,88	1241,1283,1591	35,67,55	393	122	0.0	0.0	0.72,0.72,0.734	0.917,0.856,0.9	-0.166
2577	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2577	585,638,608	401,353,377	366,497,577	58,93,83	206	206	0.0	0.0	0.593,0.644,0.617	0.863,0.842,0.874	-0.242
