target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2436.38	0	0
FBtr0299728	3946	3862.03	0	0
FBtr0333191	4111	4138.44	0	0
FBtr0077629	1785	1709.26	754.389	21.9465
FBtr0077628	998	836.864	6	0.356512
FBtr0077623	619	443.483	0	0
FBtr0077622	415	237.824	14.6256	3.05798
FBtr0077621	391	221.718	1752.39	393.012
FBtr0077627	2889	2671.16	1439.87	26.8042
FBtr0077626	2998	2784.66	3245.93	57.9622
FBtr0077625	3088	2876.3	591.2	10.2207
FBtr0072052	1410	1298.55	135140	5174.91
FBtr0072051	788	612.383	0	0
FBtr0072050	1249	1073.38	0	0
FBtr0072057	870	625.797	125	9.93241
FBtr0072056	1052	876.383	0	0
FBtr0072059	1221	1053.66	5	0.235965
FBtr0072058	3845	3826.31	1157.95	15.0484
FBtr0088225	1139	1018.48	5049.67	246.541
FBtr0088224	1076	959.048	30.329	1.57252
FBtr0088227	3220	3007.23	1673.26	27.6679
FBtr0088226	724	529.134	1118.79	105.138
FBtr0088221	1200	996.631	0	0
FBtr0088223	1523	1257.36	1838.68	72.7152
FBtr0088222	1138	988.343	107	5.38337
FBtr0088228	1549	1508.42	3930	129.554
FBtr0308321	6762	7007.29	108.567	0.770416
FBtr0308320	3151	3258.12	8.41008	0.128355
FBtr0308323	6713	6861.2	0	0
FBtr0308322	3799	4009.61	27.1849	0.337135
FBtr0308325	7938	7527.33	0	0
FBtr0308324	6806	7039.15	0	0
FBtr0308327	8457	8132.53	43.8158	0.267907
FBtr0308326	6286	5835.07	734.724	6.26118
FBtr0308329	7097	6685.51	1655.26	12.3114
FBtr0308328	8643	8335.68	50.2582	0.299808
FBtr0085138	2050	1826.13	590.038	16.0667
FBtr0085139	1909	1678.5	1739.93	51.5451
FBtr0085132	2635	2501.84	1750	34.7821
FBtr0085133	1130	1058.98	1	0.0469557
FBtr0085130	2897	2809.5	6	0.106194
FBtr0085131	1556	1457.05	1123	38.325
FBtr0085136	1514	1338.38	0	0
FBtr0085137	2128	1899.44	654.896	17.1445
FBtr0085135	1054	949.718	2	0.104716
FBtr0080989	852	676.383	0	0
FBtr0332234	4146	3970.38	0	0
FBtr0333107	9521	9793.4	2.9384e-05	1.49195e-07
FBtr0073015	1296	1172.17	1219	51.7121
FBtr0073016	3020	2916.38	4922	83.9219
FBtr0309054	3821	3645.38	0	0
FBtr0309055	754	538.721	273.938	25.2853
FBtr0309056	4422	4144.73	18	0.21595
FBtr0333100	2497	2151.02	49.3677	1.14124
FBtr0333109	9722	9985.68	3527.42	17.5654
FBtr0333108	9265	9483.24	124.752	0.654139
FBtr0303755	710	503.84	2	0.197386
FBtr0303757	5340	5452.64	0	0
FBtr0303756	4522	4458.34	317.355	3.53957
FBtr0303751	3009	3010.28	368.851	6.09288
FBtr0303750	11586	11901.5	115.914	0.484297
FBtr0088736	432	234.3	3	0.636687
FBtr0303759	3841	3574.28	133.453	1.8566
FBtr0303758	1942	1741.71	6.70209	0.191343
FBtr0345678	4114	3614.08	12.4614	0.171453
FBtr0309588	112	17.5949	0	0
FBtr0309583	103	16.7377	0	0
FBtr0309580	134	21.4867	0	0
FBtr0309586	111	17.4906	0	0
FBtr0110942	2184	2124.03	94.6972	2.21694
FBtr0110941	5141	4902.76	2961.45	30.036
FBtr0110947	892	752.894	2.23187e-06	1.47406e-07
FBtr0110944	706	544.992	12	1.09489
FBtr0081259	2062	2020.96	510	12.5485
FBtr0081258	1366	1330.94	1241	46.365
FBtr0081253	2305	2171.24	0	0
FBtr0081252	703	519.655	2	0.191378
FBtr0081251	1316	1269.84	2	0.0783175
FBtr0081250	657	494.918	6	0.602831
FBtr0081257	1146	970.573	0	0
FBtr0082052	4958	4896.33	289.798	2.94308
FBtr0081254	4694	4677.44	11168.1	118.726
FBtr0082053	2836	2671.09	31.0328	0.577712
FBtr0345674	4482	4315.14	265.706	3.06185
FBtr0082055	1684	1572.25	59.0335	1.86704
FBtr0074549	920	744.383	0	0
FBtr0082056	2113	1949.93	63.9665	1.63122
FBtr0080588	2343	2167.38	0	0
FBtr0074540	843	691.548	298	21.4275
FBtr0074546	2397	2221.38	0	0
FBtr0074545	5686	4890.01	0	0
FBtr0334600	908	732.383	0	0
FBtr0333173	2668	2492.38	0	0
FBtr0334609	6583	6940.28	0	0
FBtr0086860	1402	1242.8	9	0.360097
FBtr0305494	2809	2913.64	26.9936	0.460684
FBtr0305495	1465	1425.57	3603.05	125.678
FBtr0305497	2042	1733.61	219.722	6.3023
FBtr0305490	3539	3363.38	0	0
FBtr0305491	3549	3373.38	0	0
FBtr0072952	5184	5496.13	1333.78	12.0671
FBtr0305498	2839	2561.61	0	0
FBtr0305499	6954	5736.35	399.928	3.46676
FBtr0112516	1168	1073.57	443.934	20.562
FBtr0112514	907	710.013	6	0.420207
FBtr0079629	5311	5293.52	176.662	1.6595
FBtr0112512	1484	1315.84	73	2.75866
FBtr0112511	2239	2171.2	43.2746	0.991085
FBtr0112510	1761	1463.98	13.1497	0.446643
FBtr0112519	686	465.977	0	0
FBtr0305148	1226	1074.17	1	0.0462919
FBtr0305149	3468	3272.56	321.739	4.88872
FBtr0305147	3283	2905.35	591.255	10.1194
FBtr0305145	26263	29113.9	432.734	0.739092
FBtr0305142	48068	50311	202.478	0.200121
FBtr0305141	47440	49445.6	0	0
FBtr0309872	2605	2552.81	169.203	3.29586
FBtr0309873	2158	1973.14	186.37	4.69673
FBtr0309871	1493	1278.92	114.918	4.46811
FBtr0309874	2794	2618.38	0	0
FBtr0309875	1689	1513.38	0	0
FBtr0085961	614	449.02	73745.1	8166.69
FBtr0309878	717	541.404	0	0
FBtr0309879	3569	3393.38	0	0
FBtr0085964	2636	2378.63	2741.33	57.3075
FBtr0085966	1802	1626.38	0	0
FBtr0300516	3808	3565.41	514.17	7.17093
FBtr0300514	3961	3719.69	563.482	7.53271
FBtr0300515	3853	3602.08	998.283	13.7809
FBtr0300512	3710	3266.86	234.137	3.56383
FBtr0300513	3785	3550.01	666.696	9.33849
FBtr0300510	4228	4310.11	13.6569	0.157558
FBtr0300511	4132	3807	1139.77	14.8872
FBtr0089636	2457	2392.95	585.652	12.1698
FBtr0089631	1839	1714.79	19.3138	0.56006
FBtr0089630	1991	1815.38	0	0
FBtr0089633	1759	1640.22	62.5034	1.89488
FBtr0300519	4454	4227.55	1706.8	20.0758
FBtr0301645	2732	2617.05	3	0.0570015
FBtr0301644	1930	1942.93	14.5684	0.37285
FBtr0301647	2611	2626.82	0.072962	0.00138116
FBtr0083490	1134	998.083	1980.34	98.6623
FBtr0301640	1148	972.383	0	0
FBtr0301643	2159	2144.97	501.332	11.622
FBtr0083498	914	746.544	1	0.0666074
FBtr0301649	1878	1702.38	0	0
FBtr0301648	1225	1155.29	0	0
FBtr0079883	4136	3885.82	207.966	2.66126
FBtr0079885	2323	2222.89	1047.8	23.439
FBtr0079884	1602	1488.69	379.48	12.6754
FBtr0079887	2224	2128.51	101.725	2.37645
FBtr0079886	2250	2150.64	121.749	2.815
FBtr0079889	2872	2691.24	2988	55.2085
FBtr0079888	791	671.932	3964.49	293.386
FBtr0091914	595	428.5	0.000889543	0.000103227
FBtr0091916	498	322.923	0	0
FBtr0091911	412	231.415	0	0
FBtr0091910	595	429.182	0.000118746	1.3758e-05
FBtr0091913	413	224.772	195.677	43.2888
FBtr0091912	595	429.182	0.000118746	1.3758e-05
FBtr0100187	2024	1864.13	0	0
FBtr0100186	3834	3469.77	4	0.0573241
FBtr0100185	4288	3920.03	0	0
FBtr0100184	4749	4815.72	0	0
FBtr0100183	1753	1540.72	19931.8	643.28
FBtr0100182	974	777.602	0	0
FBtr0100188	1161	985.383	0	0
FBtr0076530	618	448.232	78	8.65305
FBtr0084618	750	574.404	0	0
FBtr0084619	3826	3901.51	1.05078	0.0133924
FBtr0084611	1152	976.383	0	0
FBtr0084613	946	730.907	1	0.0680324
FBtr0084614	1047	871.383	0	0
FBtr0084617	1139	963.383	0	0
FBtr0345502	765	589.404	0	0
FBtr0345503	692	516.421	0	0
FBtr0345500	2242	2000.66	60.6398	1.50717
FBtr0082721	707	597.368	875.047	72.8395
FBtr0082726	2913	2896.18	51.4936	0.884109
FBtr0345507	6975	6533.04	716.891	5.45652
FBtr0345504	1177	1042.64	779.542	37.1778
FBtr0345505	1864	1729.11	627	18.0312
FBtr0345508	1474	1322.39	28.559	1.07389
FBtr0345509	2972	2796.38	0	0
FBtr0100459	1649	1479.64	0	0
FBtr0100451	725	595.977	12.6285	1.05366
FBtr0100453	942	840.066	8.7434	0.517541
FBtr0100452	829	676.767	337.821	24.8213
FBtr0100455	2462	2286.38	0	0
FBtr0100454	3868	3581.45	0	0
FBtr0100457	3616	3320.61	1057.83	15.8408
FBtr0100456	1515	1339.38	0	0
FBtr0075155	1519	1312.83	11.8141	0.447478
FBtr0346086	1082	906.383	0	0
FBtr0346087	16734	17993.6	114	0.315039
FBtr0346085	825	618.792	53.2401	4.27831
FBtr0346082	3668	3616.69	804.618	11.0626
FBtr0346083	1532	1457.12	5	0.170628
FBtr0346088	3339	3169.61	0	0
FBtr0346089	1349	1148.39	4014.64	173.834
FBtr0331336	8450	7565.06	119.945	0.788402
FBtr0331337	3548	3415.07	0	0
FBtr0331334	2004	1828.38	0	0
FBtr0331335	3593	3417.38	0	0
FBtr0331332	2404	2228.38	0	0
FBtr0331333	2041	1865.38	0	0
FBtr0331330	4723	4699.38	736.79	7.79617
FBtr0331331	3555	3190.03	2	0.0311755
