ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1027	"FBgn0051855"	"CG31855"	chr2L	+	13369203	13370329	13369203	13369323	13369385	13370329	1027	97	465	176	196	136	75	0.0	0.0	0.103	0.331	-0.228
1071	"FBgn0028692"	"Rpn2"	chr3R	+	29153523	29154673	29153523	29153608	29153695	29154673	1071	216	244	402	84	150	75	0.0	0.0	0.307	0.705	-0.398
1096	"FBgn0001942"	"eIF-4a"	chr2L	+	5985025	5985579	5985025	5985220	5985338	5985579	1096	11281	14866	9108	8426	150	75	0.0	0.0	0.275	0.351	-0.076
1104	"FBgn0030719"	"eIF5"	chrX	-	15988616	15989476	15988616	15989268	15989391	15989476	1104	226	10	72	75	150	75	0.0	0.0	0.919	0.324	0.595
1152	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155566	155784	1152	790	697	564	125	150	75	0.0	0.0	0.362	0.693	-0.331
1154	"FBgn0021967"	"Pdsw"	chr2L	+	3466156	3466416	3466156	3466228	3466315	3466416	1154	215	206	396	52	150	75	0.0	0.0	0.343	0.792	-0.449
1163	"FBgn0027088"	"Aats-gly"	chr3L	+	15095141	15097686	15095141	15095185	15095273	15097686	1163	174	441	382	164	150	75	0.0	0.0	0.165	0.538	-0.373
1213	"FBgn0030520"	"Pdcd4"	chrX	-	13754829	13755406	13754829	13755061	13755252	13755406	1213	3036	9	1294	50	150	75	0.0	0.0	0.994	0.928	0.066
1285	"FBgn0013272"	"Gp150"	chr2R	+	22317661	22317954	22317661	22317737	22317881	22317954	1285	185	740	315	267	150	75	0.0	0.0	0.111	0.371	-0.26
1296	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1296	212	270	276	78	150	75	0.0	0.0	0.282	0.639	-0.357
1376	"FBgn0010551"	"Phb2"	chr2R	+	18819466	18819765	18819466	18819524	18819620	18819765	1376	107	264	153	66	150	75	0.0	0.0	0.169	0.537	-0.368
1416	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1416	443	400	780	284	150	75	0.0	0.0	0.356	0.579	-0.223
1452	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1452	159	730	749	204	150	75	0.0	0.0	0.098	0.647	-0.549
1497	"FBgn0032961"	"CG1416"	chr2L	+	21758009	21758359	21758009	21758142	21758201	21758359	1497	856	158	685	21	133	75	0.0	0.0	0.753	0.948	-0.195
1515	"FBgn0016726"	"RpL29"	chr2R	+	21293767	21293874	21293767	21293789	21293849	21293874	1515	2652	2951	5825	692	134	75	0.0	0.0	0.335	0.825	-0.49
1578	"FBgn0262579"	"Ect4"	chr3L	+	8105439	8106949	8105439	8105657	8106015	8106949	1578	2993	93	1544	224	150	75	0.0	0.0	0.941	0.775	0.166
