motifstart	region	seqclass	seqname
1000	seq1	lessincluded	chr3R:-:10008695-10008854:10009732-10014826:10014989-10015105
1000	seq1	lessincluded	chr4:-:876869-877194:881842-881949:882960-883081
1000	seq1	lessincluded	chr2L:+:12726745-12727116:12729184-12729405:12737958-12738176
1000	seq1	lessincluded	chr2R:-:14149233-14149818:14150035-14150095:14150225-14150454
1000	seq1	lessincluded	chr2R:-:9255088-9255709:9257409-9258060:9258839-9260144
1000	seq1	lessincluded	chr2L:+:12726745-12727116:12737397-12737618:12737958-12738176
1000	seq1	lessincluded	chr2R:-:11580948-11581398:11581627-11582145:11583014-11587025
1000	seq1	lessincluded	chr2L:+:10977897-10978706:10978879-10978981:10979632-10979713
1000	seq1	lessincluded	chrX:-:17643680-17644178:17645886-17646012:17646519-17646585
1000	seq1	lessincluded	chr2R:-:18289534-18289850:18306030-18306135:18355499-18357296
1000	seq1	lessincluded	chr3R:+:31787801-31788197:31788659-31788844:31789496-31790121
1000	seq1	lessincluded	chrX:-:7958270-7958482:7958977-7959094:7961176-7961363
1000	seq1	lessincluded	chr2L:+:12726745-12727116:12736592-12736813:12737958-12738176
1000	seq1	lessincluded	chr3L:-:16794498-16794665:16794836-16794839:16795250-16796337
1000	seq1	lessincluded	chr3R:-:13696202-13696346:13696443-13696768:13696826-13697227
1000	seq1	lessincluded	chr2L:+:12726745-12727116:12728577-12728798:12737958-12738176
1000	seq1	lessincluded	chr2R:-:12576567-12576993:12577453-12578551:12579128-12579356
1000	seq1	lessincluded	chrX:+:8223955-8224047:8224784-8225726:8227870-8228098
1000	seq1	lessincluded	chr3R:-:5274965-5275087:5291989-5292079:5292639-5292841
1000	seq1	lessincluded	chr3R:+:18169483-18170098:18171273-18171312:18171528-18171703
1000	seq1	lessincluded	chr3R:-:21789661-21789760:21790708-21790738:21791530-21791599
1000	seq1	lessincluded	chr2L:+:1938507-1938619:1938864-1941393:1941581-1941677
1000	seq1	lessincluded	chr2R:-:19309392-19309583:19309662-19309698:19309815-19310313
1000	seq1	lessincluded	chrX:+:22457613-22458260:22462399-22463272:22463538-22465522
1000	seq1	lessincluded	chr2R:-:16085563-16085620:16086930-16087725:16088304-16088365
