ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2081	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2081	1436,2009,1424	87,108,57	1075,945,665	183,149,125	249	231	0.0	0.0	0.939,0.945,0.959	0.845,0.855,0.832	0.104
2084	"FBgn0032006"	"Pvr"	chr2L	-	8226928	8227150	8228082	8228257	8226457	8226606	8228493	8229011	2084	1436,2009,1424	112,171,118	1075,945,665	276,220,150	249	296	0.0	0.0	0.938,0.933,0.935	0.822,0.836,0.841	0.102
2085	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2085	1436,2009,1424	91,115,65	1075,945,665	199,159,134	249	249	0.0	0.0	0.94,0.946,0.956	0.844,0.856,0.832	0.103
2086	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2086	1109,1556,1082	90,115,65	796,732,470	195,159,132	249	249	0.0	0.0	0.925,0.931,0.943	0.803,0.822,0.781	0.131
2088	"FBgn0264693"	"ens"	chr3L	-	4129650	4129791	4130388	4130643	4126988	4127162	4131120	4131236	2088	15,26,10	323,343,270	108,78,75	259,260,208	329	215	0.0	0.0	0.029,0.047,0.024	0.214,0.164,0.191	-0.156
2243	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2243	0,0,0	145,141,125	78,84,97	269,225,277	339	315	0.0	0.0	0.0,0.0,0.0	0.212,0.258,0.246	-0.239
2318	"FBgn0041182"	"Tep2"	chr2L	-	7696593	7696807	7697006	7697157	7696027	7696206	7698724	7698992	2318	226,328,216	87,134,97	822,738,643	142,82,92	225	288	0.0	0.0	0.769,0.758,0.74	0.881,0.92,0.899	-0.144
2325	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7698373	7698551	7696027	7696206	7698724	7698992	2325	73,106,83	226,328,216	98,70,51	822,738,643	252	225	0.0	0.0	0.224,0.224,0.255	0.096,0.078,0.066	0.154
2326	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2326	94,113,86	226,328,216	76,43,48	822,738,643	228	225	0.0	0.0	0.291,0.254,0.282	0.084,0.054,0.069	0.207
2450	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2450	806,974,673	120,111,116	585,638,608	401,353,377	206	206	0.0	0.0	0.87,0.898,0.853	0.593,0.644,0.617	0.256
2451	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13489741	13489873	13487973	13488132	13491434	13491593	2451	104,156,120	120,111,116	152,118,99	401,353,377	206	206	0.0	0.0	0.464,0.584,0.508	0.275,0.251,0.208	0.274
2465	"FBgn0261797"	"Dhc64C"	chr3L	-	4812056	4812255	4812893	4813089	4811551	4811669	4813327	4815436	2465	158,252,154	52,142,65	91,96,68	167,132,126	270	273	0.0	0.0	0.754,0.642,0.705	0.355,0.424,0.353	0.323
2604	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096925	9096991	9095272	9095339	9097241	9097312	2604	0,0,2	234,249,229	34,17,22	254,194,338	135	140	0.0	0.0	0.0,0.0,0.009	0.122,0.083,0.063	-0.086
27	"FBgn0032456"	"MRP"	chr2L	+	12729930	12730151	12736035	12736256	12726745	12727116	12737958	12738176	27	663,930,655	22,53,26	1132,913,819	166,141,112	295	295	0.0	0.0	0.968,0.946,0.962	0.872,0.866,0.88	0.086
93	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	93	107,138,103	2045,2719,2014	210,189,172	1490,1511,1410	4503	984	0.0	0.0	0.011,0.011,0.011	0.03,0.027,0.026	-0.017
2605	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096149	9096202	9095272	9095339	9096382	9096438	2605	0,0,2	163,181,156	33,16,24	227,153,225	135	127	2.22044604925e-16	3.50830475781e-14	0.0,0.0,0.012	0.12,0.09,0.091	-0.096
22	"FBgn0032456"	"MRP"	chr2L	+	12736035	12736256	12737397	12737618	12726745	12727116	12737958	12738176	22	22,53,26	453,636,417	166,141,112	742,685,653	295	295	3.33066907388e-16	4.95290083457e-14	0.046,0.077,0.059	0.183,0.171,0.146	-0.106
2119	"FBgn0032938"	"CG8671"	chr2L	+	21277196	21278429	21279883	21280447	21275723	21275806	21281131	21281337	2119	1618,1883,1504	50,54,38	1810,1745,1606	138,134,128	1307	638	8.881784197e-16	1.24739724722e-13	0.94,0.945,0.951	0.865,0.864,0.86	0.082
2118	"FBgn0032938"	"CG8671"	chr2L	+	21277277	21278429	21279883	21280447	21275723	21275806	21281131	21281337	2118	1525,1740,1391	50,54,38	1688,1618,1527	138,134,128	1226	638	1.33226762955e-15	1.77261714079e-13	0.941,0.944,0.95	0.864,0.863,0.861	0.082
2120	"FBgn0032938"	"CG8671"	chr2L	+	21277229	21278429	21279883	21280447	21275723	21275806	21281131	21281337	2120	1528,1765,1394	50,54,38	1694,1642,1530	138,134,128	1274	638	1.44328993201e-15	1.82431847406e-13	0.939,0.942,0.948	0.86,0.86,0.857	0.084
2323	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7697976	7698130	7696027	7696206	7698724	7698992	2323	94,113,86	265,389,310	76,43,48	618,471,461	228	255	1.88737914186e-15	2.27204498601e-13	0.284,0.245,0.237	0.121,0.093,0.104	0.149
2166	"FBgn0250823"	"gish"	chr3R	+	16293986	16294153	16295668	16295820	16292723	16292834	16296661	16296776	2166	425,683,501	140,201,184	598,564,522	428,393,379	241	226	4.1522341121e-14	4.77129447063e-12	0.74,0.761,0.719	0.567,0.574,0.564	0.172
2544	"FBgn0004657"	"mys"	chrX	+	8065447	8065532	8066097	8066182	8064532	8064761	8067061	8067496	2544	765,1074,743	2,18,14	914,718,625	46,43,36	159	159	7.23865412056e-14	7.95622505077e-12	0.997,0.984,0.982	0.952,0.943,0.946	0.041
17	"FBgn0032456"	"MRP"	chr2L	+	12729184	12729405	12729930	12730151	12726745	12727116	12737958	12738176	17	10,23,11	663,930,655	78,86,35	1132,913,819	295	295	1.84185999785e-13	1.94009253107e-11	0.015,0.024,0.017	0.064,0.086,0.041	-0.045
1603	"FBgn0033159"	"Dscam1"	chr2R	-	7345484	7345775	7346641	7346929	7332260	7332380	7347848	7348010	1603	1,4,2	107,153,96	14,24,14	93,98,60	362	365	2.16160422895e-13	2.18581419631e-11	0.009,0.026,0.021	0.132,0.198,0.19	-0.155
26	"FBgn0032456"	"MRP"	chr2L	+	12729930	12730151	12736592	12736813	12726745	12727116	12737958	12738176	26	663,930,655	35,38,47	1132,913,819	149,133,117	295	295	2.47468712189e-13	2.40615732467e-11	0.95,0.961,0.933	0.884,0.873,0.875	0.071
40	"FBgn0032456"	"MRP"	chr2L	+	12728577	12728798	12729930	12730151	12726745	12727116	12737958	12738176	40	11,14,8	663,930,655	55,72,37	1132,913,819	295	295	3.3950620093e-13	3.178783985e-11	0.016,0.015,0.012	0.046,0.073,0.043	-0.04
400	"FBgn0033159"	"Dscam1"	chr2R	-	7334933	7335218	7346641	7346929	7332260	7332380	7347848	7348010	400	1,4,2	108,118,64	14,24,14	77,64,59	362	359	7.04436509125e-13	6.36005533953e-11	0.009,0.033,0.03	0.153,0.271,0.19	-0.181
324	"FBgn0039970"	"CG17508"	chr2R	+	5609012	5609489	5610063	5610256	5608634	5608797	5611191	5611586	324	2051,2827,2342	464,552,438	3636,2813,3452	358,301,388	551	267	2.58393306751e-12	2.25247682575e-10	0.682,0.713,0.722	0.831,0.819,0.812	-0.115
13	"FBgn0032456"	"MRP"	chr2L	+	12729184	12729405	12737397	12737618	12726745	12727116	12737958	12738176	13	10,23,11	453,636,417	78,86,35	742,685,653	295	295	8.20343792896e-12	6.9127636948e-10	0.022,0.035,0.026	0.095,0.112,0.051	-0.058
35	"FBgn0032456"	"MRP"	chr2L	+	12728577	12728798	12737397	12737618	12726745	12727116	12737958	12738176	35	11,14,8	453,636,417	55,72,37	742,685,653	295	295	1.13195008922e-11	9.23087040499e-10	0.024,0.022,0.019	0.069,0.095,0.054	-0.051
92	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	92	64,93,43	2045,2719,2014	98,98,100	1490,1511,1410	2205	984	2.05246930562e-11	1.62145075144e-09	0.014,0.015,0.009	0.029,0.028,0.031	-0.017
41	"FBgn0032456"	"MRP"	chr2L	+	12736592	12736813	12737397	12737618	12726745	12727116	12737958	12738176	41	35,38,47	453,636,417	149,133,117	742,685,653	295	295	4.55147031175e-11	3.38415204356e-09	0.072,0.056,0.101	0.167,0.163,0.152	-0.084
934	"FBgn0033159"	"Dscam1"	chr2R	-	7342582	7342881	7346641	7346929	7332260	7332380	7347848	7348010	934	1,4,2	28,45,24	14,24,14	18,28,6	362	373	4.41900960269e-11	3.38415204356e-09	0.035,0.084,0.079	0.445,0.469,0.706	-0.474
2028	"FBgn0033159"	"Dscam1"	chr2R	-	7344278	7344569	7346641	7346929	7332260	7332380	7347848	7348010	2028	1,4,2	134,139,103	14,24,14	139,149,66	362	365	1.02332253782e-10	7.39131250174e-09	0.007,0.028,0.019	0.092,0.14,0.176	-0.118
1157	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7355900	7356024	7348130	7348975	7361717	7361867	1157	3,1,6	2,0,0	1,0,0	5,5,3	198	198	1.10900844064e-10	7.78770371649e-09	0.6,1.0,1.0	0.167,0.0,0.0	0.811
2655	"FBgn0031187"	"CG14619"	chrX	+	22462399	22463272	22463538	22465558	22457613	22458260	22466164	22466375	2655	115,122,92	950,1242,791	180,216,115	913,827,507	947	2094	1.21131549236e-10	8.27623125591e-09	0.211,0.178,0.205	0.304,0.366,0.334	-0.137
2090	"FBgn0264693"	"ens"	chr3L	-	4128613	4128973	4130388	4130643	4126988	4127162	4131120	4131236	2090	15,26,10	76,88,48	108,78,75	131,116,86	329	434	1.32611033266e-10	8.82212347622e-09	0.207,0.28,0.216	0.521,0.47,0.535	-0.274
2656	"FBgn0031187"	"CG14619"	chrX	+	22462399	22463272	22463538	22465522	22457613	22458260	22466164	22466375	2656	115,122,92	970,1250,803	180,216,115	928,851,517	947	2058	1.87298732079e-10	1.2140799864e-08	0.205,0.175,0.199	0.297,0.356,0.326	-0.133
2507	"FBgn0034051"	"Mlf"	chr2R	-	15937020	15937326	15937678	15937879	15935892	15936580	15938446	15938978	2507	605,681,525	359,497,383	768,702,709	995,872,837	275	380	2.16775597472e-10	1.37002177602e-08	0.7,0.654,0.654	0.516,0.527,0.539	0.142
12	"FBgn0036926"	"CG7646"	chr3L	+	19993264	19993322	19994167	19994735	19991886	19992042	19994807	19994951	12	140,229,198	87,122,93	240,171,186	279,207,202	132	642	2.26784369062e-10	1.39831923168e-08	0.887,0.901,0.912	0.807,0.801,0.817	0.092
2470	"FBgn0058263"	"MFS17"	chr2R	-	2515642	2515908	2521440	2522511	2494741	2495023	2553782	2553877	2470	673,1089,931	85,151,123	778,600,672	49,32,37	1145	340	2.85689916169e-10	1.7195812097e-08	0.702,0.682,0.692	0.825,0.848,0.844	-0.147
2614	"FBgn0083124"	"Uhg4"	chr2R	+	9096670	9096735	9096925	9096991	9096149	9096202	9097241	9097312	2614	2,1,0	234,248,229	26,4,18	256,194,339	139	140	3.4515068581e-10	2.02916496216e-08	0.009,0.004,0.0	0.093,0.02,0.051	-0.05
2657	"FBgn0031187"	"CG14619"	chrX	+	22462399	22463272	22463691	22465522	22457613	22458260	22466164	22466375	2657	115,122,92	864,1134,705	180,216,115	842,767,484	947	1905	7.78852871086e-10	4.47486376842e-08	0.211,0.178,0.208	0.301,0.362,0.323	-0.13
2471	"FBgn0058263"	"MFS17"	chr2R	-	2515642	2515908	2520578	2522511	2494741	2495023	2553782	2553877	2471	642,1058,896	85,151,123	723,575,609	49,32,37	2007	340	1.7788602813e-09	9.99324175806e-08	0.561,0.543,0.552	0.714,0.753,0.736	-0.182
32	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12736035	12736256	12726745	12727116	12737958	12738176	32	377,582,460	22,53,26	965,853,857	166,141,112	295	295	4.47129544501e-09	2.45726845326e-07	0.945,0.917,0.947	0.853,0.858,0.884	0.071
2172	"FBgn0250823"	"gish"	chr3R	+	16289630	16289839	16295668	16295820	16273000	16273330	16296661	16296776	2172	438,547,404	119,172,145	619,581,525	363,327,308	283	226	6.72897759735e-09	3.61933092896e-07	0.746,0.717,0.69	0.577,0.587,0.576	0.138
2324	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697400	7697581	7696027	7696206	7698724	7698992	2324	265,389,310	226,328,216	618,471,461	822,738,643	255	225	6.93546031716e-09	3.65267576704e-07	0.509,0.511,0.559	0.399,0.36,0.387	0.144
2154	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604709	5604834	2154	21,45,28	468,703,537	93,37,65	473,404,500	123	187	8.06146371879e-09	4.15905720022e-07	0.064,0.089,0.073	0.23,0.122,0.165	-0.097
2556	"FBgn0040660"	"CG13551"	chr2R	-	23382614	23382759	23383047	23383122	23377865	23378177	23383364	23383424	2556	164,273,205	1100,1074,935	438,341,424	992,939,1286	149	219	1.03713536648e-08	5.24375641292e-07	0.18,0.272,0.244	0.394,0.348,0.326	-0.124
399	"FBgn0033159"	"Dscam1"	chr2R	-	7334933	7335218	7344663	7344954	7332260	7332380	7347848	7348010	399	3,2,2	108,118,64	13,7,15	77,64,59	365	359	1.85988482393e-08	9.21919379391e-07	0.027,0.016,0.03	0.142,0.097,0.2	-0.122
1120	"FBgn0033159"	"Dscam1"	chr2R	-	7344663	7344954	7345484	7345775	7332260	7332380	7347848	7348010	1120	107,153,96	3,2,2	93,98,60	13,7,15	365	365	2.93473487734e-08	1.42673264806e-06	0.973,0.987,0.98	0.877,0.933,0.8	0.11
2551	"FBgn0013733"	"shot"	chr2R	-	13867124	13867303	13868155	13868349	13866701	13866975	13869859	13869977	2551	542,667,504	15,15,27	568,486,468	60,52,22	268	253	3.33481523507e-08	1.59064394609e-06	0.972,0.977,0.946	0.899,0.898,0.953	0.048
2089	"FBgn0264693"	"ens"	chr3L	-	4128613	4128973	4129650	4129791	4126988	4127162	4131120	4131236	2089	323,343,270	76,88,48	259,260,208	131,116,86	215	434	4.03817448369e-08	1.89046390644e-06	0.896,0.887,0.919	0.8,0.819,0.83	0.084
318	"FBgn0003507"	"srp"	chr3R	+	16000612	16000785	16001188	16001406	15999845	16000059	16001751	16001916	318	201,261,227	654,746,605	335,316,319	605,576,451	247	292	4.25775534829e-08	1.95701918554e-06	0.267,0.293,0.307	0.396,0.393,0.455	-0.126
2794	"FBgn0034971"	"CG3209"	chr2R	+	24070767	24071004	24071990	24072224	24069999	24070242	24072704	24072961	2794	351,512,298	735,896,731	326,264,294	1043,930,1127	311	308	4.92669307572e-08	2.22405001704e-06	0.321,0.361,0.288	0.236,0.219,0.205	0.103
992	"FBgn0033159"	"Dscam1"	chr2R	-	7363023	7363194	7365311	7365482	7361717	7361867	7368387	7368732	992	35,63,35	40,42,27	46,58,41	6,10,13	245	245	5.49694718632e-08	2.43794429597e-06	0.467,0.6,0.565	0.885,0.853,0.759	-0.288
1129	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7359221	7359345	7348130	7348975	7361717	7361867	1129	2,9,3	2,0,0	1,2,0	5,5,3	198	198	6.80834666422e-08	2.9675000633e-06	0.5,1.0,1.0	0.167,0.286,0.0	0.682
1803	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7355900	7356024	7348130	7348975	7361717	7361867	1803	3,1,6	1,2,0	1,0,0	3,5,1	198	198	1.27795914517e-07	5.47573003219e-06	0.75,0.333,1.0	0.25,0.0,0.0	0.611
175	"FBgn0036505"	"CG7945"	chr3L	-	15522559	15522580	15522967	15523464	15522359	15522502	15523832	15524137	175	1078,1409,1136	62,67,83	1511,1225,1406	159,126,170	571	95	1.65789160733e-07	6.98524997222e-06	0.743,0.778,0.695	0.613,0.618,0.579	0.135
1140	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7355685	7355809	7348130	7348975	7361717	7361867	1140	4,1,1	2,0,0	0,2,0	5,5,3	198	198	1.84276996995e-07	7.63692210497e-06	0.667,1.0,1.0	0.0,0.286,0.0	0.794
1144	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7355086	7355210	7348130	7348975	7361717	7361867	1144	3,3,3	2,0,0	0,2,1	5,5,3	198	198	2.14722324365e-07	8.75512961282e-06	0.6,1.0,1.0	0.0,0.286,0.25	0.688
306	"FBgn0003721"	"Tm1"	chr3R	+	15301010	15301073	15301623	15301686	15300746	15300822	15303152	15303222	306	26,18,12	556,798,554	64,50,42	770,697,738	137	137	2.32815064005e-07	9.34216637785e-06	0.045,0.022,0.021	0.077,0.067,0.054	-0.037
28	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12728577	12728798	12726745	12727116	12737958	12738176	28	377,582,460	11,14,8	965,853,857	55,72,37	295	295	2.85588762416e-07	1.12807561154e-05	0.972,0.977,0.983	0.946,0.922,0.959	0.035
1349	"FBgn0033159"	"Dscam1"	chr2R	-	7353565	7353692	7359874	7360007	7348130	7348975	7361717	7361867	1349	0,1,0	4,2,3	5,6,0	1,0,1	207	201	3.06819233908e-07	1.19329080511e-05	0.0,0.327,0.0	0.829,1.0,0.0	-0.501
2322	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7698373	7698551	7696027	7696206	7698724	7698992	2322	73,106,83	265,389,310	98,70,51	618,471,461	252	255	3.14790751132e-07	1.20574396797e-05	0.218,0.216,0.213	0.138,0.131,0.101	0.092
388	"FBgn0033159"	"Dscam1"	chr2R	-	7349984	7350108	7355900	7356024	7348130	7348975	7361717	7361867	388	3,1,6	0,3,0	1,0,0	1,5,1	198	198	3.22737426561e-07	1.2177316632e-05	1.0,0.25,1.0	0.5,0.0,0.0	0.583
2612	"FBgn0083124"	"Uhg4"	chr2R	+	9096149	9096202	9096382	9096438	9095272	9095339	9096670	9096735	2612	0,1,0	161,186,156	12,5,11	197,137,177	127	130	3.42071058479e-07	1.27169946446e-05	0.0,0.005,0.0	0.059,0.036,0.06	-0.05
2215	"FBgn0040068"	"Vav"	chrX	+	19264684	19265306	19269256	19269365	19263880	19263955	19269483	19269651	2215	6,8,17	44,63,51	26,27,44	54,49,38	696	183	3.48235957293e-07	1.27585579715e-05	0.035,0.032,0.081	0.112,0.127,0.233	-0.108
173	"FBgn0020660"	"eIF-4B"	chr3L	-	27844504	27844604	27847424	27847485	27842668	27842778	27856783	27857935	173	151,218,165	307,419,339	180,156,216	668,564,680	135	174	3.81119031889e-07	1.37638416088e-05	0.388,0.401,0.385	0.258,0.263,0.29	0.121
2044	"FBgn0033159"	"Dscam1"	chr2R	-	7341707	7341995	7346641	7346929	7332260	7332380	7347848	7348010	2044	1,4,2	3,10,4	14,24,14	5,4,0	362	362	4.19733584778e-07	1.49448803143e-05	0.25,0.286,0.333	0.737,0.857,1.0	-0.575
33	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12729184	12729405	12726745	12727116	12737958	12738176	33	377,582,460	10,23,11	965,853,857	78,86,35	295	295	4.60264518054e-07	1.61603986339e-05	0.974,0.962,0.977	0.925,0.908,0.961	0.04
2158	"FBgn0039969"	"Fis1"	chr2R	-	5604243	5604411	5604467	5604516	5603586	5603761	5604709	5604834	2158	21,45,28	836,1126,881	93,37,65	941,853,961	123	242	5.48007198398e-07	1.897756435e-05	0.047,0.073,0.059	0.163,0.079,0.117	-0.06
1197	"FBgn0033159"	"Dscam1"	chr2R	-	7339027	7339315	7340544	7340832	7332260	7332380	7347848	7348010	1197	2,0,0	11,4,3	4,5,5	4,2,3	362	362	6.64334102729e-07	2.26950893473e-05	0.154,0.0,0.0	0.5,0.714,0.625	-0.562
115	"FBgn0266758"	"Esyt2"	chr3R	+	24552897	24552983	24553994	24554080	24552485	24552656	24554355	24554404	115	101,87,100	20,17,17	132,154,150	7,9,7	160	160	6.9831392735e-07	2.35378347779e-05	0.835,0.837,0.855	0.95,0.945,0.955	-0.108
2173	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16301244	16301351	16298469	16298550	16301822	16304768	2173	89,102,76	850,1054,757	155,142,146	912,711,889	173	181	8.69797036729e-07	2.89321961691e-05	0.099,0.092,0.095	0.151,0.173,0.147	-0.062
428	"FBgn0033159"	"Dscam1"	chr2R	-	7337871	7338159	7346641	7346929	7332260	7332380	7347848	7348010	428	1,4,2	4,8,7	14,24,14	6,4,3	362	362	9.40368846236e-07	3.08734083543e-05	0.2,0.333,0.222	0.7,0.857,0.824	-0.542
546	"FBgn0033159"	"Dscam1"	chr2R	-	7355900	7356024	7356526	7356650	7348130	7348975	7361717	7361867	546	0,1,3	3,1,6	2,3,1	1,0,0	198	198	1.05845313125e-06	3.43047373821e-05	0.0,0.5,0.333	0.667,1.0,1.0	-0.611
1152	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7357590	7357714	7348130	7348975	7361717	7361867	1152	5,3,5	2,0,0	3,2,1	5,5,3	198	198	1.34503383131e-06	4.30410826019e-05	0.714,1.0,1.0	0.375,0.286,0.25	0.601
2027	"FBgn0033159"	"Dscam1"	chr2R	-	7344278	7344569	7344663	7344954	7332260	7332380	7347848	7348010	2027	3,2,2	134,139,103	13,7,15	139,149,66	365	365	1.37574417503e-06	4.34735159309e-05	0.022,0.014,0.019	0.086,0.045,0.185	-0.087
201	"FBgn0052000"	"CG32000"	chr4	+	133185	133231	133587	133713	132219	132287	133794	133924	201	47,103,58	106,243,142	157,83,105	135,122,116	120	200	1.44409989944e-06	4.50701795776e-05	0.425,0.414,0.405	0.66,0.531,0.601	-0.183
564	"FBgn0033159"	"Dscam1"	chr2R	-	7337088	7337376	7346641	7346929	7332260	7332380	7347848	7348010	564	1,4,2	3,9,7	14,24,14	8,4,0	362	362	1.7014311392e-06	5.24538770719e-05	0.25,0.308,0.222	0.636,0.857,1.0	-0.571
2699	"FBgn0025720"	"Ate1"	chr2R	-	20255885	20256035	20256082	20256235	20255627	20255809	20256435	20256629	2699	134,227,116	195,254,198	132,123,144	361,318,340	227	224	1.88571700011e-06	5.74348503166e-05	0.404,0.469,0.366	0.265,0.276,0.295	0.134
