ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1042	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536536	22536565	22536620	22536650	1042	669,1250,866	682,1271,851	490,625,614	976,2694,1742	129	74	0.0	0.0	0.36,0.361,0.369	0.224,0.117,0.168	0.194
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	224,366,276	51,86,56	210,275,282	127,182,196	560	74	0.0	0.0	0.367,0.36,0.394	0.179,0.166,0.16	0.205
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1413,1374,1319	4378,7663,5590	293,433,431	4921,7350,7909	257	74	0.0	0.0	0.085,0.049,0.064	0.017,0.017,0.015	0.05
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	233,337,217	373,920,630	140,136,149	941,1078,1238	308	74	0.0	0.0	0.13,0.081,0.076	0.035,0.029,0.028	0.065
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	482,662,588	1505,1160,1560	146	74	0.0	0.0	0.594,0.637,0.682	0.14,0.224,0.16	0.463
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	977,2734,2080	262,815,467	1595,2454,2749	2495,3718,4140	332	74	0.0	0.0	0.454,0.428,0.498	0.125,0.128,0.129	0.333
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	462,629,489	192,393,249	578,579,581	756,934,899	262	74	0.0	0.0	0.405,0.311,0.357	0.178,0.149,0.154	0.197
274	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	274	357,500,463	77,79,76	728,661,648	19,22,37	213	74	0.0	0.0	0.617,0.687,0.679	0.93,0.913,0.859	-0.24
398	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	398	1441,2367,1720	91,142,92	3679,3485,4620	538,785,898	382	74	0.0	0.0	0.754,0.764,0.784	0.57,0.462,0.499	0.257
424	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13665452	13665526	424	1970,2852,1981	773,801,694	3165,3298,3603	419,482,479	2475	74	0.0	0.0	0.071,0.096,0.079	0.184,0.17,0.184	-0.097
