ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
1432	FBgn0004587	B52	chr3R	+	13663454	13664934	13662969	13663051	13665452	13665526	1432	1554,2281,1589	773,801,694	2859,3459,2852	590,640,518	1554	74	0.0	0.0	0.087,0.119,0.098	0.187,0.205,0.208	-0.099	0.087	0.119	0.098	0.187	0.205	0.208	chr3R:+:13662969-13663051:13663454-13664934:13665452-13665526	2327,3082,2283	3449,4099,3370	pass
2082	FBgn0260462	CG12163	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2082	327,411,350	418,435,365	118,122,103	473,495,400	491	74	0.0	0.0	0.105,0.125,0.126	0.036,0.036,0.037	0.082	0.105	0.125	0.126	0.036	0.036	0.037	chr3R:-:5239491-5239619:5243837-5244254:5251423-5251745	745,846,715	591,617,503	pass
2946	FBgn0051363	Jupiter	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	2946	5,14,5	1722,2233,1649	97,116,59	1516,1781,1311	107	74	0.0	0.0	0.002,0.004,0.002	0.042,0.043,0.03	-0.036	0.002	0.004	0.002	0.042	0.043	0.03	chr3R:-:11592366-11592624:11593321-11593354:11593632-11593766	1727,2247,1654	1613,1897,1370	pass
3316	FBgn0033212	CG1399	chr2R	-	7680291	7680312	7679341	7679930	7680924	7680999	3316	0,1,1	181,248,177	24,28,15	186,177,171	95	74	0.0	0.0	0.0,0.003,0.004	0.091,0.11,0.064	-0.086	0.0	0.003	0.004	0.091	0.11	0.064	chr2R:-:7679341-7679930:7680291-7680312:7680924-7680999	181,249,178	210,205,186	pass
3699	FBgn0039465	Tsp97E	chr3R	-	26962539	26963080	26961063	26962451	26963157	26963520	3699	7,22,9	105,135,84	57,87,47	88,90,82	615	74	0.0	0.0	0.008,0.019,0.013	0.072,0.104,0.065	-0.067	0.008	0.019	0.013	0.072	0.104	0.065	chr3R:-:26961063-26962451:26962539-26963080:26963157-26963520	112,157,93	145,177,129	pass
4316	FBgn0002183	dre4	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4316	582,800,557	243,347,313	283,323,238	517,514,433	191	74	0.0	0.0	0.481,0.472,0.408	0.175,0.196,0.176	0.271	0.481	0.472	0.408	0.175	0.196	0.176	chr3L:-:1871573-1871917:1872353-1872470:1872581-1872735	825,1147,870	800,837,671	pass
4706	FBgn0261556	CG42674	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	4706	8,6,6	121,107,65	24,66,36	65,87,59	617	74	0.0	0.0	0.008,0.007,0.011	0.042,0.083,0.068	-0.056	0.008	0.007	0.011	0.042	0.083	0.068	chr3L:-:20155900-20155998:20156679-20157222:20158479-20158668	129,113,71	89,153,95	pass
5194	FBgn0011361	mtacp1	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5194	595,749,599	748,877,710	949,1093,888	524,586,447	161	74	0.0	0.0	0.268,0.282,0.279	0.454,0.462,0.477	-0.188	0.268	0.282	0.279	0.454	0.462	0.477	chr3L:+:1330130-1330290:1330862-1330949:1331041-1331170	1343,1626,1309	1473,1679,1335	pass
780	FBgn0030052	CG12065	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	780	79,116,80	674,898,748	204,264,166	615,757,547	131	74	0.0	0.0	0.062,0.068,0.057	0.158,0.165,0.146	-0.094	0.062	0.068	0.057	0.158	0.165	0.146	chrX:+:8585985-8586245:8586551-8586608:8587257-8587525	753,1014,828	819,1021,713	pass
786	FBgn0000259	CkIIbeta	chrX	+	11795104	11795186	11794818	11795008	11795600	11795887	786	491,678,517	21,20,22	518,551,483	83,103,76	156	74	0.0	0.0	0.917,0.941,0.918	0.748,0.717,0.751	0.187	0.917	0.941	0.918	0.748	0.717	0.751	chrX:+:11794818-11795008:11795104-11795186:11795600-11795887	512,698,539	601,654,559	pass
