ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2026	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2026	2670	2751	235	1031	250	232	0.0	0.0	0.474	0.175	0.299
2028	"FBgn0032006"	"Pvr"	chr2L	-	8226928	8227150	8228082	8228257	8226457	8226606	8228493	8229011	2028	2670	1398	235	589	250	297	0.0	0.0	0.694	0.322	0.372
2032	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2032	2670	2875	235	1053	250	250	0.0	0.0	0.482	0.182	0.3
2033	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2033	1784	2831	158	1048	250	250	0.0	0.0	0.387	0.131	0.256
2099	"FBgn0016930"	"Dyrk2"	chr2L	-	14217026	14217069	14222016	14222081	14197656	14197867	14233647	14234108	2099	4	85	60	43	140	118	0.0	0.0	0.038	0.54	-0.502
2113	"FBgn0004607"	"zfh2"	chr4	+	503850	504138	521472	523104	501809	501857	524330	524512	2113	1759	13708	621	10983	363	1707	0.0	0.0	0.376	0.21	0.166
2116	"FBgn0004607"	"zfh2"	chr4	+	521472	523104	524330	524512	515581	515631	524903	526520	2116	13968	684	11077	261	1707	257	0.0	0.0	0.755	0.865	-0.11
2117	"FBgn0004607"	"zfh2"	chr4	+	521472	523104	524330	524512	503850	504138	524903	526520	2117	13577	684	10978	258	1707	257	0.0	0.0	0.749	0.865	-0.116
2124	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2124	82729	8952	23927	3130	478	192	0.0	0.0	0.788	0.754	0.034
2260	"FBgn0013305"	"Nmda1"	chr2R	-	12879051	12879146	12879196	12879222	12878384	12878710	12879688	12879798	2260	1299	1046	589	1114	101	170	0.0	0.0	0.676	0.471	0.205
2396	"FBgn0259984"	"kuz"	chr2L	+	13551141	13551666	13610055	13610578	13550138	13550293	13630705	13631184	2396	1365	3346	566	3306	600	598	0.0	0.0	0.289	0.146	0.143
2399	"FBgn0259984"	"kuz"	chr2L	+	13610055	13610578	13630705	13631184	13551141	13551666	13633393	13633540	2399	3160	1497	3246	874	598	554	0.0	0.0	0.662	0.775	-0.113
2400	"FBgn0259984"	"kuz"	chr2L	+	13610055	13610578	13630705	13631184	13558799	13558832	13633393	13633540	2400	3160	1497	3247	875	598	554	0.0	0.0	0.662	0.775	-0.113
2403	"FBgn0261793"	"Trf2"	chrX	+	8410281	8410689	8418350	8418426	8409271	8409364	8423183	8423575	2403	2187	789	604	52	483	151	0.0	0.0	0.464	0.784	-0.32
243	"FBgn0039897"	"CG1674"	chr4	+	232278	232848	234264	234345	231934	231977	234863	234944	243	481	380	368	43	645	156	0.0	0.0	0.234	0.674	-0.44
2446	"FBgn0019936"	"RpS20"	chr3R	+	20822417	20822573	20822801	20822891	20822180	20822273	20823131	20823356	2446	20580	10864	6759	2883	231	165	0.0	0.0	0.575	0.626	-0.051
2459	"FBgn0261556"	"CG42674"	chr3L	-	20190657	20192299	20197481	20197802	20168475	20169063	20197911	20198317	2459	684	3246	252	2459	396	1717	0.0	0.0	0.477	0.308	0.169
2473	"FBgn0028582"	"lqf"	chr3L	+	7536003	7536435	7536710	7536769	7535542	7535644	7536975	7538279	2473	170	108	185	1	507	134	0.0	0.0	0.294	0.98	-0.686
2474	"FBgn0028582"	"lqf"	chr3L	+	7535883	7536435	7536710	7536769	7535542	7535644	7536975	7538279	2474	215	108	185	1	627	134	0.0	0.0	0.298	0.975	-0.677
2488	"FBgn0005278"	"Sam-S"	chr2L	+	111004	111117	111906	112019	110754	110877	112689	113369	2488	62	1461	130	352	188	188	0.0	0.0	0.041	0.27	-0.229
2498	"FBgn0040056"	"CG17698"	chr3L	+	23740160	23741084	23747872	23748060	23737959	23738184	23748423	23748716	2498	5286	350	1143	240	999	263	0.0	0.0	0.799	0.556	0.243
2503	"FBgn0029881"	"pigs"	chrX	+	6605179	6605279	6630704	6631105	6600061	6600510	6644561	6644758	2503	820	1389	205	942	175	476	0.0	0.0	0.616	0.372	0.244
2567	"FBgn0011217"	"eff"	chr3R	-	14734386	14734418	14737419	14737483	14733699	14733883	14740379	14740791	2567	1178	853	760	262	139	107	0.0	0.0	0.515	0.691	-0.176
258	"FBgn0003721"	"Tm1"	chr3R	+	15301010	15301073	15301623	15301686	15300746	15300822	15303152	15303222	258	18	1176	59	300	138	138	0.0	0.0	0.015	0.164	-0.149
