ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
121	"FBgn0025726"	"unc-13"	chr4	-	883566	883641	885759	885891	883142	883362	886964	892840	121	24,24,27	366,317,288	48,92,85	199,325,254	148	148	0.0	0.0	0.062,0.07,0.086	0.194,0.221,0.251	-0.149
15	"FBgn0034743"	"RpS16"	chr2R	+	22606246	22606288	22606508	22606640	22606020	22606169	22606933	22607048	15	69,72,103	16516,14308,19486	82,126,109	3052,3569,4977	115	148	0.0	0.0	0.005,0.006,0.007	0.033,0.043,0.027	-0.028
164	"FBgn0036821"	"CG3961"	chr3L	-	18887060	18887215	18887552	18887746	18881077	18881251	18890189	18890281	164	714,646,453	543,497,431	756,803,804	195,257,246	148	148	0.0	0.0	0.568,0.565,0.512	0.795,0.758,0.766	-0.225
2114	"FBgn0003475"	"spir"	chr2L	+	20339244	20339375	20339979	20340112	20336469	20336549	20343598	20343672	2114	466,465,468	287,271,288	293,425,385	51,91,111	148	148	0.0	0.0	0.619,0.632,0.619	0.852,0.824,0.776	-0.194
2155	"FBgn0029506"	"Tsp42Ee"	chr2R	+	7013032	7013116	7017012	7017375	7012253	7012335	7017434	7017626	2155	1897,1623,1709	2562,2224,2304	1476,1941,2164	1048,1112,1374	148	148	0.0	0.0	0.425,0.422,0.426	0.585,0.636,0.612	-0.187
2206	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604582	5604650	2206	722,398,456	174,165,221	99,124,142	254,346,299	122	148	0.0	0.0	0.834,0.745,0.715	0.321,0.303,0.366	0.435
2222	"FBgn0250823"	"gish"	chr3R	+	16274151	16275169	16289630	16289839	16273000	16273330	16292723	16292834	2222	212,150,138	307,266,209	358,467,326	154,235,184	148	148	0.0	0.0	0.408,0.361,0.398	0.699,0.665,0.639	-0.279
2302	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2302	7148,5811,7504	11134,10232,13180	3724,4617,6031	1545,1699,2778	148	148	0.0	0.0	0.391,0.362,0.363	0.707,0.731,0.685	-0.336
2464	"FBgn0027567"	"CG8108"	chr3L	+	9865057	9865398	9866313	9866361	9864638	9864802	9867313	9867744	2464	289,212,182	114,95,88	228,257,235	18,25,26	148	121	0.0	0.0	0.675,0.646,0.628	0.912,0.894,0.881	-0.246
2465	"FBgn0027567"	"CG8108"	chr3L	+	9865079	9865398	9866313	9866361	9864638	9864802	9867313	9867744	2465	59,49,40	114,95,88	79,92,83	18,25,26	148	121	0.0	0.0	0.297,0.297,0.271	0.782,0.751,0.723	-0.464
2514	"FBgn0039993"	"CG17691"	chr2R	+	1590939	1591017	1594945	1595192	1590569	1590883	1595765	1595984	2514	544,473,576	348,368,390	581,599,623	175,166,165	148	148	0.0	0.0	0.61,0.562,0.596	0.769,0.783,0.791	-0.192
2535	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2535	358,394,356	239,212,246	264,238,259	18,29,30	148	148	0.0	0.0	0.6,0.65,0.591	0.936,0.891,0.896	-0.294
260	"FBgn0040388"	"boi"	chrX	-	2456590	2456686	2469336	2469411	2450902	2452147	2469890	2470043	260	242,181,171	123,112,81	227,199,202	435,386,304	148	148	0.0	0.0	0.663,0.618,0.679	0.343,0.34,0.399	0.293
2619	"FBgn0259984"	"kuz"	chr2L	+	13551141	13551666	13610055	13610578	13550138	13550293	13630705	13631184	2619	53,46,38	189,221,112	97,179,140	126,153,127	148	148	0.0	0.0	0.219,0.172,0.253	0.435,0.539,0.524	-0.285
2644	"FBgn0031190"	"CG12576"	chrX	-	22477178	22477483	22480511	22480898	22474850	22476452	22481914	22482027	2644	227,188,183	137,128,142	196,244,220	47,37,53	148	148	0.0	0.0	0.624,0.595,0.563	0.807,0.868,0.806	-0.233
2660	"FBgn0040660"	"CG13551"	chr2R	-	23382614	23382759	23383047	23383122	23377865	23378177	23383364	23383424	2660	396,310,381	454,455,641	117,141,166	536,576,647	148	148	0.0	0.0	0.466,0.405,0.373	0.179,0.197,0.204	0.221
2713	"FBgn0265297"	"pAbp"	chr2R	+	18141487	18141672	18143412	18144897	18140776	18140954	18144966	18145274	2713	924,673,530	4163,3702,3393	1085,1307,1176	1687,1953,2275	148	148	0.0	0.0	0.182,0.154,0.135	0.391,0.401,0.341	-0.221
2733	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169656	18170098	18171528	18171703	18167756	18167867	18175332	18175529	2733	28,9,15	195,236,220	44,39,46	85,113,105	148	148	0.0	0.0	0.126,0.037,0.064	0.341,0.257,0.305	-0.225
276	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	276	586,434,695	2483,2270,2951	693,902,839	1239,1627,1911	148	148	0.0	0.0	0.191,0.161,0.191	0.359,0.357,0.305	-0.159
2781	"FBgn0010909"	"msn"	chr3L	-	2560115	2560295	2561931	2562843	2557792	2558389	2563817	2563959	2781	166,143,123	312,278,256	213,215,235	102,139,163	148	148	0.0	0.0	0.347,0.34,0.325	0.676,0.607,0.59	-0.287
2839	"FBgn0040319"	"Gclc"	chrX	-	8105267	8105894	8115416	8115580	8104036	8105193	8115991	8116147	2839	237,173,197	139,132,102	366,525,377	40,49,69	148	148	0.0	0.0	0.63,0.567,0.659	0.901,0.915,0.845	-0.268
2893	"FBgn0011217"	"eff"	chr3R	-	14737419	14737483	14740379	14740940	14733699	14733883	14741006	14741319	2893	87,85,68	8,8,14	51,53,41	56,102,100	148	137	0.0	0.0	0.91,0.908,0.818	0.457,0.325,0.275	0.526
76	"FBgn0011726"	"tsr"	chr2R	-	24044813	24044919	24044991	24045182	24044452	24044750	24046665	24046805	76	18267,13482,15048	21174,19103,22463	18830,20617,20001	8783,12224,13810	148	148	0.0	0.0	0.463,0.414,0.401	0.682,0.628,0.592	-0.208
86	"FBgn0037328"	"RpL35A"	chr3R	-	5465799	5466027	5466152	5466381	5465629	5465731	5466979	5467008	86	2943,2148,2610	12182,10423,14367	994,1250,1745	2245,2223,3433	148	148	0.0	0.0	0.195,0.171,0.154	0.307,0.36,0.337	-0.161
751	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7356972	7357096	7348130	7348975	7361717	7361867	751	4,4,2	0,0,0	1,0,0	1,5,10	148	148	2.22044604925e-16	1.89270821238e-14	1.0,1.0,1.0	0.5,0.0,0.0	0.833
2894	"FBgn0011217"	"eff"	chr3R	-	14737419	14737483	14740379	14740940	14734386	14734418	14741006	14741319	2894	96,92,78	2020,1762,1719	55,64,62	3034,3816,3665	148	137	4.4408920985e-16	3.63982348535e-14	0.042,0.046,0.04	0.017,0.015,0.015	0.027
