target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2673.18	1	0.0207796
FBtr0299728	3946	3863.76	9.39585	0.13508
FBtr0333191	4111	4084.65	0	0
FBtr0077629	1785	1687.86	717.521	23.6137
FBtr0077628	998	809.843	5	0.342952
FBtr0077623	619	425.177	0	0
FBtr0077622	415	217.389	46.0724	11.7725
FBtr0077621	391	199.462	2552	710.698
FBtr0077627	2889	2615.94	659.624	14.0066
FBtr0077626	2998	2721.15	2606.44	53.2059
FBtr0077625	3088	2811.98	202.936	4.00878
FBtr0072052	1410	1265.04	161308	7083
FBtr0072051	788	593.92	0	0
FBtr0072050	1249	1054.92	0	0
FBtr0072057	870	598.579	107	9.92949
FBtr0072056	1052	857.92	0	0
FBtr0072059	1221	1022.28	2	0.108674
FBtr0072058	3845	3772.19	1008.62	14.8525
FBtr0088225	1139	1000.13	3311.42	183.917
FBtr0088224	1076	940.18	44.5761	2.63363
FBtr0088227	3220	2953.03	1343.3	25.2679
FBtr0088226	724	502.438	885.184	97.8624
FBtr0088221	1200	974.865	4.12256	0.234902
FBtr0088223	1523	1227.32	1369.15	61.9667
FBtr0088222	1138	968.121	102	5.85242
FBtr0088228	1549	1472.92	3751	141.459
FBtr0308321	6762	6943.16	90.6016	0.724842
FBtr0308320	3151	3208.43	8.24789	0.142796
FBtr0308323	6713	6894.58	0	0
FBtr0308322	3799	3972.58	29.5931	0.413793
FBtr0308325	7938	7444.66	0	0
FBtr0308324	6806	6974.81	3.90677e-06	3.11136e-08
FBtr0308327	8457	8031.28	88.4706	0.611898
FBtr0308326	6286	5732.76	191.201	1.85264
FBtr0308329	7097	6582.78	2046.22	17.2666
FBtr0308328	8643	8232.59	33.6792	0.227243
FBtr0085138	2050	1790.86	2489.8	77.2269
FBtr0085139	1909	1645.43	1535.41	51.8333
FBtr0085132	2635	2460.36	1631	36.8231
FBtr0085133	1130	1027.83	2	0.108087
FBtr0085130	2897	2768.16	5	0.100333
FBtr0085131	1556	1405.53	954	37.7027
FBtr0085136	1514	1319.92	0	0
FBtr0085137	2128	1864.35	988.022	29.4378
FBtr0085135	1054	859.92	0	0
FBtr0080989	852	657.92	0	0
FBtr0332234	4146	3951.92	0	0
FBtr0333107	9521	9711.38	7.56975e-05	4.32978e-07
FBtr0073015	1296	1129.88	1118	54.9634
FBtr0073016	3020	2866.48	4160	80.6138
FBtr0309054	3821	3667.26	1.0587	0.016036
FBtr0309055	754	509.905	79.3172	8.64057
FBtr0309056	4422	4105.39	35.7239	0.483357
FBtr0333100	2497	2097.82	24.3946	0.645936
FBtr0333109	9722	9894.62	3147	17.667
FBtr0333108	9265	9392.01	123.389	0.729762
FBtr0303755	710	515.948	0	0
FBtr0303757	5340	5145.92	0	0
FBtr0303756	4522	4400.16	736.733	9.30052
FBtr0303751	3009	2977.14	270.845	5.05342
FBtr0303750	11586	11786	206.749	0.974414
FBtr0088736	432	212.235	3	0.785181
