ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1029	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1029	76,79,111	666,559,721	334,243,327	751,509,707	79	74	0.0	0.0	0.097,0.117,0.126	0.294,0.309,0.302	-0.188
2019	"FBgn0040309"	"Jafrac1"	chrX	+	13329823	13330030	13329823	13329964	13331121	13331994	2019	210,113,197	2497,2200,2677	456,426,578	2922,2262,2954	139	74	0.0	0.0	0.043,0.027,0.038	0.077,0.091,0.094	-0.051
2169	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2169	183,163,134	110,71,88	163,118,155	223,248,338	148	74	0.0	0.0	0.454,0.534,0.432	0.268,0.192,0.187	0.258
2266	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2266	1440,1418,1586	8813,8272,10288	147,290,245	3700,5923,5425	148	74	0.0	0.0	0.076,0.079,0.072	0.019,0.024,0.022	0.054
975	"FBgn0004363"	"porin"	chr2L	-	10849515	10850848	10850753	10850848	10848543	10848863	975	11,13,13	1935,1648,1809	97,119,131	1589,2430,2394	148	74	0.0	0.0	0.003,0.004,0.004	0.03,0.024,0.027	-0.023
2602	"FBgn0030151"	"CG1354"	chrX	+	9778867	9778933	9778867	9778913	9779051	9779242	2602	94,63,85	327,290,322	12,11,11	155,224,219	93	74	2.22044604925e-16	6.86117829218e-14	0.186,0.147,0.174	0.058,0.038,0.038	0.124
981	"FBgn0032006"	"Pvr"	chr2L	-	8239074	8239878	8239691	8239878	8230124	8230331	981	7,3,7	392,326,200	34,39,51	244,410,434	148	74	2.33146835171e-15	6.17506046296e-13	0.009,0.005,0.017	0.065,0.045,0.055	-0.045
2679	"FBgn0011760"	"ctp"	chrX	+	4688202	4688672	4688202	4688317	4691636	4691844	2679	65,49,55	770,668,907	132,97,166	600,669,858	148	74	3.80806497446e-14	8.82519057831e-12	0.04,0.035,0.029	0.099,0.068,0.088	-0.05
2423	"FBgn0000083"	"AnxB9"	chr3R	+	21065240	21065401	21065240	21065285	21067445	21067499	2423	277,175,208	411,374,419	252,259,391	191,255,270	148	74	5.184741525e-14	1.06805675415e-11	0.252,0.19,0.199	0.397,0.337,0.42	-0.171
90	"FBgn0038294"	"Mf"	chr3R	-	15176538	15178489	15178279	15178489	15176363	15176433	90	120,148,118	1256,1166,1352	25,26,17	537,863,594	148	74	6.70574706874e-14	1.24324550654e-11	0.046,0.06,0.042	0.023,0.015,0.014	0.032
2087	"FBgn0052423"	"shep"	chr3L	-	5166934	5167059	5166967	5167059	5163833	5163975	2087	355,302,265	6,3,8	316,414,487	41,32,46	106	74	2.59348098552e-13	4.37119431559e-11	0.976,0.986,0.959	0.843,0.9,0.881	0.099
1886	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460890	30460466	30460789	30462814	30462969	1886	285,238,187	246,187,138	418,446,496	147,171,169	148	74	8.32667268469e-13	1.28647092978e-10	0.367,0.389,0.404	0.587,0.566,0.595	-0.196
815	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	815	2,1,3	66,61,52	19,16,25	45,69,55	148	74	1.07014397344e-12	1.52618994366e-10	0.015,0.008,0.028	0.174,0.104,0.185	-0.137
2371	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8430280	8430977	2371	621,565,612	1310,1301,1519	1400,1314,1523	1758,1659,1773	148	74	1.77657888401e-12	2.3526980364e-10	0.192,0.178,0.168	0.285,0.284,0.3	-0.11
1585	"FBgn0010315"	"CycD"	chrX	-	15909419	15909676	15909530	15909676	15908536	15909222	1585	7,11,11	186,139,143	18,22,21	44,66,64	148	74	1.9115820038e-12	2.3627153567e-10	0.018,0.038,0.037	0.17,0.143,0.141	-0.12
451	"FBgn0020618"	"Rack1"	chr2L	-	7826533	7826981	7826769	7826981	7825628	7826336	451	561,408,529	8471,7482,8714	219,475,384	2326,3695,3225	148	74	6.91491308658e-12	8.01265553907e-10	0.032,0.027,0.029	0.045,0.06,0.056	-0.024
2547	"FBgn0052803"	"CG32803"	chrX	-	1901712	1901911	1901799	1901911	1901436	1901614	2547	52,49,61	389,343,387	74,84,92	190,239,253	148	74	1.23783205908e-11	1.3499650809e-09	0.063,0.067,0.073	0.163,0.149,0.154	-0.088
1757	"FBgn0015218"	"eIF-4E"	chr3L	-	9402209	9402460	9402279	9402460	9401039	9401606	1757	132,107,110	167,134,118	50,48,43	142,137,147	143	74	9.81110748199e-11	1.01054407064e-08	0.29,0.292,0.325	0.154,0.153,0.131	0.156
2246	"FBgn0261822"	"Bsg"	chr2L	+	8083419	8083636	8083419	8083521	8089184	8089736	2246	65,32,25	97,55,32	92,102,88	44,52,43	148	74	1.18525744774e-10	1.15656174111e-08	0.251,0.225,0.281	0.511,0.495,0.506	-0.252
1769	"FBgn0022153"	"l(2)k05819"	chr2L	+	4396009	4396172	4396009	4396127	4396809	4396906	1769	79,80,46	54,43,29	20,51,40	50,88,74	118	74	1.75180647766e-10	1.62392460479e-08	0.478,0.538,0.499	0.201,0.267,0.253	0.265
1316	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434302	20434086	20434245	20434547	20434712	1316	663,634,733	130,106,120	319,403,415	18,36,26	130	74	2.3305368746e-10	2.05753112643e-08	0.744,0.773,0.777	0.91,0.864,0.901	-0.127
1315	"FBgn0019947"	"Psn"	chr3L	+	20434086	20434344	20434086	20434245	20434547	20434712	1315	393,368,457	130,106,120	172,279,242	18,36,26	148	74	3.18583159853e-10	2.6847871744e-08	0.602,0.634,0.656	0.827,0.795,0.823	-0.184
801	"FBgn0027930"	"MP1"	chr3R	+	4308263	4308454	4308263	4308427	4308619	4308833	801	126,96,125	194,183,219	33,44,41	144,159,187	100	74	7.85572606965e-10	6.33239831875e-08	0.325,0.28,0.297	0.145,0.17,0.14	0.149
2099	"FBgn0266084"	"Fhos"	chr3L	+	8796999	8797821	8796999	8797226	8798120	8798719	2099	91,79,87	89,94,121	24,19,32	93,87,73	148	74	8.79798345288e-10	6.52458452866e-08	0.338,0.296,0.264	0.114,0.098,0.18	0.169
271	"FBgn0052767"	"CG32767"	chrX	-	5082881	5083025	5082890	5083025	5081485	5082239	271	0,0,0	2,4,1	5,3,3	2,2,3	82	74	8.52737880308e-10	6.52458452866e-08	0.0,0.0,0.0	0.693,0.575,0.474	-0.581
1885	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460908	30460466	30460789	30462814	30462969	1885	224,180,143	246,187,138	305,296,348	147,171,169	148	74	9.89473836199e-10	7.05570958582e-08	0.313,0.325,0.341	0.509,0.464,0.507	-0.167
1754	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536620	22536650	22536114	22536378	1754	10314,6702,8655	22,22,32	5327,12666,10076	64,110,97	148	74	1.02885067133e-09	7.0647746098e-08	0.996,0.993,0.993	0.977,0.983,0.981	0.014
1884	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460894	30460466	30460789	30462814	30462969	1884	224,176,148	246,187,138	307,293,346	147,171,169	148	74	1.35864830497e-09	8.99619270505e-08	0.313,0.32,0.349	0.511,0.461,0.506	-0.165
1094	"FBgn0032938"	"CG8671"	chr2L	+	21262955	21263179	21262955	21263123	21263647	21263786	1094	32,22,18	105,64,65	59,46,68	48,62,59	129	74	1.57625257291e-09	1.00771457592e-07	0.149,0.165,0.137	0.414,0.299,0.398	-0.22
1581	"FBgn0025637"	"SkpA"	chrX	+	656113	656784	656113	656399	657098	657899	1581	73,41,71	152,106,150	92,95,102	79,99,89	148	74	1.97700100735e-09	1.22178662254e-07	0.194,0.162,0.191	0.368,0.324,0.364	-0.17
1044	"FBgn0035533"	"Cip4"	chr3L	-	4324861	4324996	4324921	4324996	4324283	4324447	1044	48,49,53	33,29,23	128,132,143	26,21,16	133	74	4.49807702196e-09	2.69014025765e-07	0.447,0.485,0.562	0.733,0.778,0.833	-0.283
277	"FBgn0052767"	"CG32767"	chrX	-	5082521	5083025	5082881	5083025	5081485	5082239	277	6,2,3	0,0,0	10,2,5	5,2,2	148	74	6.97669588767e-09	4.04212317992e-07	1.0,1.0,1.0	0.5,0.333,0.556	0.537
1394	"FBgn0260722"	"CR42549"	chr3R	-	9551570	9551748	9551700	9551748	9548103	9549810	1394	3,1,0	2,2,2	2,9,6	0,1,0	148	74	7.65646146483e-09	4.30153925933e-07	0.429,0.2,0.0	1.0,0.818,1.0	-0.73
1486	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642568	4642658	1486	171,179,207	11,14,12	193,200,270	2,2,2	148	74	8.18551793014e-09	4.4635147772e-07	0.886,0.865,0.896	0.98,0.98,0.985	-0.099
1056	"FBgn0030838"	"CG5445"	chrX	+	17302469	17302786	17302469	17302507	17302838	17303390	1056	65,63,45	3,8,4	38,27,34	19,13,17	148	74	8.68234806273e-09	4.53538562317e-07	0.915,0.797,0.849	0.5,0.509,0.5	0.351
1648	"FBgn0041210"	"HDAC4"	chrX	-	13284891	13285632	13285202	13285632	13276434	13276547	1648	90,88,67	32,24,8	264,204,286	20,9,8	148	74	8.80657402558e-09	4.53538562317e-07	0.584,0.647,0.807	0.868,0.919,0.947	-0.232
2229	"FBgn0036816"	"Indy"	chr3L	-	18840275	18840516	18840372	18840516	18831946	18831984	2229	46,39,25	315,306,262	12,16,17	301,376,365	148	74	2.854842307e-08	1.43050746951e-06	0.068,0.06,0.046	0.02,0.021,0.023	0.037
2318	"FBgn0004167"	"kst"	chr3L	+	3366443	3367010	3366443	3366773	3367514	3368133	2318	868,772,867	54,48,29	665,745,830	62,89,98	148	74	3.11723431512e-08	1.52088221585e-06	0.889,0.889,0.937	0.843,0.807,0.809	0.085
97	"FBgn0053129"	"CG33129"	chr2L	-	10967855	10968166	10968133	10968166	10966501	10966621	97	38,31,29	457,290,382	29,23,29	662,801,975	148	74	5.51157373074e-08	2.62011735815e-06	0.04,0.051,0.037	0.021,0.014,0.015	0.026
2574	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6003672	6003911	6001557	6001736	2574	371,334,320	1564,1380,1604	166,166,193	1297,1271,1421	148	74	6.33323261612e-08	2.86385689519e-06	0.106,0.108,0.091	0.06,0.061,0.064	0.04
264	"FBgn0033486"	"dmpd"	chr2R	+	10117693	10117899	10117693	10117868	10118031	10118542	264	14,12,12	74,66,74	44,37,39	70,58,88	104	74	6.25445046865e-08	2.86385689519e-06	0.119,0.115,0.103	0.309,0.312,0.24	-0.175
2316	"FBgn0004167"	"kst"	chr3L	+	3366443	3366962	3366443	3366773	3367514	3368133	2316	556,469,521	54,48,29	447,436,517	62,89,98	148	74	7.65828315208e-08	3.33963426476e-06	0.837,0.83,0.9	0.783,0.71,0.725	0.116
2365	"FBgn0027081"	"Aats-thr"	chr2L	+	12103750	12104056	12103750	12103834	12104491	12104552	2365	221,203,203	381,270,247	302,249,320	686,649,841	148	74	7.74564581363e-08	3.33963426476e-06	0.225,0.273,0.291	0.18,0.161,0.16	0.096
2438	"FBgn0039507"	"mrt"	chr3R	-	27280576	27280711	27280669	27280711	27279177	27280042	2438	1,2,4	1,0,0	0,2,0	2,1,2	148	74	2.04721766206e-07	8.62623078513e-06	0.333,1.0,1.0	0.0,0.5,0.0	0.611
1742	"FBgn0262976"	"lawc"	chrX	-	8408864	8410098	8409662	8410098	8408518	8408778	1742	11,13,13	31,21,34	1,4,6	58,44,40	148	74	3.14097978515e-07	1.29408367148e-05	0.151,0.236,0.16	0.009,0.043,0.07	0.142
1946	"FBgn0026257"	"cav"	chr3R	+	24221102	24221753	24221102	24221626	24222342	24222474	1946	2,1,8	0,0,0	4,3,0	3,2,1	148	74	4.29039765937e-07	1.72921679575e-05	1.0,1.0,1.0	0.4,0.429,0.0	0.724
486	"FBgn0003392"	"shi"	chrX	+	15892199	15892440	15892199	15892251	15892827	15893150	486	101,84,73	17,17,9	145,176,222	87,68,92	148	74	4.44014947587e-07	1.75149726133e-05	0.748,0.712,0.802	0.455,0.564,0.547	0.232
1487	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642422	4641962	4642008	4642568	4642658	1487	39,34,38	11,14,12	24,44,45	2,2,2	148	74	5.39831651492e-07	1.98247362547e-05	0.639,0.548,0.613	0.857,0.917,0.918	-0.297
152	"FBgn0020279"	"lig"	chr2R	+	8067976	8068366	8067976	8068080	8069870	8070279	152	4,3,3	13,13,14	14,20,24	11,14,14	148	74	5.29897672963e-07	1.98247362547e-05	0.133,0.103,0.097	0.389,0.417,0.462	-0.312
2513	"FBgn0034761"	"CG4250"	chr2R	+	22663691	22663913	22663691	22663874	22663988	22664121	2513	7,6,7	150,140,154	16,19,19	65,128,132	112	74	5.16411014062e-07	1.98247362547e-05	0.03,0.028,0.029	0.14,0.089,0.087	-0.076
98	"FBgn0053129"	"CG33129"	chr2L	-	10968104	10968166	10968133	10968166	10966501	10966621	98	46,38,36	457,290,382	37,43,36	662,801,975	102	74	5.45340641311e-07	1.98247362547e-05	0.068,0.087,0.064	0.039,0.037,0.026	0.039
1580	"FBgn0025637"	"SkpA"	chrX	+	656355	656604	656355	656399	657098	657899	1580	164,119,145	152,106,150	182,169,181	79,99,89	148	74	8.18305059269e-07	2.91757226901e-05	0.35,0.36,0.326	0.535,0.46,0.504	-0.154
150	"FBgn0020279"	"lig"	chr2R	+	8067976	8068366	8067976	8068011	8069870	8070279	150	6,5,1	108,98,74	16,25,22	101,139,135	148	74	8.63198864276e-07	3.01956734786e-05	0.027,0.025,0.007	0.073,0.083,0.075	-0.057
2267	"FBgn0029176"	"Ef1gamma"	chr3R	+	29220171	29220204	29220171	29220200	29220269	29220308	2267	17,6,16	191,128,138	27,41,50	122,215,188	77	74	9.01925988561e-07	3.09661256073e-05	0.079,0.043,0.1	0.175,0.155,0.204	-0.104
1578	"FBgn0025637"	"SkpA"	chrX	+	656355	656489	656355	656399	657098	657899	1578	640,519,644	152,106,150	737,629,742	79,99,89	148	74	9.27620226299e-07	3.12692345374e-05	0.678,0.71,0.682	0.823,0.761,0.807	-0.107
1442	"FBgn0043841"	"vir-1"	chr2L	-	12423322	12423439	12423333	12423439	12421640	12421829	1442	441,319,389	39,25,20	170,202,219	20,45,37	84	74	1.55609822838e-06	5.15179663467e-05	0.909,0.918,0.945	0.882,0.798,0.839	0.084
711	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267459	27267255	27267283	27267591	27267918	711	23,29,33	121,126,213	59,57,62	538,785,898	148	74	1.78629659309e-06	5.81016470805e-05	0.087,0.103,0.072	0.052,0.035,0.033	0.047
362	"FBgn0039904"	"Hcf"	chr4	+	359937	360284	359937	359980	360586	361006	362	101,54,61	8,3,4	91,92,106	21,27,23	148	74	2.20033215392e-06	7.03347554029e-05	0.863,0.9,0.884	0.684,0.63,0.697	0.212
634	"FBgn0035397"	"CG11486"	chr3L	+	3071132	3071297	3071132	3071189	3073080	3073478	634	0,2,0	31,20,14	11,8,7	28,47,25	148	74	2.79922232216e-06	8.79620031404e-05	0.0,0.048,0.0	0.164,0.078,0.123	-0.106
2590	"FBgn0264078"	"Flo2"	chrX	+	14839375	14839535	14839375	14839423	14840872	14841019	2590	23,18,11	34,17,20	16,9,16	57,61,83	148	74	3.43671381187e-06	0.000106194456787	0.253,0.346,0.216	0.123,0.069,0.088	0.178
1744	"FBgn0262976"	"lawc"	chrX	-	8409402	8410098	8409662	8410098	8408518	8408778	1744	14,15,11	31,21,34	2,4,9	58,44,40	148	74	3.8792306466e-06	0.000117903174079	0.184,0.263,0.139	0.017,0.043,0.101	0.142
