ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1246	"FBgn0013263"	"Trl"	chr3L	-	14757662	14757962	14757907	14757962	14756903	14757330	1246	64,48,23	42,45,21	117,136,77	21,29,14	319	74	9.23594534186e-13	1.70033753744e-09	0.261,0.198,0.203	0.564,0.521,0.561	-0.328
1635	"FBgn0041210"	"HDAC4"	chrX	-	13284891	13285632	13285202	13285632	13276434	13276547	1635	218,193,148	32,24,8	265,334,260	1,2,6	385	74	3.36253247468e-12	3.09521114294e-09	0.567,0.607,0.781	0.981,0.97,0.893	-0.296
2087	"FBgn0266084"	"Fhos"	chr3L	+	8796999	8797821	8796999	8797226	8798120	8798719	2087	356,291,348	89,94,121	170,188,133	104,128,103	669	74	1.4279843974e-10	8.76306425204e-08	0.307,0.255,0.241	0.153,0.14,0.125	0.128
704	"FBgn0028697"	"RpL15"	chr3L	+	27267254	27267523	27267254	27267455	27267591	27267918	704	306,229,275	34,21,26	136,165,125	36,54,35	142	74	4.16696899208e-10	1.9178474786e-07	0.824,0.85,0.846	0.663,0.614,0.65	0.198
808	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	808	2,1,5	66,61,52	20,20,10	44,67,41	200	74	7.01444013984e-10	2.58271685949e-07	0.011,0.006,0.034	0.144,0.099,0.083	-0.092
1249	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1249	80,64,49	42,45,21	137,161,104	21,29,14	140	74	1.30119715003e-09	3.99250658868e-07	0.502,0.429,0.552	0.775,0.746,0.797	-0.278
1961	"FBgn0260486"	"Ziz"	chr2L	-	7473297	7473889	7473656	7473889	7472512	7473199	1961	627,569,644	2,3,5	548,511,464	18,19,9	433	74	9.85679837751e-09	2.59233797329e-06	0.982,0.97,0.957	0.839,0.821,0.898	0.117
2398	"FBgn0035432"	"ZnT63C"	chr3L	+	3303707	3304273	3303707	3303852	3304601	3304665	2398	111,91,71	297,186,217	202,192,233	243,319,257	495	74	1.71957332817e-08	3.95716812145e-06	0.053,0.068,0.047	0.111,0.083,0.119	-0.048
1962	"FBgn0260486"	"Ziz"	chr2L	-	7473419	7473889	7473656	7473889	7472512	7473199	1962	471,432,495	2,3,5	440,419,370	18,19,9	311	74	3.13094650206e-08	6.40452501144e-06	0.982,0.972,0.959	0.853,0.84,0.907	0.104
429	"FBgn0036505"	"CG7945"	chr3L	-	15523511	15524137	15523832	15524137	15522559	15522580	429	281,248,289	38,29,30	280,319,242	8,13,11	395	74	4.86268307842e-08	8.28895596781e-06	0.581,0.616,0.643	0.868,0.821,0.805	-0.218
