ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
107	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	107	64,93,43	2045,2719,2014	481,194,159	3295,1340,1342	2205	984	0.0	0.0	0.014,0.015,0.009	0.061,0.061,0.05	-0.045
108	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	108	107,138,103	2045,2719,2014	957,421,373	3295,1340,1342	4503	984	0.0	0.0	0.011,0.011,0.011	0.06,0.064,0.057	-0.049
1206	"FBgn0033159"	"Dscam1"	chr2R	-	7344663	7344954	7345484	7345775	7332260	7332380	7347848	7348010	1206	107,153,96	3,2,2	248,125,94	62,26,21	365	365	0.0	0.0	0.973,0.987,0.98	0.8,0.828,0.817	0.165
1572	"FBgn0033159"	"Dscam1"	chr2R	-	7340544	7340832	7345484	7345775	7332260	7332380	7347848	7348010	1572	107,153,96	2,0,0	248,125,94	32,30,19	365	362	0.0	0.0	0.982,1.0,1.0	0.885,0.805,0.831	0.154
1589	"FBgn0033159"	"Dscam1"	chr2R	-	7338249	7338537	7345484	7345775	7332260	7332380	7347848	7348010	1589	107,153,96	0,4,2	248,125,94	58,19,23	365	362	0.0	0.0	1.0,0.974,0.979	0.809,0.867,0.802	0.158
1682	"FBgn0033159"	"Dscam1"	chr2R	-	7345484	7345775	7346641	7346929	7332260	7332380	7347848	7348010	1682	1,4,2	107,153,96	47,31,34	248,125,94	362	365	0.0	0.0	0.009,0.026,0.021	0.16,0.2,0.267	-0.19
2129	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2129	1436,2009,1424	87,108,57	1745,1062,787	308,137,134	249	231	0.0	0.0	0.939,0.945,0.959	0.84,0.878,0.845	0.093
2132	"FBgn0032006"	"Pvr"	chr2L	-	8226928	8227150	8228082	8228257	8226457	8226606	8228493	8229011	2132	1436,2009,1424	112,171,118	1745,1062,787	479,250,230	249	296	0.0	0.0	0.938,0.933,0.935	0.812,0.835,0.803	0.119
2133	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2133	1436,2009,1424	91,115,65	1745,1062,787	347,157,141	249	249	0.0	0.0	0.94,0.946,0.956	0.834,0.871,0.848	0.096
2134	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2134	1109,1556,1082	90,115,65	1222,762,584	337,151,137	249	249	0.0	0.0	0.925,0.931,0.943	0.784,0.835,0.81	0.123
2137	"FBgn0264693"	"ens"	chr3L	-	4129650	4129791	4130388	4130643	4126988	4127162	4131120	4131236	2137	15,26,10	323,343,270	151,52,74	574,259,225	329	215	0.0	0.0	0.029,0.047,0.024	0.147,0.116,0.177	-0.113
2228	"FBgn0250823"	"gish"	chr3R	+	16293986	16294153	16295668	16295820	16292723	16292834	16296661	16296776	2228	425,683,501	140,201,184	913,536,419	652,434,374	241	226	0.0	0.0	0.74,0.761,0.719	0.568,0.537,0.512	0.201
22	"FBgn0032456"	"MRP"	chr2L	+	12729184	12729405	12737397	12737618	12726745	12727116	12737958	12738176	22	10,23,11	453,636,417	256,126,84	1259,593,439	295	295	0.0	0.0	0.022,0.035,0.026	0.169,0.175,0.161	-0.141
2446	"FBgn0013305"	"Nmda1"	chr2R	-	12879051	12879146	12879196	12879222	12878384	12878710	12879688	12879798	2446	67,109,69	142,293,171	349,381,156	327,227,142	100	169	0.0	0.0	0.444,0.386,0.405	0.643,0.739,0.65	-0.266
2516	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2516	806,974,673	120,111,116	667,415,299	391,161,143	206	206	0.0	0.0	0.87,0.898,0.853	0.63,0.72,0.676	0.198
2692	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096670	9096735	9095272	9095339	9096925	9096991	2692	0,0,2	179,195,194	73,64,45	223,224,150	135	139	0.0	0.0	0.0,0.0,0.011	0.252,0.227,0.236	-0.235
2693	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096149	9096202	9095272	9095339	9096382	9096438	2693	0,0,2	163,181,156	74,64,47	226,245,182	135	127	0.0	0.0	0.0,0.0,0.012	0.235,0.197,0.195	-0.205
