ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	279,420,491	1567,1950,1632	146	74	0.0	0.0	0.735,0.672,0.676	0.083,0.098,0.132	0.59
1249	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	1249	211,185,209	52,43,43	341,385,398	18,15,17	144	74	0.0	0.0	0.676,0.689,0.714	0.907,0.93,0.923	-0.227
1296	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1296	336,330,345	347,385,324	365,472,465	127,190,197	680	74	0.0	0.0	0.095,0.085,0.104	0.238,0.213,0.204	-0.124
1336	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	1336	212,162,239	285,268,486	112,165,161	573,774,650	147	74	0.0	0.0	0.272,0.233,0.198	0.09,0.097,0.111	0.135
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4185,3124,4215	1770,1062,1809	797,1441,1642	1378,2103,2705	332	74	0.0	0.0	0.345,0.396,0.342	0.114,0.132,0.119	0.239
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	558,547,571	536,518,554	1432,1879,1552	655,782,700	326	74	0.0	0.0	0.191,0.193,0.19	0.332,0.353,0.335	-0.149
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	744,687,786	339,270,376	317,397,503	421,497,497	177	74	0.0	0.0	0.479,0.515,0.466	0.239,0.25,0.297	0.225
146	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	146	191,163,166	1476,1244,1120	129,178,195	381,461,607	126	74	0.0	0.0	0.071,0.071,0.08	0.166,0.185,0.159	-0.096
1527	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	1527	617,500,486	22,33,19	635,805,612	2,0,2	182	74	0.0	0.0	0.919,0.86,0.912	0.992,1.0,0.992	-0.098
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	16,22,25	87,67,65	6,6,6	183,263,238	150	74	0.0	0.0	0.083,0.139,0.159	0.016,0.011,0.012	0.114
397	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	397	2917,2186,2664	121,126,213	2688,3511,3317	478,767,693	382	74	0.0	0.0	0.824,0.771,0.708	0.521,0.47,0.481	0.277
405	"FBgn0033886"	"Rpn13"	chr2R	-	13958544	13959398	13958544	13959099	13959204	13959398	405	326,284,349	450,411,504	279,301,397	114,131,189	179	74	0.0	0.0	0.23,0.222,0.223	0.503,0.487,0.465	-0.26
469	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	469	603,413,600	436,381,404	647,862,844	112,141,172	637	74	0.0	0.0	0.138,0.112,0.147	0.402,0.415,0.363	-0.261
552	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	552	202,185,141	45,56,41	123,153,183	2,3,1	512	74	0.0	0.0	0.393,0.323,0.332	0.899,0.881,0.964	-0.565
774	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	774	4750,3382,4870	4046,2787,4261	1014,1468,1656	1687,3010,3954	379	74	0.0	0.0	0.186,0.192,0.182	0.105,0.087,0.076	0.097
