ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
145	"FBgn0036821"	"CG3961"	chr3L	-	18887060	18887215	18887552	18887746	18881077	18881251	18890189	18890281	145	1537,2307,1586	1477,1869,1376	1539,1914,1943	535,582,606	268	229	0.0	0.0	0.471,0.513,0.496	0.711,0.738,0.733	-0.234
157	"FBgn0015790"	"Rab11"	chr3R	+	21111654	21111855	21113945	21114067	21111407	21111466	21114752	21115101	157	1618,2770,1969	2012,2470,1996	3340,3794,3692	1494,2012,1866	275	196	0.0	0.0	0.364,0.444,0.413	0.614,0.573,0.585	-0.184
2065	"FBgn0003475"	"spir"	chr2L	+	20336286	20336404	20343598	20343672	20334620	20334730	20343742	20343947	2065	307,434,284	268,277,233	544,729,667	111,161,164	192	148	0.0	0.0	0.469,0.547,0.484	0.791,0.777,0.758	-0.275
2069	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18920412	18921319	18918259	18918625	18925077	18925796	2069	796,953,703	10385,12885,9046	396,614,581	11480,16142,16882	164	981	0.0	0.0	0.314,0.307,0.317	0.171,0.185,0.171	0.137
2112	"FBgn0024728"	"Slip1"	chr4	+	664987	665305	668419	668574	663854	664340	669129	669884	2112	355,442,326	153,160,135	417,406,456	34,42,72	392	229	0.0	0.0	0.575,0.617,0.585	0.878,0.85,0.787	-0.246
2133	"FBgn0265998"	"Doa"	chr3R	+	28888305	28888534	28889765	28889884	28888072	28888248	28890004	28890100	2133	194,256,161	190,204,149	42,43,90	139,170,200	303	193	0.0	0.0	0.394,0.444,0.408	0.161,0.139,0.223	0.241
2137	"FBgn0039969"	"Fis1"	chr2R	-	5604467	5604516	5604582	5604650	5604243	5604411	5604709	5604834	2137	339,525,489	176,345,260	204,176,213	251,352,405	142	123	0.0	0.0	0.625,0.569,0.62	0.413,0.302,0.313	0.262
2145	"FBgn0250823"	"gish"	chr3R	+	16298469	16298550	16301244	16301351	16297174	16297345	16301822	16304768	2145	182,265,190	461,569,391	441,576,440	352,483,417	155	181	0.0	0.0	0.316,0.352,0.362	0.594,0.582,0.552	-0.233
2201	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2201	46958,56549,45075	16418,17801,14766	21840,24528,30920	2554,2921,4658	477	191	0.0	0.0	0.534,0.56,0.55	0.774,0.771,0.727	-0.209
2277	"FBgn0041182"	"Tep2"	chr2L	-	7696593	7696807	7697006	7697157	7696027	7696206	7698724	7698992	2277	226,328,216	87,134,97	537,678,690	76,116,80	225	288	0.0	0.0	0.769,0.758,0.74	0.9,0.882,0.917	-0.144
