ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
2245	FBgn0023213	eIF4G	chr4	-	927392	928151	926010	926661	929821	930023	2245	78,93,35	289,225,163	287,351,218	167,166,177	833	74	0.0	0.0	0.023,0.035,0.019	0.132,0.158,0.099	-0.104	0.023	0.035	0.019	0.132	0.158	0.099	chr4:-:926010-926661:927392-928151:929821-930023	367,318,198	454,517,395	pass
2897	FBgn0005632	faf	chr3R	+	31788659	31788844	31787801	31788197	31789496	31790121	2897	75,32,69	135,130,131	10,18,10	153,222,203	259	74	0.0	0.0	0.137,0.066,0.131	0.018,0.023,0.014	0.093	0.137	0.066	0.131	0.018	0.023	0.014	chr3R:+:31787801-31788197:31788659-31788844:31789496-31790121	210,162,200	163,240,213	pass
3056	FBgn0021765	scu	chrX	+	18091554	18091654	18091258	18091390	18091951	18092853	3056	44,30,56	273,243,283	4,13,9	319,309,386	174	74	0.0	0.0	0.064,0.05,0.078	0.005,0.018,0.01	0.053	0.064	0.05	0.078	0.005	0.018	0.01	chrX:+:18091258-18091390:18091554-18091654:18091951-18092853	317,273,339	323,322,395	pass
3204	FBgn0262614	pyd	chr3R	-	8828834	8831005	8827067	8828318	8832141	8832274	3204	1167,990,1037	29,24,42	1025,1707,1622	0,4,5	2245	74	0.0	0.0	0.57,0.576,0.449	1.0,0.934,0.914	-0.418	0.57	0.576	0.449	1.0	0.934	0.914	chr3R:-:8827067-8828318:8828834-8831005:8832141-8832274	1196,1014,1079	1025,1711,1627	pass
3278	FBgn0051363	Jupiter	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3278	195,195,179	1686,1380,1417	16,30,31	1564,1901,1760	107	74	0.0	0.0	0.074,0.089,0.08	0.007,0.011,0.012	0.071	0.074	0.089	0.08	0.007	0.011	0.012	chr3R:-:11592366-11592624:11593321-11593354:11593632-11593766	1881,1575,1596	1580,1931,1791	pass
3441	FBgn0262734	Rbp2	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3441	145,99,123	420,381,415	9,4,3	278,339,321	164	74	0.0	0.0	0.135,0.105,0.118	0.014,0.005,0.004	0.112	0.135	0.105	0.118	0.014	0.005	0.004	chrX:+:16451274-16451559:16451701-16451791:16451918-16453615	565,480,538	287,343,324	pass
3458	FBgn0038535	alt	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3458	430,380,360	62,56,62	270,268,322	185,175,223	170	74	0.0	0.0	0.751,0.747,0.717	0.388,0.4,0.386	0.347	0.751	0.747	0.717	0.388	0.4	0.386	chr3R:-:17675074-17675533:17675641-17675737:17676086-17676749	492,436,422	455,443,545	pass
3667	FBgn0033212	CG1399	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3667	1636,1603,1733	110,98,84	1212,1466,1421	19,17,33	481	74	0.0	0.0	0.696,0.716,0.76	0.908,0.93,0.869	-0.178	0.696	0.716	0.76	0.908	0.93	0.869	chr2R:-:7676539-7677734:7677997-7678404:7678569-7678626	1746,1701,1817	1231,1483,1454	pass
3887	FBgn0064225	RpL5	chr2L	-	22536536	22536565	22536114	22536378	22536620	22536650	3887	8673,5663,7200	22,22,32	2802,3507,5255	66,80,107	103	74	0.0	0.0	0.996,0.995,0.994	0.968,0.969,0.972	0.025	0.996	0.995	0.994	0.968	0.969	0.972	chr2L:-:22536114-22536378:22536536-22536565:22536620-22536650	8695,5685,7232	2868,3587,5362	pass
400	FBgn0035438	PHGPx	chr3L	+	3327342	3327553	3326264	3326367	3327859	3328183	400	163,178,230	1231,1004,1402	38,63,86	878,1331,1318	285	74	0.0	0.0	0.033,0.044,0.041	0.011,0.012,0.017	0.026	0.033	0.044	0.041	0.011	0.012	0.017	chr3L:+:3326264-3326367:3327342-3327553:3327859-3328183	1394,1182,1632	916,1394,1404	pass
