ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
131	"FBgn0025726"	"unc-13"	chr4	-	883566	883641	885759	885891	883142	883362	886964	892840	131	4,8,5	149,285,141	97,140,157	567,405,358	148	148	0.0	0.0	0.026,0.027,0.034	0.146,0.257,0.305	-0.207
144	"FBgn0031220"	"CG4822"	chr2L	-	119430	119554	119827	120080	119133	119375	120420	120631	144	549,835,620	1330,1837,1338	1335,774,795	1410,735,609	148	148	0.0	0.0	0.292,0.313,0.317	0.486,0.513,0.566	-0.214
2133	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2133	698,972,702	37,38,23	1071,619,496	145,78,79	148	148	0.0	0.0	0.95,0.962,0.968	0.881,0.888,0.863	0.083
2229	"FBgn0250823"	"gish"	chr3R	+	16298469	16298550	16301244	16301351	16297174	16297345	16301822	16304768	2229	154,217,143	343,386,278	452,291,420	283,224,186	148	148	0.0	0.0	0.31,0.36,0.34	0.615,0.565,0.693	-0.288
2284	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2284	4266,6857,4978	12357,12962,10828	15201,4867,5372	9804,2735,2200	148	148	0.0	0.0	0.257,0.346,0.315	0.608,0.64,0.709	-0.346
2692	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096670	9096735	9095272	9095339	9096925	9096991	2692	0,0,2	179,195,194	73,64,45	223,224,150	134	138	0.0	0.0	0.0,0.0,0.011	0.252,0.227,0.236	-0.235
2693	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096149	9096202	9095272	9095339	9096382	9096438	2693	0,0,2	163,181,156	74,64,47	226,245,182	134	126	0.0	0.0	0.0,0.0,0.012	0.235,0.197,0.195	-0.205
2749	"FBgn0027932"	"Akap200"	chr2L	+	8427157	8427553	8427614	8429462	8426873	8427093	8430280	8430977	2749	1112,1574,1258	430,520,409	3980,2894,4306	606,366,503	148	148	0.0	0.0	0.721,0.752,0.755	0.868,0.888,0.895	-0.141
291	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	291	280,581,370	2529,3131,2332	1778,586,938	4269,1614,1895	148	148	0.0	0.0	0.1,0.157,0.137	0.294,0.266,0.331	-0.166
297	"FBgn0052230"	"CG32230"	chr3L	+	23339429	23339476	23339533	23339680	23339325	23339369	23341456	23341597	297	19,38,28	3501,4083,3520	96,68,47	1964,1275,989	120	148	0.0	0.0	0.007,0.011,0.01	0.057,0.062,0.055	-0.049
319	"FBgn0010078"	"RpL23"	chr2R	+	22854479	22854529	22854646	22854858	22854382	22854412	22855444	22855694	319	85,100,89	11189,13897,11084	308,129,167	12687,8159,8067	123	148	0.0	0.0	0.009,0.009,0.01	0.028,0.019,0.024	-0.014
364	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067357	27067495	27066607	27066665	27069143	27070070	364	203,293,268	266,352,230	318,250,240	88,59,62	148	148	0.0	0.0	0.433,0.454,0.538	0.783,0.809,0.795	-0.321
365	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067121	27067199	27066607	27066665	27069143	27070070	365	656,929,694	266,352,230	683,529,381	88,59,62	148	148	0.0	0.0	0.711,0.725,0.751	0.886,0.9,0.86	-0.153
74	"FBgn0020279"	"lig"	chr2R	+	8076292	8076448	8077259	8077292	8075859	8076108	8077730	8078815	74	675,839,610	122,157,125	1263,662,621	104,36,36	148	106	0.0	0.0	0.798,0.793,0.778	0.897,0.929,0.925	-0.127
2129	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2129	698,972,702	36,38,23	1071,619,496	136,70,76	148	148	3.33066907388e-16	4.71178651652e-14	0.951,0.962,0.968	0.887,0.898,0.867	0.076
361	"FBgn0003507"	"srp"	chr3R	+	16000612	16000785	16001188	16001406	15999845	16000059	16001751	16001916	361	95,110,106	329,377,293	285,119,182	331,148,144	148	148	5.55111512313e-16	7.36216643205e-14	0.224,0.226,0.266	0.463,0.446,0.558	-0.25
