ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1241	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	1241	664,870,694	198,275,203	512,368,583	367,330,363	637	74	0.0	0.0	0.28,0.269,0.284	0.139,0.115,0.157	0.141
1276	"FBgn0024491"	"Bin1"	chr3R	-	16189202	16189564	16189202	16189374	16189504	16189564	1276	512,949,542	10,25,17	1382,1165,1583	213,152,205	204	74	0.0	0.0	0.949,0.932,0.92	0.702,0.735,0.737	0.209
1336	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	1336	775,937,643	3,5,3	900,775,1025	51,32,46	1293	74	0.0	0.0	0.937,0.915,0.925	0.502,0.581,0.56	0.378
1424	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	1424	282,356,215	1,8,3	164,188,184	45,33,54	512	74	0.0	0.0	0.976,0.865,0.912	0.345,0.452,0.33	0.542
1431	"FBgn0261593"	"RpS10b"	chrX	+	19598030	19598211	19598030	19598073	19598148	19598211	1431	58,94,55	260,469,327	612,354,467	616,473,591	149	74	0.0	0.0	0.1,0.091,0.077	0.33,0.271,0.282	-0.205
1457	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	1457	889,1176,820	3,7,9	1094,745,1169	47,55,85	253	74	0.0	0.0	0.989,0.98,0.964	0.872,0.798,0.801	0.154
3027	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	3027	39,74,44	30,60,40	142,136,213	27,17,29	172	74	0.0	0.0	0.359,0.347,0.321	0.694,0.775,0.76	-0.401
3204	"FBgn0023170"	"RpL39"	chr2R	-	24062199	24062431	24062199	24062301	24062387	24062431	3204	1583,1470,1093	7669,17427,12876	1297,847,1195	24249,17588,22563	160	74	0.0	0.0	0.087,0.038,0.038	0.024,0.022,0.024	0.031
3450	"FBgn0034968"	"RpL12"	chr2R	+	24060377	24060582	24060377	24060444	24060512	24060582	3450	49,73,74	751,1089,807	250,193,269	1230,810,1066	142	74	0.0	0.0	0.033,0.034,0.046	0.096,0.11,0.116	-0.07
3854	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665744	12665799	3854	773,1169,945	30,45,29	882,740,1034	106,97,113	586	74	0.0	0.0	0.765,0.766,0.804	0.512,0.491,0.536	0.265
4066	"FBgn0027335"	"Rip11"	chrX	-	18636613	18636873	18636613	18636708	18636837	18636873	4066	1653,2189,1724	20,15,13	2203,1777,2215	80,58,84	203	74	0.0	0.0	0.968,0.982,0.98	0.909,0.918,0.906	0.066
3901	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	3901	364,493,342	2,3,1	507,447,571	27,28,32	182	74	3.33066907388e-16	9.7422070411e-14	0.987,0.985,0.993	0.884,0.867,0.879	0.112
784	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2830953	2830707	2830781	2830865	2830953	784	133,251,199	11,23,8	136,124,159	44,32,54	158	74	7.83817455385e-14	2.11630712954e-11	0.85,0.836,0.921	0.591,0.645,0.58	0.264
2259	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	2259	386,582,448	23,34,31	503,382,445	86,82,78	349	74	1.35114142097e-13	3.38750456257e-11	0.781,0.784,0.754	0.554,0.497,0.547	0.24
3637	"FBgn0045064"	"bwa"	chr2L	+	20072353	20073719	20072353	20072646	20073377	20073719	3637	189,262,155	111,133,97	493,360,471	114,98,99	805	74	1.01141317543e-12	2.36670683051e-10	0.135,0.153,0.128	0.284,0.252,0.304	-0.141
1966	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	1966	405,490,376	86,82,87	613,505,659	51,43,46	179	74	5.03985742029e-12	1.10561872158e-09	0.661,0.712,0.641	0.832,0.829,0.856	-0.168
516	"FBgn0016975"	"stnB"	chrX	-	22990167	22991790	22990167	22990774	22990837	22991790	516	198,272,231	17,34,25	202,201,262	65,67,82	137	74	5.98010529984e-12	1.16612053347e-09	0.863,0.812,0.833	0.627,0.618,0.633	0.21
854	"FBgn0031285"	"CG3662"	chr2L	+	823636	824337	823636	824137	824190	824337	854	550,787,588	18,20,17	892,670,900	78,62,75	127	74	5.7980287238e-12	1.16612053347e-09	0.947,0.958,0.953	0.87,0.863,0.875	0.083
3315	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	3315	60,108,75	13,27,12	85,61,73	67,42,63	138	74	2.11164419284e-11	3.90098479835e-09	0.712,0.682,0.77	0.405,0.438,0.383	0.313
301	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3326522	3326712	301	714,1046,835	6,14,7	824,683,829	37,26,34	229	74	5.12833109312e-11	9.00022106843e-09	0.975,0.96,0.975	0.878,0.895,0.887	0.083
1652	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	1652	217,279,232	29,68,38	194,172,219	111,112,90	630	74	9.53127576864e-11	1.59308466419e-08	0.468,0.325,0.418	0.17,0.153,0.222	0.222
2657	"FBgn0000100"	"RpLP0"	chr3L	+	22076091	22076335	22076091	22076136	22076247	22076335	2657	666,561,432	4626,9317,7133	515,450,514	11651,9477,11442	185	74	1.52823309563e-10	2.43822643894e-08	0.054,0.024,0.024	0.017,0.019,0.018	0.016
743	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	743	357,500,463	77,79,76	622,413,556	49,25,41	213	74	2.47575515644e-10	3.77821765178e-08	0.617,0.687,0.679	0.815,0.852,0.825	-0.17
3440	"FBgn0262057"	"Spn77Ba"	chr3L	+	20317189	20317788	20317189	20317416	20317478	20317788	3440	38,67,31	10,17,11	14,14,18	22,17,27	136	74	6.80094536243e-10	9.94638259255e-08	0.674,0.682,0.605	0.257,0.309,0.266	0.376
2951	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	2951	1413,1374,1321	4378,7663,5590	1808,1202,1581	12488,8469,11474	257	74	8.25005286309e-10	1.15830742198e-07	0.085,0.049,0.064	0.04,0.039,0.038	0.027
3225	"FBgn0034946"	"CG3065"	chr2R	+	23970304	23972233	23970304	23970685	23970755	23972233	3225	263,384,260	9,28,7	243,217,274	43,25,46	144	74	9.42343314492e-10	1.27216347456e-07	0.938,0.876,0.95	0.744,0.817,0.754	0.15
3536	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	3536	3386,4675,3410	6,5,17	4065,2969,3830	34,19,44	280	74	1.55020873915e-09	2.0152713609e-07	0.993,0.996,0.981	0.969,0.976,0.958	0.022
1649	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348421	20348941	20349206	1649	217,279,232	36,96,55	194,172,219	131,121,148	594	74	1.93898430645e-09	2.34683962608e-07	0.429,0.266,0.344	0.156,0.15,0.156	0.192
704	"FBgn0052062"	"A2bp1"	chr3L	+	10590119	10590390	10590119	10590186	10590326	10590390	704	3,1,2	0,0,0	4,9,2	1,2,6	214	74	1.9151338293e-09	2.34683962608e-07	1.0,1.0,1.0	0.58,0.609,0.103	0.569
561	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	561	462,629,489	192,393,249	584,449,660	549,443,656	262	74	2.05536165865e-09	2.40477314062e-07	0.405,0.311,0.357	0.231,0.223,0.221	0.133
667	"FBgn0026090"	"CG14812"	chrX	-	1858731	1858971	1858731	1858797	1858867	1858971	667	9,26,9	138,173,147	44,42,46	156,119,175	144	74	3.52206708243e-09	3.98788885785e-07	0.032,0.072,0.031	0.127,0.154,0.119	-0.088
2135	"FBgn0031883"	"Caper"	chr2L	+	7032720	7033018	7032720	7032839	7032903	7033018	2135	133,198,169	37,98,51	185,179,155	162,153,172	138	74	4.01914035386e-09	4.40849457564e-07	0.658,0.52,0.64	0.38,0.386,0.326	0.242
1232	"FBgn0259726"	"CG42380"	chr2R	-	21669536	21669916	21669536	21669693	21669754	21669916	1232	13,19,26	87,130,84	57,53,71	92,109,129	135	74	7.60571772229e-09	8.08971794098e-07	0.076,0.074,0.145	0.254,0.21,0.232	-0.134
3004	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	3004	233,337,217	373,920,630	371,247,313	1359,1063,1451	308	74	1.44917230438e-08	1.4960572907e-06	0.13,0.081,0.076	0.062,0.053,0.049	0.041
2550	"FBgn0040813"	"Nplp2"	chr3L	+	13356726	13356951	13356726	13356852	13356920	13356951	2550	624,613,483	0,0,0	868,626,806	14,8,24	142	74	2.8508773231e-08	2.85902268688e-06	1.0,1.0,1.0	0.97,0.976,0.946	0.036
1135	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13665452	13665526	1135	1970,2852,1981	773,801,694	3210,2645,3338	669,519,712	2475	74	2.97125704041e-08	2.8969756144e-06	0.071,0.096,0.079	0.125,0.132,0.123	-0.045
3280	"FBgn0043458"	"CG12084"	chr3L	-	1491983	1492463	1491983	1492229	1492313	1492463	3280	107,132,75	109,121,83	165,149,181	79,64,88	158	74	3.11051711055e-08	2.95078785352e-06	0.315,0.338,0.297	0.494,0.522,0.491	-0.186
788	"FBgn0038738"	"CG4572"	chr3R	-	19862516	19864393	19862516	19864191	19864324	19864393	788	118,194,144	69,73,64	370,284,375	65,60,81	207	74	4.15990437652e-08	3.84243798989e-06	0.379,0.487,0.446	0.671,0.629,0.623	-0.204
1063	"FBgn0028697"	"RpL15"	chr3L	+	27267425	27267528	27267425	27267455	27267513	27267528	1063	224,337,240	103,153,107	430,278,322	81,69,84	132	74	5.01658166119e-08	4.40205040769e-06	0.549,0.553,0.557	0.748,0.693,0.682	-0.155
609	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	609	105,169,136	34,69,37	105,75,86	88,50,87	148	74	4.94088274738e-08	4.40205040769e-06	0.607,0.55,0.648	0.374,0.429,0.331	0.224
3414	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	3414	52,111,64	269,313,201	231,160,229	378,321,418	147	74	5.14667368723e-08	4.40605479077e-06	0.089,0.151,0.138	0.235,0.201,0.216	-0.091
764	"FBgn0259740"	"CG42394"	chr3R	+	10851284	10851788	10851284	10851488	10851548	10851788	764	314,415,356	123,121,110	480,302,436	75,58,67	134	74	5.57361314879e-08	4.65794813149e-06	0.585,0.654,0.641	0.779,0.742,0.782	-0.141
1709	"FBgn0066084"	"RpL41"	chr2R	-	24903726	24903935	24903726	24903788	24903880	24903935	1709	3388,3945,3067	30593,56051,41085	3765,2295,3311	67469,45286,61957	166	74	8.09107629784e-08	6.60457623382e-06	0.047,0.03,0.032	0.024,0.022,0.023	0.013
1979	"FBgn0034181"	"CG8963"	chr2R	-	17019206	17019522	17019206	17019321	17019432	17019522	1979	66,113,63	31,63,55	77,48,92	134,97,126	185	74	8.31515747368e-08	6.63322789378e-06	0.46,0.418,0.314	0.187,0.165,0.226	0.205
2069	"FBgn0260742"	"CG12213"	chr3R	-	11965544	11966739	11965544	11966286	11966454	11966739	2069	43,53,32	84,122,93	115,107,105	125,80,129	242	74	9.06529490363e-08	7.07093002483e-06	0.135,0.117,0.095	0.22,0.29,0.199	-0.121
522	"FBgn0039904"	"Hcf"	chr4	+	371090	371357	371090	371160	371241	371357	522	315,430,333	3,7,5	433,337,493	26,19,22	155	74	1.67097633286e-07	1.27502759312e-05	0.98,0.967,0.97	0.888,0.894,0.915	0.073
733	"FBgn0021979"	"l(2)k09913"	chr2R	+	23067272	23067841	23067272	23067307	23067370	23067841	733	8,17,9	0,0,0	11,18,15	6,2,3	137	74	2.17652367906e-07	1.62544640713e-05	1.0,1.0,1.0	0.498,0.829,0.73	0.314
2666	"FBgn0064225"	"RpL5"	chr2L	-	22536370	22536565	22536370	22536378	22536536	22536565	2666	731,950,648	3884,6251,4347	952,715,1000	9703,6720,9394	232	74	3.29510907782e-07	2.40954851316e-05	0.057,0.046,0.045	0.03,0.033,0.033	0.017
3724	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	3724	235,308,250	246,359,317	759,469,767	498,373,497	177	74	3.71265164056e-07	2.65947086905e-05	0.285,0.264,0.248	0.389,0.345,0.392	-0.11
107	"FBgn0261385"	"scra"	chr2R	+	7590945	7591873	7590945	7591425	7591506	7591873	107	228,312,219	81,97,77	386,301,357	62,49,67	155	74	4.18857917572e-07	2.94038258136e-05	0.573,0.606,0.576	0.748,0.746,0.718	-0.152
836	"FBgn0035207"	"CG9153"	chr3L	+	1313695	1314090	1313695	1313908	1313974	1314090	836	136,157,117	9,17,8	147,157,156	34,30,45	140	74	4.97555456724e-07	3.42435226098e-05	0.889,0.83,0.885	0.696,0.734,0.647	0.176
1774	"FBgn0265998"	"Doa"	chr3R	+	28888072	28888534	28888072	28888248	28888308	28888534	1774	71,86,59	7,23,15	70,42,62	39,37,49	134	74	6.65814193779e-07	4.49424580801e-05	0.849,0.674,0.685	0.498,0.385,0.411	0.305
2722	"FBgn0032156"	"CG13124"	chr2L	-	9908307	9908633	9908307	9908481	9908531	9908633	2722	199,240,173	0,0,0	236,212,254	5,9,11	124	74	6.93204250113e-07	4.59084324131e-05	1.0,1.0,1.0	0.966,0.934,0.932	0.056
1856	"FBgn0039969"	"Fis1"	chr2R	-	5604610	5604834	5604610	5604650	5604709	5604834	1856	143,225,198	348,532,497	347,230,324	469,369,469	133	74	1.07683773332e-06	6.99944526658e-05	0.186,0.19,0.181	0.292,0.258,0.278	-0.09
3953	"FBgn0261550"	"CG42668"	chr3R	+	20309343	20310638	20309343	20309630	20309903	20310638	3953	414,563,440	106,125,94	523,460,605	75,54,50	347	74	1.14762338954e-06	7.32392381325e-05	0.454,0.49,0.5	0.598,0.645,0.721	-0.173
2503	"FBgn0030049"	"Trf4-1"	chrX	+	8563152	8564375	8563152	8563547	8563659	8564375	2503	75,89,55	7,4,7	46,45,36	12,18,18	186	74	1.23438460919e-06	7.73694638974e-05	0.81,0.898,0.758	0.604,0.499,0.443	0.307
1327	"FBgn0016696"	"Pitslre"	chr3L	+	20771527	20771864	20771527	20771608	20771667	20771864	1327	95,115,79	4,11,4	115,112,159	37,31,23	133	74	1.28394639864e-06	7.90640677057e-05	0.93,0.853,0.917	0.634,0.668,0.794	0.201
254	"FBgn0029914"	"CG4558"	chrX	+	6849769	6851884	6849769	6851052	6851299	6851884	254	17,7,6	40,33,14	15,21,28	9,19,8	321	74	1.45579603483e-06	8.81007600388e-05	0.089,0.047,0.09	0.278,0.203,0.447	-0.234
3506	"FBgn0037261"	"CG9775"	chr3R	-	4638009	4638839	4638009	4638409	4638543	4638839	3506	71,120,90	355,458,397	203,136,170	477,353,428	208	74	1.70587014048e-06	0.000101484816832	0.066,0.085,0.075	0.131,0.121,0.124	-0.05
1278	"FBgn0024491"	"Bin1"	chr3R	-	16189202	16189564	16189202	16189350	16189504	16189564	1278	599,1095,644	7,5,3	1604,1346,1835	39,23,35	228	74	1.78005793683e-06	0.000102426284562	0.965,0.986,0.986	0.93,0.95,0.944	0.038
3008	"FBgn0035333"	"CG1317"	chr3L	-	2368013	2370048	2368013	2368425	2368629	2370048	3008	184,254,196	93,118,105	328,233,310	80,72,82	278	74	1.77278313174e-06	0.000102426284562	0.345,0.364,0.332	0.522,0.463,0.502	-0.149
3955	"FBgn0261550"	"CG42668"	chr3R	+	20309343	20310638	20309343	20309666	20309903	20310638	3955	322,434,348	23,25,24	423,380,501	12,6,12	311	74	2.12856340687e-06	0.000120504154163	0.769,0.805,0.775	0.893,0.938,0.909	-0.13
2451	"FBgn0019957"	"ND42"	chr3R	+	22027708	22029148	22027708	22027780	22028019	22029148	2451	28,66,53	122,187,131	35,35,48	315,195,255	313	74	2.24841278285e-06	0.000125268712187	0.051,0.077,0.087	0.026,0.041,0.043	0.035
616	"FBgn0013981"	"His4r"	chr3R	+	14625787	14626229	14625787	14625815	14625999	14626229	616	12,11,13	0,0,0	49,21,38	3,5,2	258	74	2.49624743176e-06	0.000136903570086	1.0,1.0,1.0	0.824,0.546,0.845	0.262
14	"FBgn0033429"	"CG12929"	chr2R	-	9586109	9586595	9586109	9586231	9586289	9586595	14	55,34,42	61,60,47	15,8,19	59,34,58	132	74	2.73906668513e-06	0.000147909600997	0.336,0.241,0.334	0.125,0.117,0.155	0.171
3143	"FBgn0036534"	"DCP2"	chr3L	-	15823246	15823989	15823246	15823755	15823814	15823989	3143	94,157,110	1,4,0	115,105,153	9,10,10	133	74	3.0790387241e-06	0.000162796202142	0.981,0.956,1.0	0.877,0.854,0.895	0.104
3852	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665699	12665799	3852	709,1074,877	19,19,14	783,671,937	42,33,34	541	74	3.10750585286e-06	0.000162796202142	0.836,0.885,0.895	0.718,0.736,0.79	0.124
3352	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679690	11678943	11679184	11679566	11679690	3352	392,603,392	21,13,5	623,432,626	52,30,50	456	74	4.32513034876e-06	0.000223253051826	0.752,0.883,0.927	0.66,0.7,0.67	0.177
2652	"FBgn0015000"	"betaggt-I"	chr2L	+	4946906	4948324	4946906	4947734	4947825	4948324	2652	369,434,311	65,72,63	474,360,447	45,29,46	165	74	5.8865899708e-06	0.000299448272428	0.718,0.73,0.689	0.825,0.848,0.813	-0.116
