ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1227	"FBgn0013263"	"Trl"	chr3L	-	14757662	14757962	14757907	14757962	14756903	14757330	1227	57,118,52	3,8,4	64,48,23	42,45,21	319	74	0.0	0.0	0.815,0.774,0.751	0.261,0.198,0.203	0.559
1229	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	1229	181,260,152	3,8,4	140,105,88	42,45,21	498	74	0.0	0.0	0.9,0.828,0.85	0.331,0.257,0.384	0.535
1230	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1230	103,156,81	3,8,4	80,64,49	42,45,21	140	74	0.0	0.0	0.948,0.912,0.915	0.502,0.429,0.552	0.431
2068	"FBgn0266084"	"Fhos"	chr3L	+	8796999	8797821	8796999	8797226	8798120	8798719	2068	40,60,47	58,73,43	356,291,348	89,94,121	669	74	0.0	0.0	0.071,0.083,0.108	0.307,0.255,0.241	-0.18
210	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	210	2002,2698,2095	588,870,639	2014,1646,1945	1231,1004,1402	419	74	0.0	0.0	0.376,0.354,0.367	0.224,0.225,0.197	0.15
1617	"FBgn0041210"	"HDAC4"	chrX	-	13284891	13285632	13285202	13285632	13276434	13276547	1617	146,254,136	0,0,1	218,193,148	32,24,8	385	74	2.22044604925e-16	6.672440378e-14	1.0,1.0,0.963	0.567,0.607,0.781	0.336
1081	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348385	20348941	20349206	1081	113,183,162	29,68,38	99,77,76	110,76,95	339	74	4.4408920985e-16	1.14384692194e-13	0.46,0.37,0.482	0.164,0.181,0.149	0.273
1703	"FBgn0034708"	"Vps35"	chr2R	+	22185971	22186320	22185971	22186094	22186516	22186706	1703	289,300,246	79,118,78	133,127,107	144,113,99	300	74	5.55111512313e-16	1.25108257088e-13	0.474,0.385,0.438	0.186,0.217,0.21	0.228
1077	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348421	20348941	20349206	1077	113,183,162	36,96,55	98,77,76	126,99,135	303	74	1.88737914186e-15	3.78104954753e-13	0.434,0.318,0.418	0.16,0.16,0.121	0.243
1853	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460908	30460466	30460789	30462814	30462969	1853	352,421,313	131,167,143	228,184,150	246,187,138	193	74	3.10862446895e-15	5.60484991752e-13	0.507,0.492,0.456	0.262,0.274,0.294	0.208
1852	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460894	30460466	30460789	30462814	30462969	1852	350,418,313	131,167,143	228,180,155	246,187,138	179	74	5.10702591328e-15	7.6733064347e-13	0.525,0.509,0.475	0.277,0.285,0.317	0.21
1854	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460890	30460466	30460789	30462814	30462969	1854	432,517,415	131,167,143	289,242,194	246,187,138	175	74	4.99600361081e-15	7.6733064347e-13	0.582,0.567,0.551	0.332,0.354,0.373	0.214
1043	"FBgn0261802"	"CG42748"	chr2L	+	22156620	22157055	22156620	22156815	22158512	22159611	1043	11,16,18	40,53,53	55,50,41	42,25,25	314	74	7.94919685632e-14	1.1024924563e-11	0.061,0.066,0.074	0.236,0.32,0.279	-0.211
797	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	797	21,38,17	64,79,64	2,1,5	66,61,52	200	74	3.59989815735e-12	4.6361545555e-10	0.108,0.151,0.089	0.011,0.006,0.034	0.099
1455	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642422	4641962	4642008	4642568	4642658	1455	447,662,518	0,2,1	483,435,515	11,14,12	488	74	2.61283217284e-11	3.14062427175e-09	1.0,0.98,0.987	0.869,0.825,0.867	0.135
1737	"FBgn0022153"	"l(2)k05819"	chr2L	+	4396009	4396172	4396009	4396127	4396809	4396906	1737	24,36,32	61,76,53	79,80,46	54,43,29	119	74	4.2444048276e-11	4.7829136901e-09	0.197,0.228,0.273	0.476,0.536,0.497	-0.27
1337	"FBgn0264894"	"CG44085"	chr2L	+	13271295	13271972	13271295	13271627	13272233	13273048	1337	264,259,180	22,20,16	145,102,98	35,38,27	419	74	1.43838940758e-10	1.52553888345e-08	0.679,0.696,0.665	0.423,0.322,0.391	0.301
1144	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8386216	8386385	1144	494,651,450	2,1,1	677,504,493	16,13,15	276	74	1.99952054913e-10	2.00285308338e-08	0.985,0.994,0.992	0.919,0.912,0.898	0.081
1454	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642568	4642658	1454	528,785,611	0,2,1	624,594,697	11,14,12	494	74	3.14414938529e-10	2.98363228509e-08	1.0,0.983,0.989	0.895,0.864,0.897	0.105
2534	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6003672	6003911	6001557	6001736	2534	2308,3308,2530	1569,1849,1415	4676,4278,4079	1564,1380,1604	1684	74	3.67585073491e-10	3.15598041669e-08	0.061,0.073,0.073	0.116,0.12,0.101	-0.043
2556	"FBgn0038947"	"Sar1"	chr3R	+	22356684	22357047	22356684	22356749	22357530	22357671	2556	18,17,26	59,110,82	3,5,10	137,101,157	372	74	3.63060026487e-10	3.15598041669e-08	0.057,0.03,0.059	0.004,0.01,0.013	0.04
2464	"FBgn0260936"	"scny"	chr3L	+	5774413	5775013	5774413	5774846	5775188	5775845	2464	94,145,74	7,11,5	127,146,162	34,45,44	241	74	2.12382877951e-09	1.74057422248e-07	0.805,0.802,0.82	0.534,0.499,0.531	0.288
2647	"FBgn0027335"	"Rip11"	chrX	-	18637330	18637573	18637412	18637573	18636613	18636873	2647	208,211,157	508,540,450	137,119,132	674,612,613	156	74	1.05999449218e-08	8.30943508435e-07	0.163,0.156,0.142	0.088,0.084,0.093	0.065
462	"FBgn0039136"	"CG5902"	chr3R	+	23986641	23986946	23986641	23986715	23987031	23987210	462	45,85,62	111,139,104	74,57,71	345,243,273	305	74	1.32239723616e-08	9.93450923665e-07	0.09,0.129,0.126	0.049,0.054,0.059	0.061
1488	"FBgn0053558"	"mim"	chr2R	-	6927389	6928836	6928508	6928836	6926669	6926821	1488	81,83,68	83,88,78	132,138,135	79,46,63	1193	74	1.75621727161e-08	1.26658389629e-06	0.057,0.055,0.051	0.094,0.157,0.117	-0.068
231	"FBgn0261268"	"Cul3"	chr2L	-	15271322	15272024	15271833	15272024	15270904	15271143	231	82,158,99	50,79,56	96,58,77	140,81,76	585	74	2.06171648642e-08	1.42972108654e-06	0.172,0.202,0.183	0.08,0.083,0.114	0.093
502	"FBgn0013987"	"MAPk-Ak2"	chrX	-	5764068	5764203	5764093	5764203	5762100	5762681	502	267,406,258	355,563,383	263,229,239	683,553,569	99	74	2.97153536222e-08	1.98432528077e-06	0.36,0.35,0.335	0.223,0.236,0.239	0.116
2384	"FBgn0000083"	"AnxB9"	chr3R	+	21065240	21065401	21065240	21065285	21067445	21067499	2384	366,416,396	187,357,280	385,241,277	411,374,419	190	74	4.96013814466e-08	3.19397466958e-06	0.433,0.312,0.355	0.267,0.201,0.205	0.142
2613	"FBgn0259978"	"vlc"	chr2R	+	5702111	5702293	5702111	5702187	5702866	5702947	2613	319,440,292	7,6,5	338,262,276	23,26,12	180	74	5.14965086129e-08	3.20166224238e-06	0.949,0.968,0.96	0.858,0.806,0.904	0.103
415	"FBgn0004867"	"RpS2"	chr2L	-	9897211	9897521	9897472	9897521	9896264	9897131	415	100,142,104	1106,1885,1325	86,113,78	3031,2541,2967	335	74	6.61298286131e-08	3.97440269965e-06	0.02,0.016,0.017	0.006,0.01,0.006	0.01
2557	"FBgn0038947"	"Sar1"	chr3R	+	22356684	22356798	22356684	22356749	22357530	22357671	2557	10,37,32	59,110,82	10,10,17	137,101,157	123	74	1.29743458532e-07	7.54604695914e-06	0.093,0.168,0.19	0.042,0.056,0.061	0.097
987	"FBgn0004919"	"gol"	chr2R	-	25074036	25075338	25075241	25075338	25073277	25073589	987	1430,2078,1646	2,2,3	2539,1798,2174	15,9,20	1279	74	5.03307843625e-07	2.83582513142e-05	0.976,0.984,0.969	0.907,0.92,0.863	0.08
1849	"FBgn0037120"	"CG11247"	chr3L	-	21728286	21728673	21728450	21728673	21726162	21726937	1849	220,305,281	10,12,5	278,232,214	31,22,22	238	74	5.57845031612e-07	3.04786239999e-05	0.872,0.888,0.946	0.736,0.766,0.752	0.151
2208	"FBgn0020309"	"crol"	chr2L	-	11802286	11803674	11802904	11803674	11800154	11800322	2208	1633,1901,1361	24,23,18	1828,1633,1009	49,45,44	692	74	6.44042413622e-07	3.41531903459e-05	0.879,0.898,0.89	0.8,0.795,0.71	0.121
693	"FBgn0028697"	"RpL15"	chr3L	+	27267254	27267523	27267254	27267455	27267591	27267918	693	105,170,116	18,53,40	306,229,275	34,21,26	142	74	8.86807797085e-07	4.56832702327e-05	0.752,0.626,0.602	0.824,0.85,0.846	-0.18
2207	"FBgn0020309"	"crol"	chr2L	-	11802370	11803674	11802904	11803674	11800154	11800322	2207	1370,1648,1191	24,23,18	1576,1457,895	49,45,44	608	74	1.16565527997e-06	5.83799019385e-05	0.874,0.897,0.89	0.797,0.798,0.712	0.118
758	"FBgn0000464"	"Lar"	chr2L	+	19701749	19702034	19701749	19702025	19714888	19714989	758	10,6,9	0,0,0	8,10,2	4,4,1	83	74	1.59922613463e-06	7.72831220598e-05	1.0,1.0,1.0	0.641,0.69,0.641	0.343
94	"FBgn0053129"	"CG33129"	chr2L	-	10967855	10968166	10968104	10968166	10966501	10966621	94	18,13,13	26,35,31	57,55,47	43,37,35	323	74	1.62881788035e-06	7.72831220598e-05	0.137,0.078,0.088	0.233,0.254,0.235	-0.14
140	"FBgn0033226"	"CG1882"	chr2R	+	7812503	7812992	7812503	7812691	7813280	7814745	140	719,960,816	7,5,5	1318,1106,1194	20,29,29	375	74	1.70742883532e-06	7.89357484636e-05	0.953,0.974,0.97	0.929,0.883,0.89	0.065
1447	"FBgn0028487"	"f-cup"	chr3R	-	13696436	13696768	13696443	13696768	13696202	13696346	1447	0,0,1	1,1,0	2,0,1	0,1,0	81	74	2.27486933624e-06	0.000100577041233	0.0,0.0,1.0	1.0,0.0,1.0	-0.333
1448	"FBgn0028487"	"f-cup"	chr3R	-	13696438	13696768	13696443	13696768	13696202	13696346	1448	0,0,1	1,1,0	2,0,1	0,1,0	79	74	2.28710964534e-06	0.000100577041233	0.0,0.0,1.0	1.0,0.0,1.0	-0.333
2609	"FBgn0259978"	"vlc"	chr2R	+	5702111	5702388	5702111	5702187	5702866	5702947	2609	194,331,216	7,6,5	278,251,210	23,26,12	275	74	2.6690512156e-06	0.000114578555755	0.882,0.937,0.921	0.765,0.722,0.825	0.143
1821	"FBgn0040305"	"MTF-1"	chr3L	+	9430311	9431333	9430311	9430836	9434395	9434498	1821	41,31,23	19,43,32	107,86,68	34,31,25	571	74	3.07890836715e-06	0.00012909934386	0.219,0.085,0.085	0.29,0.264,0.261	-0.142
150	"FBgn0020279"	"lig"	chr2R	+	8073973	8074500	8073973	8074404	8075472	8075607	150	1676,1664,1305	11,9,10	1354,1114,1070	24,21,20	170	74	3.21254816449e-06	0.000131641462286	0.985,0.988,0.983	0.961,0.958,0.959	0.026
1317	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16637949	16637893	16637927	16638232	16638303	1317	51,64,48	1280,2348,1535	53,47,88	4046,2787,4261	96	74	4.73724597383e-06	0.000181728818954	0.03,0.021,0.024	0.01,0.013,0.016	0.012
