ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1168	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1168	852,1347,1073	61,107,95	1091,910,972	357,222,206	148	74	0.0	0.0	0.875,0.863,0.85	0.604,0.672,0.702	0.203
1362	"FBgn0025741"	"PlexA"	chr4	-	1014582	1014728	1014317	1014526	1014777	1014908	1362	416,599,460	1,2,1	928,446,406	42,19,27	148	74	0.0	0.0	0.995,0.993,0.996	0.917,0.921,0.883	0.088
1553	"FBgn0034072"	"Dg"	chr2R	-	16086930	16087725	16085563	16085620	16088304	16088365	1553	30,38,34	125,153,105	150,159,166	128,111,99	148	74	0.0	0.0	0.107,0.11,0.139	0.369,0.417,0.456	-0.295
1704	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1704	299,455,384	18,6,10	419,213,291	73,46,45	105	74	0.0	0.0	0.921,0.982,0.964	0.802,0.765,0.82	0.16
1950	"FBgn0003507"	"srp"	chr3R	+	16001188	16001406	15999845	16000059	16001751	16001916	1950	329,377,293	0,2,0	331,148,144	36,13,7	148	74	0.0	0.0	1.0,0.99,1.0	0.821,0.851,0.911	0.136
1962	"FBgn0003495"	"spz"	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	1962	203,293,268	593,754,620	318,250,240	349,255,223	148	74	0.0	0.0	0.146,0.163,0.178	0.313,0.329,0.35	-0.168
2032	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	2032	40,41,24	3,5,3	42,59,39	84,53,57	148	74	0.0	0.0	0.87,0.804,0.8	0.2,0.358,0.255	0.554
2034	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	2034	51,51,25	3,5,3	51,64,41	84,53,57	148	74	0.0	0.0	0.895,0.836,0.806	0.233,0.376,0.265	0.554
2035	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	2035	58,81,43	3,5,3	101,75,51	84,53,57	148	74	0.0	0.0	0.906,0.89,0.878	0.375,0.414,0.309	0.525
2100	"FBgn0027492"	"wdb"	chr3R	-	27580156	27580325	27568278	27568591	27582001	27582241	2100	23,31,37	194,233,140	126,161,144	220,263,273	148	74	0.0	0.0	0.056,0.062,0.117	0.223,0.234,0.209	-0.144
