ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1023	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1023	76,79,111	666,559,721	224,274,279	461,590,624	80	74	0.0	0.0	0.095,0.116,0.125	0.31,0.3,0.293	-0.189
1048	"FBgn0030838"	"CG5445"	chrX	+	17302469	17302786	17302469	17302507	17302838	17303390	1048	261,242,186	3,8,4	128,139,138	24,28,24	353	74	0.0	0.0	0.948,0.864,0.907	0.528,0.51,0.547	0.378
1088	"FBgn0032938"	"CG8671"	chr2L	+	21262955	21263179	21262955	21263123	21263647	21263786	1088	32,22,18	105,64,65	52,77,53	25,33,39	130	74	0.0	0.0	0.148,0.164,0.136	0.542,0.57,0.436	-0.367
1740	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536620	22536650	22536114	22536378	1740	10327,6708,8664	22,22,32	3396,4095,5842	66,80,107	158	74	0.0	0.0	0.995,0.993,0.992	0.96,0.96,0.962	0.033
2155	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2155	225,192,159	110,71,88	83,151,124	210,281,255	219	74	0.0	0.0	0.409,0.477,0.379	0.118,0.154,0.141	0.284
2163	"FBgn0036213"	"RpL10Ab"	chr3L	+	11823199	11823565	11823199	11823355	11823657	11824211	2163	531,500,562	9517,8292,9782	422,452,431	2425,3615,3725	284	74	0.0	0.0	0.014,0.015,0.015	0.043,0.032,0.029	-0.02
2252	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2252	1619,1615,1786	8813,8272,10288	106,167,268	2552,3304,4305	257	74	0.0	0.0	0.05,0.053,0.048	0.012,0.014,0.018	0.036
481	"FBgn0003392"	"shi"	chrX	+	15892199	15892440	15892199	15892251	15892827	15893150	481	217,179,162	17,17,9	202,224,181	116,116,95	263	74	0.0	0.0	0.782,0.748,0.835	0.329,0.352,0.349	0.445
485	"FBgn0003392"	"shi"	chrX	+	15892199	15892581	15892199	15892251	15892827	15893150	485	187,140,138	17,17,9	159,178,183	116,116,95	404	74	0.0	0.0	0.668,0.601,0.737	0.201,0.219,0.261	0.442
488	"FBgn0003392"	"shi"	chrX	+	15892199	15892569	15892199	15892251	15892827	15893150	488	184,140,139	17,17,9	161,179,187	116,116,95	392	74	0.0	0.0	0.671,0.609,0.745	0.208,0.226,0.271	0.44
491	"FBgn0003392"	"shi"	chrX	+	15892199	15892417	15892199	15892251	15892827	15893150	491	135,123,126	17,17,9	128,150,141	116,116,95	240	74	0.0	0.0	0.71,0.69,0.812	0.254,0.285,0.314	0.453
706	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267459	27267255	27267283	27267591	27267918	706	714,570,618	121,126,213	530,703,635	478,767,693	250	74	0.0	0.0	0.636,0.572,0.462	0.247,0.213,0.213	0.332
