ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1880	"FBgn0052423"	"shep"	chr3L	-	5162455	5162631	5162455	5162610	5162966	5163149	1880	164,141,164	291,266,289	82,77,97	383,282,443	94	74	5.61883872763e-13	8.79348260874e-10	0.307,0.294,0.309	0.144,0.177,0.147	0.147
1645	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1645	137,100,147	176,159,174	58,49,54	191,158,204	148	74	3.68760577629e-12	2.88555151995e-09	0.28,0.239,0.297	0.132,0.134,0.117	0.144
1905	"FBgn0036240"	"CG6928"	chr3L	+	12007493	12008051	12007615	12008051	12007220	12007400	1905	54,46,56	27,28,33	16,16,19	46,28,50	148	74	2.24601448551e-11	1.17167088994e-08	0.5,0.451,0.459	0.148,0.222,0.16	0.293
1053	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1053	429,475,485	234,170,242	316,240,324	318,248,279	91	74	2.79189782404e-10	1.09233002366e-07	0.599,0.694,0.62	0.447,0.44,0.486	0.18
621	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	621	226,212,252	517,450,528	119,103,126	532,414,563	88	74	3.53488127658e-10	1.10641783957e-07	0.269,0.284,0.286	0.158,0.173,0.158	0.117
1767	"FBgn0031228"	"CG11455"	chr2L	+	155566	155784	155637	155784	155334	155429	1767	576,494,701	29,26,38	747,536,766	10,3,18	144	74	1.79447456894e-09	4.68058783399e-07	0.911,0.907,0.905	0.975,0.989,0.956	-0.066
1768	"FBgn0031228"	"CG11455"	chr2L	+	155545	155784	155637	155784	155334	155429	1768	487,420,573	29,26,38	580,416,608	10,3,18	148	74	1.28672420496e-08	2.8767476868e-06	0.894,0.89,0.883	0.967,0.986,0.944	-0.077
631	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	631	521,500,470	55,59,55	607,570,687	28,30,35	124	74	8.22465626715e-08	1.60894838226e-05	0.85,0.835,0.836	0.928,0.919,0.921	-0.082
1485	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1485	330,303,379	110,98,84	402,335,445	69,34,59	148	74	2.02772173274e-07	3.52598279082e-05	0.6,0.607,0.693	0.744,0.831,0.79	-0.155
1895	"FBgn0020767"	"Spred"	chr2R	-	14762918	14763074	14762918	14763008	14763830	14763999	1895	242,216,201	34,43,37	281,210,295	15,12,26	139	74	2.9917550215e-07	4.68209660865e-05	0.791,0.728,0.743	0.909,0.903,0.858	-0.136
