ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1065	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1065	852,1347,1073	61,107,95	951,782,798	296,220,225	148	74	0.0	0.0	0.875,0.863,0.85	0.616,0.64,0.639	0.231
1536	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1536	299,455,384	18,6,10	328,362,324	46,57,48	105	74	0.0	0.0	0.921,0.982,0.964	0.834,0.817,0.826	0.13
1837	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1837	40,41,24	3,5,3	45,32,31	69,47,49	148	74	0.0	0.0	0.87,0.804,0.8	0.246,0.254,0.24	0.578
1839	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1839	51,51,25	3,5,3	48,38,37	69,47,49	148	74	0.0	0.0	0.895,0.836,0.806	0.258,0.288,0.274	0.572
1840	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1840	58,81,43	3,5,3	57,41,46	69,47,49	148	74	0.0	0.0	0.906,0.89,0.878	0.292,0.304,0.319	0.586
2150	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2150	59,76,69	418,435,365	14,19,29	557,467,534	148	74	0.0	0.0	0.066,0.08,0.086	0.012,0.02,0.026	0.058
2506	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2506	199,294,183	0,0,0	257,243,158	28,24,19	139	74	0.0	0.0	1.0,1.0,1.0	0.83,0.844,0.816	0.17
2590	"FBgn0015286"	"Rala"	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2590	836,1045,852	36,43,24	777,685,606	176,167,159	148	74	0.0	0.0	0.921,0.924,0.947	0.688,0.672,0.656	0.259
2820	"FBgn0004607"	"zfh2"	chr4	+	536965	537075	532982	535880	537174	538373	2820	248,389,310	8,5,7	623,388,375	74,44,59	148	74	0.0	0.0	0.939,0.975,0.957	0.808,0.815,0.761	0.162
3056	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3056	5,14,5	1722,2233,1649	195,195,179	1686,1380,1417	106	74	0.0	0.0	0.002,0.004,0.002	0.075,0.09,0.081	-0.079
305	"FBgn0014141"	"cher"	chr3R	-	17109707	17109722	17108747	17108839	17110213	17110549	305	0,0,0	117,178,106	22,22,13	153,134,58	88	74	0.0	0.0	0.0,0.0,0.0	0.108,0.121,0.159	-0.129
3215	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3215	6,9,5	563,623,412	129,85,103	420,381,415	148	74	0.0	0.0	0.005,0.007,0.006	0.133,0.1,0.11	-0.108
3447	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3447	195,272,234	10,13,10	203,178,230	110,98,84	148	74	0.0	0.0	0.907,0.913,0.921	0.48,0.476,0.578	0.402
3465	"FBgn0041210"	"HDAC4"	chrX	-	13282165	13282229	13276434	13276547	13285202	13285632	3465	115,114,90	0,0,1	93,93,52	32,24,8	137	74	0.0	0.0	1.0,1.0,0.98	0.611,0.677,0.778	0.305
3597	"FBgn0000173"	"ben"	chrX	+	13996615	13996728	13996344	13996523	13998094	13999805	3597	14,7,9	404,577,447	50,48,56	504,412,487	148	74	0.0	0.0	0.017,0.006,0.01	0.047,0.055,0.054	-0.041
3867	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	3867	0,0,2	273,268,177	18,20,33	159,149,135	148	74	0.0	0.0	0.0,0.0,0.006	0.054,0.063,0.109	-0.073
4082	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4082	44,42,48	144,148,82	239,212,246	50,44,40	148	74	0.0	0.0	0.133,0.124,0.226	0.705,0.707,0.755	-0.561
4370	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4370	9,12,12	111,169,122	54,51,61	129,119,106	148	74	0.0	0.0	0.039,0.034,0.047	0.173,0.176,0.223	-0.151
4429	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	4429	409,523,381	1,3,1	450,338,167	35,28,13	106	74	0.0	0.0	0.997,0.992,0.996	0.9,0.894,0.9	0.097
4484	"FBgn0002183"	"dre4"	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4484	436,619,415	243,347,313	286,256,350	500,427,600	148	74	0.0	0.0	0.473,0.471,0.399	0.222,0.231,0.226	0.221
4921	"FBgn0042174"	"CR18854"	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	4921	235,303,255	110,104,83	732,635,714	53,56,70	131	74	0.0	0.0	0.547,0.622,0.634	0.886,0.865,0.852	-0.267
5052	"FBgn0266410"	"CG45050"	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5052	42,59,44	206,309,255	184,123,177	323,243,209	148	74	0.0	0.0	0.093,0.087,0.079	0.222,0.202,0.297	-0.154
524	"FBgn0025726"	"unc-13"	chr4	-	882616	882723	876869	877194	882960	883081	524	67,85,57	26,57,30	188,214,160	19,16,10	148	74	0.0	0.0	0.563,0.427,0.487	0.832,0.87,0.889	-0.371
5306	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5306	509,615,489	9,11,10	344,281,363	78,76,77	148	74	0.0	0.0	0.966,0.965,0.961	0.688,0.649,0.702	0.284
644	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	644	26,45,26	1205,1932,1369	149,126,142	2088,1647,1812	148	74	0.0	0.0	0.011,0.012,0.009	0.034,0.037,0.038	-0.026
687	"FBgn0039959"	"CG17514"	chr3L	-	27987737	27988702	27967243	27974140	28012380	28012483	687	119,190,143	4,3,3	244,161,134	50,38,29	148	74	0.0	0.0	0.937,0.969,0.96	0.709,0.679,0.698	0.26
815	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	815	79,116,80	674,898,748	499,469,416	582,547,513	130	74	0.0	0.0	0.063,0.068,0.057	0.328,0.328,0.316	-0.261
819	"FBgn0030052"	"CG12065"	chrX	+	8584842	8584923	8584455	8584575	8585809	8585918	819	4,10,2	340,425,360	54,60,74	307,314,288	148	74	0.0	0.0	0.006,0.012,0.003	0.081,0.087,0.114	-0.087
858	"FBgn0020660"	"eIF-4B"	chr3L	-	27847424	27847485	27844504	27844604	27856783	27857935	858	369,611,441	29,44,32	442,416,528	221,167,214	134	74	0.0	0.0	0.875,0.885,0.884	0.525,0.579,0.577	0.321
2060	"FBgn0264693"	"ens"	chr3L	-	4130388	4130643	4129650	4129791	4131120	4131236	2060	4,8,1	155,159,129	25,34,19	114,108,78	148	74	1.11022302463e-16	1.59594559791e-14	0.013,0.025,0.004	0.099,0.136,0.109	-0.101
4925	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	4925	0,4,5	123,188,128	33,36,32	215,150,157	112	74	1.11022302463e-16	1.59594559791e-14	0.0,0.014,0.025	0.092,0.137,0.119	-0.103
5423	"FBgn0030752"	"CG9947"	chrX	-	16439423	16439514	16437420	16439286	16439596	16439762	5423	14,10,11	534,652,507	52,37,48	455,395,498	148	74	1.11022302463e-16	1.59594559791e-14	0.013,0.008,0.011	0.054,0.045,0.046	-0.038
3824	"FBgn0004395"	"unk"	chr3R	-	23155439	23155549	23154844	23154967	23155808	23156011	3824	12,5,1	76,96,65	35,31,21	52,47,43	148	74	2.22044604925e-16	3.09516722017e-14	0.073,0.025,0.008	0.252,0.248,0.196	-0.197
4909	"FBgn0261556"	"CG42674"	chr3L	-	20156679	20157222	20155900	20155998	20158479	20158668	4909	0,0,0	121,107,65	16,14,13	69,60,47	148	74	4.4408920985e-16	6.00826578032e-14	0.0,0.0,0.0	0.104,0.104,0.121	-0.11
5397	"FBgn0260936"	"scny"	chr3L	+	5774413	5774846	5772432	5774076	5775188	5775845	5397	44,53,40	181,259,185	100,95,122	165,139,155	148	74	5.55111512313e-16	7.29575130469e-14	0.108,0.093,0.098	0.233,0.255,0.282	-0.157
