ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1014	"FBgn0026199"	"myo"	chr4	-	692424	692843	690685	692359	693380	694416	1014	3111	27	816	54	494	75	0.0	0.0	0.946	0.696	0.25
1053	"FBgn0039928"	"Cals"	chr4	-	1120658	1120801	1120105	1120606	1121458	1121622	1053	1861	1	462	52	218	75	0.0	0.0	0.998	0.753	0.245
1095	"FBgn0030056"	"CG11284"	chrX	+	8686694	8687054	8681251	8681828	8687231	8687742	1095	2557	1	827	37	435	75	0.0	0.0	0.998	0.794	0.204
1242	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1242	773	17	42	56	107	75	0.0	0.0	0.97	0.345	0.625
1319	"FBgn0086361"	"alph"	chr3R	+	29597775	29597908	29597418	29597473	29598163	29598942	1319	664	297	178	262	208	75	0.0	0.0	0.446	0.197	0.249
1321	"FBgn0039897"	"CG1674"	chr4	+	232278	232848	231934	231977	234264	234345	1321	500	315	381	41	645	75	0.0	0.0	0.156	0.519	-0.363
1424	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27066607	27066665	27069143	27070070	1424	401	387	122	17	231	75	0.0	0.0	0.252	0.7	-0.448
1636	"FBgn0261113"	"Xrp1"	chr3R	+	18920412	18921319	18918259	18918625	18925077	18925796	1636	14541	19	12157	144	982	75	0.0	0.0	0.983	0.866	0.117
1639	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18920412	18921319	1639	3782	0	3184	73	165	75	0.0	0.0	1.0	0.952	0.048
1640	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	1640	1677	19	1600	144	165	75	0.0	0.0	0.976	0.835	0.141
1673	"FBgn0035162"	"CG13900"	chr3L	-	830621	830728	830033	830341	830907	831242	1673	535	213	105	147	182	75	0.0	0.0	0.509	0.227	0.282
1695	"FBgn0023213"	"eIF4G"	chr4	-	927392	928151	926010	926661	929821	930023	1695	616	688	955	191	834	75	0.0	0.0	0.075	0.31	-0.235
1918	"FBgn0264605"	"CG43954"	chr3L	-	16694201	16694296	16681237	16681370	16710942	16711677	1918	770	1	181	29	170	75	0.0	0.0	0.997	0.734	0.263
1978	"FBgn0013749"	"Arf102F"	chr4	+	1124435	1124698	1124166	1124331	1124767	1124893	1978	3235	7	1501	103	338	75	0.0	0.0	0.99	0.764	0.226
2046	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16298469	16298550	16301244	16301351	2046	99	475	170	174	174	75	0.0	0.0	0.082	0.296	-0.214
2055	"FBgn0263391"	"hts"	chr2R	-	19418556	19418605	19411159	19411271	19423593	19423797	2055	478	2	76	28	124	75	0.0	0.0	0.993	0.621	0.372
2083	"FBgn0000117"	"arm"	chrX	-	1898979	1899039	1895113	1896753	1900509	1900646	2083	1039	0	179	23	135	75	0.0	0.0	1.0	0.812	0.188
2084	"FBgn0000117"	"arm"	chrX	-	1898979	1899039	1895113	1896753	1900043	1900173	2084	1655	0	327	61	135	75	0.0	0.0	1.0	0.749	0.251
2103	"FBgn0016930"	"Dyrk2"	chr2L	-	14217026	14217069	14197656	14197867	14222016	14222081	2103	130	1	48	46	118	75	0.0	0.0	0.988	0.399	0.589
2226	"FBgn0004607"	"zfh2"	chr4	+	536965	537075	532982	535880	537174	538373	2226	1841	193	295	387	185	75	0.0	0.0	0.795	0.236	0.559
2411	"FBgn0051363"	"Jupiter"	chr3R	-	11593632	11593766	11592366	11592624	11619703	11619906	2411	1295	2	419	38	209	75	0.0	0.0	0.996	0.798	0.198
26	"FBgn0026401"	"Nipped-B"	chr2R	-	4728008	4728124	4727793	4727953	4728432	4728551	26	4166	180	2209	608	191	75	0.0	0.0	0.901	0.588	0.313
2812	"FBgn0058178"	"CG40178"	chr3L	-	25969229	25969627	25961359	25961540	25977966	25978150	2812	832	40	173	90	473	75	0.0	0.0	0.767	0.234	0.533
2815	"FBgn0058178"	"CG40178"	chr3L	-	25873859	25874085	25843724	25844107	25933195	25933410	2815	1705	4	551	42	301	75	0.0	0.0	0.991	0.766	0.225
2817	"FBgn0058178"	"CG40178"	chr3L	-	25873859	25874085	25843724	25844107	25924295	25924456	2817	1705	3	546	44	301	75	0.0	0.0	0.993	0.756	0.237
2930	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536565	22536114	22536378	22536620	22536687	2930	17715	210	5204	172	104	75	0.0	0.0	0.984	0.956	0.028
305	"FBgn0020647"	"KrT95D"	chr3R	-	24002421	24002547	24000179	24000780	24003415	24003764	305	769	46	339	98	201	75	0.0	0.0	0.862	0.563	0.299
3136	"FBgn0035423"	"CG17737"	chr3L	+	3223769	3223927	3223340	3223526	3224313	3224650	3136	11224	0	3559	96	233	75	0.0	0.0	1.0	0.923	0.077
3189	"FBgn0263120"	"Acsl"	chr2R	+	8676471	8676607	8674646	8674871	8678429	8678868	3189	1968	2	768	42	211	75	0.0	0.0	0.997	0.867	0.13
3233	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	3233	5407	399	1158	394	171	75	0.0	0.0	0.856	0.563	0.293
3236	"FBgn0004838"	"Hrb27C"	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	3236	4016	399	921	394	167	75	0.0	0.0	0.819	0.512	0.307
3363	"FBgn0004509"	"Fur1"	chr3R	-	25417937	25417964	25396711	25397562	25431916	25431981	3363	335	1	73	27	102	75	0.0	0.0	0.996	0.665	0.331
3569	"FBgn0038465"	"Irc"	chr3R	+	17004203	17004300	17002874	17003151	17004467	17004801	3569	2456	6	682	37	172	75	0.0	0.0	0.994	0.889	0.105
3642	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	3642	412	0	77	37	108	75	0.0	0.0	1.0	0.591	0.409
3665	"FBgn0261793"	"Trf2"	chrX	+	8418350	8418426	8410276	8410689	8423183	8423575	3665	1141	59	66	105	151	75	0.0	0.0	0.906	0.238	0.668
3768	"FBgn0036213"	"RpL10Ab"	chr3L	+	11823199	11823565	11822850	11822890	11823657	11824211	3768	12984	0	4213	96	441	75	0.0	0.0	1.0	0.882	0.118
3769	"FBgn0036213"	"RpL10Ab"	chr3L	+	11823199	11823355	11822850	11822890	11823657	11824211	3769	14272	0	4678	96	231	75	0.0	0.0	1.0	0.941	0.059
3966	"FBgn0019936"	"RpS20"	chr3R	+	20822801	20822891	20822417	20822573	20823131	20823356	3966	24285	5	6722	198	165	75	0.0	0.0	1.0	0.939	0.061
3986	"FBgn0036318"	"Wbp2"	chr3L	+	12852231	12852277	12851308	12851722	12852615	12852716	3986	492	162	105	176	121	75	0.0	0.0	0.653	0.27	0.383
4077	"FBgn0022029"	"l(2)k01209"	chr2R	+	17421447	17421946	17420406	17420573	17423655	17423963	4077	1248	366	1055	79	574	75	0.0	0.0	0.308	0.636	-0.328
4142	"FBgn0262160"	"CG9932"	chr2L	-	13050137	13050179	13029726	13031394	13059216	13060140	4142	422	1	146	36	117	75	0.0	0.0	0.996	0.722	0.274
4231	"FBgn0005278"	"Sam-S"	chr2L	+	111004	111117	110754	110877	111906	112019	4231	60	687	106	149	188	75	0.0	0.0	0.034	0.221	-0.187
4275	"FBgn0023095"	"caps"	chr3L	+	13265179	13265392	13251153	13251211	13275561	13279642	4275	714	14	68	31	288	75	0.0	0.0	0.93	0.364	0.566
4298	"FBgn0040056"	"CG17698"	chr3L	+	23748139	23748373	23747872	23748060	23748423	23748716	4298	2223	21	578	60	309	75	0.0	0.0	0.963	0.7	0.263
4375	"FBgn0032198"	"eEF1delta"	chr2L	+	10233480	10233561	10232506	10232659	10233756	10234450	4375	1387	439	174	239	156	75	0.0	0.0	0.603	0.259	0.344
4531	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6002721	6001557	6001736	6003672	6003911	4531	1042	3676	630	1148	734	75	0.0	0.0	0.028	0.053	-0.025
4535	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003098	6001557	6001736	6003672	6003911	4535	2598	3676	1499	1148	1111	75	0.0	0.0	0.046	0.081	-0.035
4536	"FBgn0003261"	"Rm62"	chr3R	-	6001832	6002753	6001557	6001736	6003672	6003911	4536	943	3676	583	1148	996	75	0.0	0.0	0.019	0.037	-0.018
456	"FBgn0266758"	"Esyt2"	chr3R	+	24549684	24549764	24549013	24549139	24551328	24551812	456	1216	44	237	103	155	75	0.0	0.0	0.93	0.527	0.403
4656	"FBgn0011217"	"eff"	chr3R	-	14734386	14734418	14733699	14733883	14737419	14737483	4656	2439	0	749	253	107	75	0.0	0.0	1.0	0.675	0.325
477	"FBgn0003256"	"rl"	chr2R	+	1080330	1080441	1076634	1076761	1105846	1105981	477	1906	23	368	50	186	75	0.0	0.0	0.971	0.748	0.223
481	"FBgn0003256"	"rl"	chr2R	+	1080330	1080441	1072250	1072439	1105846	1105981	481	908	2	202	28	186	75	0.0	0.0	0.995	0.744	0.251
49	"FBgn0026401"	"Nipped-B"	chr2R	-	4728179	4728351	4727793	4727953	4728432	4728551	49	1649	180	874	608	247	75	0.0	0.0	0.736	0.304	0.432
539	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	539	876	15348	941	4524	414	75	0.0	0.0	0.01	0.036	-0.026
