ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1378	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1378	3594,2720,3712	96,97,97	4065,2969,3830	34,19,44	280	74	0.0	0.0	0.908,0.881,0.91	0.969,0.976,0.958	-0.068
1416	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1416	558,547,571	536,518,554	1403,1126,1479	477,382,562	326	74	0.0	0.0	0.191,0.193,0.19	0.4,0.401,0.374	-0.2
1482	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1482	494,433,462	36,26,29	606,500,623	14,4,2	213	74	2.54241072639e-14	8.97470986416e-12	0.827,0.853,0.847	0.938,0.977,0.991	-0.126
1297	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1297	336,330,345	347,385,324	774,604,818	399,333,381	680	74	5.87863091539e-13	1.55636753485e-10	0.095,0.085,0.104	0.174,0.165,0.189	-0.081
860	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	860	5128,4462,5984	273,224,277	6457,4684,5845	179,123,156	136	74	1.16689868879e-09	2.47149142286e-07	0.911,0.916,0.922	0.952,0.954,0.953	-0.037
1154	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155637	155784	1154	908,779,997	29,26,38	969,693,1034	10,3,18	282	74	8.38713156703e-08	1.27137897834e-05	0.891,0.887,0.873	0.962,0.984,0.938	-0.078
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	668,493,745	13,9,17	143	74	8.50957283527e-08	1.27137897834e-05	0.904,0.916,0.876	0.964,0.966,0.958	-0.064
756	"FBgn0030183"	"CG15309"	chrX	-	10206592	10208294	10206592	10207675	10207977	10208294	756	7,15,10	12,18,18	0,2,3	19,14,32	376	74	9.60437377406e-08	1.27137897834e-05	0.103,0.141,0.099	0.0,0.027,0.018	0.099
1306	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679398	11678943	11679184	11679353	11679398	1306	575,491,593	60,57,66	522,359,511	106,72,118	243	74	3.77185530032e-07	4.43821640338e-05	0.745,0.724,0.732	0.6,0.603,0.569	0.143
524	"FBgn0036212"	"CG11597"	chr3L	-	11820337	11822092	11820337	11821719	11821833	11822092	524	6,2,1	3,1,4	6,4,6	0,0,1	188	74	9.98583759015e-07	0.00010575002008	0.44,0.44,0.09	1.0,1.0,0.703	-0.578
567	"FBgn0037890"	"CG17734"	chr3R	-	11242207	11243013	11242207	11242563	11242823	11243013	567	319,341,346	294,318,395	223,159,239	390,286,353	334	74	1.30781024821e-06	0.00012590645935	0.194,0.192,0.163	0.112,0.11,0.13	0.066
107	"FBgn0015019"	"Cctgamma"	chr3R	+	16647604	16647929	16647604	16647697	16647835	16647929	107	113,73,116	198,150,217	84,77,101	343,256,318	212	74	1.53452461682e-06	0.000135421797434	0.166,0.145,0.157	0.079,0.095,0.1	0.065
1452	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1452	744,687,786	339,270,376	754,465,758	498,373,497	177	74	2.14287423372e-06	0.000162093129536	0.479,0.515,0.466	0.388,0.343,0.389	0.113
713	"FBgn0003638"	"su(w[a])"	chrX	+	1042259	1043421	1042259	1042432	1042802	1043421	713	102,50,38	6,4,6	55,59,86	0,1,1	444	74	2.01514645637e-06	0.000162093129536	0.739,0.676,0.514	1.0,0.908,0.935	-0.305
1132	"FBgn0032796"	"CG10188"	chr2L	-	19507489	19508764	19507489	19508265	19508351	19508764	1132	21,13,16	0,0,0	24,19,20	7,2,1	160	74	2.41979628257e-06	0.000170837617549	1.0,1.0,1.0	0.613,0.815,0.902	0.223
1286	"FBgn0013272"	"Gp150"	chr2R	+	22317661	22317954	22317661	22317737	22317881	22317954	1286	159,159,114	179,150,117	96,82,105	173,154,199	218	74	4.47844334472e-06	0.000296416968879	0.232,0.265,0.249	0.159,0.153,0.152	0.094
662	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8384996	8385097	662	277,173,217	361,267,293	182,130,198	419,311,438	175	74	4.84282033797e-06	0.000301679219877	0.245,0.215,0.238	0.155,0.15,0.16	0.078
474	"FBgn0035253"	"CG7971"	chr3L	-	1660598	1661165	1660598	1660857	1661108	1661165	474	304,250,260	25,18,28	389,288,290	15,4,11	325	74	5.26287481839e-06	0.000309632468482	0.735,0.76,0.679	0.855,0.943,0.857	-0.16
56	"FBgn0038294"	"Mf"	chr3R	-	15176363	15178489	15176363	15176433	15178279	15178489	56	805,709,695	1256,1166,1352	443,368,504	1225,964,1231	1920	74	5.73973559981e-06	0.000319914736853	0.024,0.023,0.019	0.014,0.014,0.016	0.007
1438	"FBgn0020389"	"Papss"	chr3L	+	19845292	19845630	19845292	19845428	19845496	19845630	1438	56,36,32	6,8,3	20,24,34	9,18,18	142	74	1.18005838801e-05	0.000595086587096	0.829,0.701,0.848	0.537,0.41,0.496	0.312
585	"FBgn0050392"	"CG30392"	chr2R	-	21290913	21291581	21290913	21290970	21291031	21291581	585	220,202,265	57,46,50	236,176,206	22,21,22	135	74	1.12802250146e-05	0.000595086587096	0.679,0.706,0.744	0.855,0.821,0.837	-0.128
1284	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1284	64,52,67	109,84,63	102,72,90	67,42,63	138	74	2.59024635302e-05	0.00124685040357	0.239,0.249,0.363	0.449,0.479,0.434	-0.17
1225	"FBgn0027561"	"CG18659"	chr2R	-	9124743	9126066	9124743	9125220	9125550	9126066	1225	107,76,97	189,160,207	122,102,130	121,121,165	404	74	2.88599736897e-05	0.00132881357119	0.094,0.08,0.079	0.156,0.134,0.126	-0.054
1019	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1499879	1499042	1499337	1499771	1499879	1019	480,344,386	1,0,1	266,188,248	3,3,6	508	74	3.84391638376e-05	0.00169612810433	0.986,1.0,0.983	0.928,0.901,0.858	0.094
1018	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1501892	1499042	1499337	1501798	1501892	1018	1606,1276,1161	184,160,134	873,854,903	196,120,168	2535	74	5.20295880492e-05	0.00220397334976	0.203,0.189,0.202	0.115,0.172,0.136	0.057
1153	"FBgn0031228"	"CG11455"	chr2L	+	155334	155784	155334	155429	155566	155784	1153	431,367,437	99,82,141	397,283,445	175,126,177	211	74	6.18906800164e-05	0.00252085500528	0.604,0.611,0.521	0.443,0.441,0.469	0.128
1135	"FBgn0030876"	"CG6762"	chrX	+	17857111	17857650	17857111	17857358	17857491	17857650	1135	15,8,19	5,3,0	26,9,23	0,0,1	207	74	6.6771118813e-05	0.00261891166011	0.517,0.488,1.0	1.0,1.0,0.892	-0.296
670	"FBgn0022238"	"lolal"	chr2R	-	18155891	18156379	18155891	18156165	18156267	18156379	670	72,62,41	0,1,2	60,49,47	7,2,6	176	74	8.76673298216e-05	0.0033157036529	1.0,0.963,0.896	0.783,0.912,0.767	0.132
1531	"FBgn0027375"	"RecQ5"	chr3L	-	14629740	14631818	14629740	14630192	14630519	14631818	1531	15,17,10	46,36,26	3,6,6	48,26,49	401	74	0.000153951547189	0.00562188580942	0.057,0.08,0.066	0.011,0.041,0.022	0.043
517	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061076	31061210	517	275,293,208	187,151,140	231,173,274	194,181,270	686	74	0.000159836850397	0.00564224081901	0.137,0.173,0.138	0.114,0.093,0.099	0.047
135	"FBgn0005640"	"Eip63E"	chr3L	+	3515750	3516828	3515750	3515934	3516528	3516828	135	470,458,400	56,34,33	536,445,695	32,19,19	668	74	0.000172428327933	0.00577712493606	0.482,0.599,0.573	0.65,0.722,0.802	-0.173
400	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	400	587,421,504	78,59,74	430,278,322	81,69,84	132	74	0.000176981101762	0.00577712493606	0.808,0.8,0.792	0.748,0.693,0.682	0.092
921	"FBgn0039600"	"CG1646"	chr3R	+	28813880	28815422	28813880	28814006	28815147	28815422	921	270,215,254	98,89,110	211,162,162	119,95,132	1215	74	0.00018002372322	0.00577712493606	0.144,0.128,0.123	0.097,0.094,0.07	0.045
1261	"FBgn0020440"	"Fak"	chr2R	-	19436547	19437259	19436547	19436643	19437214	19437259	1261	135,172,91	0,0,1	139,134,162	5,2,2	645	74	0.000222809833361	0.00679399366151	1.0,1.0,0.913	0.761,0.885,0.903	0.121
1401	"FBgn0020306"	"dom"	chr2R	+	21340683	21341847	21340683	21341076	21341419	21341847	1401	903,883,1062	8,2,7	855,767,1015	11,7,25	417	74	0.000224541811287	0.00679399366151	0.952,0.987,0.964	0.932,0.951,0.878	0.047
417	"FBgn0028325"	"l(1)G0334"	chrX	+	4702324	4702892	4702324	4702591	4702823	4702892	417	119,89,80	190,164,171	62,52,97	228,168,230	306	74	0.000292484773226	0.00860392707906	0.132,0.116,0.102	0.062,0.07,0.093	0.042
518	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061069	31061210	518	254,263,189	20,22,16	189,145,238	34,26,33	679	74	0.000311024311224	0.00890202015098	0.581,0.566,0.563	0.377,0.378,0.44	0.172
440	"FBgn0039644"	"CG11897"	chr3R	+	29158121	29158690	29158121	29158347	29158498	29158690	440	303,286,174	163,178,118	165,141,203	131,137,206	225	74	0.000358953317862	0.0100034622004	0.379,0.346,0.327	0.293,0.253,0.245	0.087
464	"FBgn0261461"	"RhoGAP18B"	chrX	-	19164150	19165347	19164150	19164700	19165219	19165347	464	23,21,16	1,3,1	25,24,29	0,0,0	593	74	0.000430135483602	0.0113878369284	0.742,0.466,0.666	1.0,1.0,1.0	-0.375
902	"FBgn0053558"	"mim"	chr2R	-	6927389	6928836	6927389	6928148	6928508	6928836	902	31,29,41	2,5,2	25,33,33	1,0,1	434	74	0.000427930142535	0.0113878369284	0.725,0.497,0.778	0.81,1.0,0.849	-0.22
1073	"FBgn0010622"	"l(2)06496"	chr2R	-	23061419	23062593	23061419	23061594	23061682	23062593	1073	45,36,40	17,16,20	20,14,21	20,20,19	162	74	0.000462092911636	0.0119355217908	0.547,0.507,0.477	0.314,0.242,0.335	0.213
1348	"FBgn0035639"	"CG5537"	chr3L	+	5811385	5812228	5811385	5811918	5812064	5812228	1348	919,790,1106	33,20,51	777,584,805	50,36,50	220	74	0.000517099322836	0.0130382900687	0.904,0.93,0.879	0.839,0.845,0.844	0.062
851	"FBgn0262736"	"Vha16-1"	chr2R	-	6632026	6632384	6632026	6632140	6632305	6632384	851	1092,823,804	220,188,165	965,908,1049	330,224,349	239	74	0.000544831518474	0.013418059955	0.606,0.575,0.601	0.475,0.557,0.482	0.089
