target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2536.53	0	0
FBtr0299728	3946	3778.47	0	0
FBtr0333191	4111	3932.25	0	0
FBtr0077629	1785	1613.76	726.214	19.7994
FBtr0077628	998	818.808	4	0.214934
FBtr0077623	619	440.33	0	0
FBtr0077622	415	237.535	17.8374	3.30394
FBtr0077621	391	220.084	5840.47	1167.58
FBtr0077627	2889	2705.88	1158.3	18.8339
FBtr0077626	2998	2805.04	2261.68	35.4748
FBtr0077625	3088	2888.02	317.015	4.82957
FBtr0072052	1410	1214.53	208675	7559.46
FBtr0072051	788	609.28	0	0
FBtr0072050	1249	1070.25	0	0
FBtr0072057	870	673.32	106	6.92647
FBtr0072056	1052	873.246	0	0
FBtr0072059	1221	982.837	5	0.223829
FBtr0072058	3845	3758.91	1326.12	15.522
FBtr0088225	1139	943.885	5331.47	248.517
FBtr0088224	1076	886.069	35.5316	1.76431
FBtr0088227	3220	2979.92	1378.39	20.3515
FBtr0088226	724	551.982	1400.33	111.618
FBtr0088221	1200	1017.08	0	0
FBtr0088223	1523	1315.11	1867.11	62.465
FBtr0088222	1138	945.406	137	6.37573
FBtr0088228	1549	1375.61	4466	142.84
FBtr0308321	6762	6620.39	123.514	0.820844
FBtr0308320	3151	2993.55	6.43088	0.0945175
FBtr0308323	6713	6573.51	0	0
FBtr0308322	3799	3734.13	32.6955	0.385235
FBtr0308325	7938	7651.92	0	0
FBtr0308324	6806	6663.01	2.07205e-05	1.36822e-07
FBtr0308327	8457	8176.47	42.7117	0.229831
FBtr0308326	6286	5988.65	150.014	1.10213
FBtr0308329	7097	6810.56	1723.99	11.1373
FBtr0308328	8643	8356.14	85.1108	0.448133
FBtr0085138	2050	1852.32	1251.7	29.731
FBtr0085139	1909	1708.54	2188.54	56.3582
FBtr0085132	2635	2427.97	1495.51	27.1002
FBtr0085133	1130	954.79	1	0.0460808
FBtr0085130	2897	2668.48	9	0.14839
FBtr0085131	1556	1406.59	831	25.9933
FBtr0085136	1514	1326.75	0.50345	0.0166953
FBtr0085137	2128	1922.16	928.099	21.2438
FBtr0085135	1054	875.246	0	0
FBtr0080989	852	673.28	0	0
FBtr0332234	4146	3967.25	0	0
FBtr0333107	9521	9226.67	0	0
FBtr0073015	1296	1106.05	1453	57.7987
FBtr0073016	3020	2840.3	4360	67.5383
FBtr0309054	3821	3642.25	0	0
FBtr0309055	754	592.986	157.149	11.6599
FBtr0309056	4422	4050.38	0	0
FBtr0333100	2497	2352.91	49.5339	0.926243
FBtr0333109	9722	9410.92	3409.67	15.9407
FBtr0333108	9265	8960.17	79.9775	0.392716
