ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1649	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18617255	18617724	18649597	18649627	1649	328,362,324	46,57,48	389,382,342	16,11,4	106	74	0.0	0.0	0.833,0.816,0.825	0.944,0.96,0.984	-0.138
1960	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1960	685,611,530	69,47,49	786,916,809	8,10,14	947	74	0.0	0.0	0.437,0.504,0.458	0.885,0.877,0.819	-0.394
1962	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1962	724,637,556	69,47,49	829,972,849	8,10,14	1023	74	0.0	0.0	0.431,0.495,0.451	0.882,0.875,0.814	-0.398
1963	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1963	728,640,562	69,47,49	840,988,874	8,10,14	1019	74	0.0	0.0	0.434,0.497,0.454	0.884,0.878,0.819	-0.399
2178	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18918259	18918625	18925077	18925796	2178	1270,1263,985	42,35,40	1240,1493,1205	6,6,10	164	74	0.0	0.0	0.932,0.942,0.917	0.989,0.991,0.982	-0.057
2199	"FBgn0264693"	"ens"	chr3L	-	4128307	4128973	4126988	4127162	4129650	4129791	2199	329,269,213	54,55,50	130,155,138	101,89,96	740	74	0.0	0.0	0.379,0.328,0.299	0.114,0.148,0.126	0.206
3106	"FBgn0031883"	"Caper"	chr2L	+	7034483	7034693	7032720	7033018	7035406	7035561	3106	85,44,59	200,213,207	113,132,131	134,155,101	284	74	0.0	0.0	0.1,0.051,0.069	0.18,0.182,0.253	-0.132
3458	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3458	145,99,123	420,381,415	4,11,12	436,519,433	164	74	0.0	0.0	0.135,0.105,0.118	0.004,0.009,0.012	0.111
3696	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3696	1636,1603,1733	110,98,84	1878,2209,1674	29,34,27	481	74	0.0	0.0	0.696,0.716,0.76	0.909,0.909,0.905	-0.184
3854	"FBgn0050460"	"CG30460"	chr2R	-	17069898	17070676	17067525	17069757	17071726	17071855	3854	139,169,109	12,14,7	8,3,6	8,17,10	852	74	0.0	0.0	0.502,0.512,0.575	0.08,0.015,0.05	0.481
4148	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	4148	30,27,45	159,149,135	2,3,5	136,145,139	164	74	0.0	0.0	0.078,0.076,0.131	0.007,0.009,0.016	0.084
4381	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4381	401,353,377	50,44,40	76,85,119	70,71,53	206	74	0.0	0.0	0.742,0.742,0.772	0.281,0.301,0.446	0.409
4639	"FBgn0015222"	"Fer1HCH"	chr3R	-	30386717	30386828	30386318	30386596	30387463	30387550	4639	114,123,121	1883,1506,1532	18,28,17	1271,1440,1187	185	74	0.0	0.0	0.024,0.032,0.031	0.006,0.008,0.006	0.022
4759	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13551141	13551666	13609790	13609987	4759	450,338,167	35,28,13	358,492,365	2,5,1	107	74	0.0	0.0	0.899,0.893,0.899	0.992,0.986,0.996	-0.094
5293	"FBgn0042174"	"CR18854"	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	5293	732,635,714	53,56,70	374,437,414	104,125,103	132	74	0.0	0.0	0.886,0.864,0.851	0.668,0.662,0.693	0.193
5676	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5676	506,383,516	78,76,77	785,791,656	26,31,26	196	74	0.0	0.0	0.71,0.655,0.717	0.919,0.906,0.905	-0.216
6043	"FBgn0262125"	"Sec23"	chr3R	+	5651980	5652001	5651253	5651802	5652380	5652629	6043	44,54,58	511,438,470	114,111,101	327,325,285	95	74	0.0	0.0	0.063,0.088,0.088	0.214,0.21,0.216	-0.134
6049	"FBgn0038427"	"ema"	chr3R	-	16437792	16437999	16436879	16437338	16438064	16438650	6049	438,392,455	7,14,11	324,408,262	47,50,46	281	74	0.0	0.0	0.943,0.881,0.916	0.645,0.682,0.6	0.271
708	"FBgn0051145"	"CG31145"	chr3R	-	23631485	23632186	23626596	23627460	23635277	23635321	708	287,270,201	101,82,68	115,156,80	108,137,107	775	74	0.0	0.0	0.213,0.239,0.22	0.092,0.098,0.067	0.138
872	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	872	499,469,416	582,547,513	204,264,166	615,757,547	131	74	0.0	0.0	0.326,0.326,0.314	0.158,0.165,0.146	0.166
922	"FBgn0020660"	"eIF-4B"	chr3L	-	27847424	27847485	27844504	27844604	27856783	27857935	922	442,416,528	221,167,214	649,689,508	59,85,71	135	74	0.0	0.0	0.523,0.577,0.575	0.858,0.816,0.797	-0.265
5296	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5296	33,36,32	215,150,157	2,6,8	206,212,171	113	74	2.22044604925e-16	5.19887163622e-14	0.091,0.136,0.118	0.006,0.018,0.03	0.097
