ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1126	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1126	228,307,184	290,482,340	395,580,470	235,317,234	148	74	0.0	0.0	0.282,0.242,0.213	0.457,0.478,0.501	-0.233
1127	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1127	224,305,180	290,482,340	359,532,432	235,317,234	148	74	0.0	0.0	0.279,0.24,0.209	0.433,0.456,0.48	-0.214
1530	"FBgn0259938"	"cwo"	chr3R	+	10396236	10396820	10396696	10396820	10388257	10389437	1530	85,138,91	52,74,50	33,47,34	81,83,101	148	74	0.0	0.0	0.45,0.483,0.476	0.169,0.221,0.144	0.292
2158	"FBgn0261602"	"RpL8"	chr3L	+	2587575	2587890	2587750	2587890	2587455	2587513	2158	515,795,617	3479,5515,4402	241,293,288	3940,4916,5938	148	74	0.0	0.0	0.069,0.067,0.065	0.03,0.029,0.024	0.039
2243	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884621	9884708	2243	249,317,251	9,11,10	205,350,287	122,143,103	148	74	0.0	0.0	0.933,0.935,0.926	0.457,0.55,0.582	0.402
2336	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2336	26,72,51	8,21,9	58,93,68	182,246,203	76	74	0.0	0.0	0.76,0.769,0.847	0.237,0.269,0.246	0.541
618	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	618	58,69,57	638,717,581	118,118,114	361,418,404	88	74	0.0	0.0	0.071,0.075,0.076	0.216,0.192,0.192	-0.126
628	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	628	680,808,599	1,7,2	152,184,235	27,40,40	124	74	0.0	0.0	0.998,0.986,0.994	0.771,0.733,0.778	0.232
1192	"FBgn0031883"	"Caper"	chr2L	+	7035074	7035561	7035406	7035561	7032903	7033018	1192	99,112,84	104,143,120	50,71,77	224,279,260	148	74	1.11022302463e-16	1.84543738316e-14	0.322,0.281,0.259	0.1,0.113,0.129	0.173
629	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996317	15996894	15997218	629	676,794,593	1,1,1	143,176,222	7,14,13	121	74	2.22044604925e-16	3.32178728968e-14	0.998,0.998,0.997	0.926,0.885,0.913	0.09
