ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	S1.Rep1	S1.Rep2	S1.Rep3	S2.Rep1	S2.Rep2	S2.Rep3	eventID	s1reads	s2reads	readcountpass
2677	FBgn0015286	Rala	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2677	836,1045,852	36,43,24	777,900,892	152,171,150	148	74	0.0	0.0	0.921,0.924,0.947	0.719,0.725,0.748	0.2	0.921	0.924	0.947	0.719	0.725	0.748	chrX:-:3704983-3706251:3707367-3707491:3708743-3708918	872,1088,876	929,1071,1042	pass
357	FBgn0035060	Eps-15	chr2R	-	24772940	24773003	24772597	24772795	24773211	24773301	357	176,221,154	18,16,6	119,134,174	63,67,78	136	74	0.0	0.0	0.842,0.883,0.933	0.507,0.521,0.548	0.361	0.842	0.883	0.933	0.507	0.521	0.548	chr2R:-:24772597-24772795:24772940-24773003:24773211-24773301	194,237,160	182,201,252	pass
3732	FBgn0015218	eIF-4E	chr3L	-	9401039	9401606	9400582	9400953	9402279	9402460	3732	855,962,779	120,177,132	697,605,722	250,279,316	148	74	0.0	0.0	0.781,0.731,0.747	0.582,0.52,0.533	0.208	0.781	0.731	0.747	0.582	0.52	0.533	chr3L:-:9400582-9400953:9401039-9401606:9402279-9402460	975,1139,911	947,884,1038	pass
4596	FBgn0002183	dre4	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4596	436,619,415	243,347,313	249,225,226	556,440,594	148	74	0.0	0.0	0.473,0.471,0.399	0.183,0.204,0.16	0.265	0.473	0.471	0.399	0.183	0.204	0.16	chr3L:-:1871573-1871917:1872353-1872470:1872581-1872735	679,966,728	805,665,820	pass
4808	FBgn0020309	crol	chr2L	-	11806047	11806157	11803784	11803898	11809125	11809438	4808	441,618,407	25,36,19	648,700,807	139,130,167	148	74	0.0	0.0	0.898,0.896,0.915	0.7,0.729,0.707	0.191	0.898	0.896	0.915	0.7	0.729	0.707	chr2L:-:11803784-11803898:11806047-11806157:11809125-11809438	466,654,426	787,830,974	pass
4810	FBgn0020309	crol	chr2L	-	11797828	11798041	11795171	11797741	11798664	11799402	4810	509,704,435	23,25,12	444,670,738	60,103,96	148	74	0.0	0.0	0.917,0.934,0.948	0.787,0.765,0.794	0.151	0.917	0.934	0.948	0.787	0.765	0.794	chr2L:-:11795171-11797741:11797828-11798041:11798664-11799402	532,729,447	504,773,834	pass
4998	FBgn0083124	Uhg4	chr2R	+	9095577	9095629	9095272	9095339	9095897	9095958	4998	300,464,405	0,0,2	455,434,517	44,49,39	125	74	0.0	0.0	1.0,1.0,0.992	0.86,0.84,0.887	0.135	1.0	1.0	0.992	0.86	0.84	0.887	chr2R:+:9095272-9095339:9095577-9095629:9095897-9095958	300,464,407	499,483,556	pass
524	FBgn0025726	unc-13	chr4	-	906027	906997	903336	903471	907073	907550	524	144,238,150	26,34,12	208,178,227	200,196,232	148	74	0.0	0.0	0.735,0.778,0.862	0.342,0.312,0.329	0.464	0.735	0.778	0.862	0.342	0.312	0.329	chr4:-:903336-903471:906027-906997:907073-907550	170,272,162	408,374,459	pass
5419	FBgn0033463	CG1513	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5419	509,615,489	9,11,10	614,528,675	91,54,65	148	74	0.0	0.0	0.966,0.965,0.961	0.771,0.83,0.839	0.151	0.966	0.965	0.961	0.771	0.83	0.839	chr2R:-:9883896-9884002:9884084-9884206:9884621-9884708	518,626,499	705,582,740	pass
5526	FBgn0011361	mtacp1	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5526	416,478,411	748,877,710	262,429,403	176,293,301	148	74	0.0	0.0	0.218,0.214,0.224	0.427,0.423,0.401	-0.198	0.218	0.214	0.224	0.427	0.423	0.401	chr3L:+:1330130-1330290:1330862-1330949:1331041-1331170	1164,1355,1121	438,722,704	pass
