ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
178	"FBgn0020660"	"eIF-4B"	chr3L	-	27844504	27844604	27847424	27847485	27842668	27842778	27856783	27857935	178	180,156,216	668,564,680	252,258,191	322,361,284	135	174	0.0	0.0	0.258,0.263,0.29	0.502,0.479,0.464	-0.211
2309	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2309	78,84,97	269,225,277	20,22,11	236,250,237	339	315	0.0	0.0	0.212,0.258,0.246	0.073,0.076,0.041	0.175
2392	"FBgn0041182"	"Tep2"	chr2L	-	7696593	7696807	7697006	7697157	7696027	7696206	7698724	7698992	2392	822,738,643	142,82,92	289,295,274	136,151,147	225	288	0.0	0.0	0.881,0.92,0.899	0.731,0.714,0.705	0.183
2399	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7698373	7698551	7696027	7696206	7698724	7698992	2399	98,70,51	822,738,643	113,143,111	289,295,274	252	225	0.0	0.0	0.096,0.078,0.066	0.259,0.302,0.266	-0.196
2400	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2400	76,43,48	822,738,643	138,134,82	289,295,274	228	225	0.0	0.0	0.084,0.054,0.069	0.32,0.31,0.228	-0.217
2527	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2527	585,638,608	401,353,377	632,736,606	76,85,119	206	206	0.0	0.0	0.593,0.644,0.617	0.893,0.896,0.836	-0.257
2528	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13489741	13489873	13487973	13488132	13491434	13491593	2528	152,118,99	401,353,377	173,181,171	76,85,119	206	206	0.0	0.0	0.275,0.251,0.208	0.695,0.68,0.59	-0.41
98	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	98	210,189,172	1490,1511,1410	46,84,64	1333,1423,1216	4503	984	1.11022302463e-16	3.7275738052e-14	0.03,0.027,0.026	0.007,0.013,0.011	0.017
2397	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7697976	7698130	7696027	7696206	7698724	7698992	2397	76,43,48	618,471,461	138,134,82	376,425,350	228	255	1.22124532709e-15	3.64473883174e-13	0.121,0.093,0.104	0.291,0.261,0.208	-0.147
2129	"FBgn0264693"	"ens"	chr3L	-	4129650	4129791	4130388	4130643	4126988	4127162	4131120	4131236	2129	108,78,75	259,260,208	28,52,36	337,301,335	329	215	1.38777878078e-14	3.72757380518e-12	0.214,0.164,0.191	0.052,0.101,0.066	0.117
99	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	99	98,98,100	1490,1511,1410	18,43,39	1333,1423,1216	2205	984	1.09900977208e-12	2.68358204346e-10	0.029,0.028,0.031	0.006,0.013,0.014	0.018
2396	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7698373	7698551	7696027	7696206	7698724	7698992	2396	98,70,51	618,471,461	113,143,111	376,425,350	252	255	3.01000335767e-11	6.73739084892e-09	0.138,0.131,0.101	0.233,0.254,0.243	-0.12
2607	"FBgn0039890"	"CG2316"	chr4	-	188577	189248	189997	190061	188424	188523	193544	193829	2607	34,26,17	1973,1730,1408	5,7,10	2012,2601,1994	138	745	5.07826003471e-11	1.04924665025e-08	0.085,0.075,0.061	0.013,0.014,0.026	0.056
116	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	878850	878992	882960	883081	116	389,403,311	127,111,97	141,191,193	110,133,114	181	181	5.56584778266e-11	1.06784765316e-08	0.754,0.784,0.762	0.562,0.59,0.629	0.173
2398	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697400	7697581	7696027	7696206	7698724	7698992	2398	618,471,461	822,738,643	376,425,350	289,295,274	255	225	6.192180102e-11	1.10881305026e-08	0.399,0.36,0.387	0.534,0.56,0.53	-0.159
1680	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7358215	7358339	7348130	7348975	7361717	7361867	1680	1,0,0	4,4,3	1,7,2	0,1,1	198	198	1.39316003178e-10	2.33876740335e-08	0.2,0.0,0.0	1.0,0.875,0.667	-0.781
113	"FBgn0025726"	"unc-13"	chr4	-	882616	882723	882960	883081	878850	878992	883142	883362	113	470,369,341	205,201,158	360,410,372	66,99,100	195	181	4.39974834343e-10	6.95160238262e-08	0.68,0.63,0.667	0.835,0.794,0.775	-0.142
2837	"FBgn0040271"	"Sulf1"	chr3R	-	16321962	16322169	16330919	16330956	16314364	16315246	16337844	16338543	2837	426,369,261	193,170,116	488,594,508	100,147,108	111	281	5.3311632886e-10	7.95528032954e-08	0.848,0.846,0.851	0.925,0.911,0.923	-0.071
2754	"FBgn0031187"	"CG14619"	chrX	+	22462399	22463272	22463538	22465558	22457613	22458260	22466164	22466375	2754	180,216,115	913,827,507	112,143,119	1010,1217,1006	947	2094	7.33031635392e-10	1.03627524877e-07	0.304,0.366,0.334	0.197,0.206,0.207	0.131
