ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10621	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	10621	0,1,2	273,268,177	47,27,24	202,170,171	164	74	0.0	0.0	0.0,0.002,0.005	0.095,0.067,0.06	-0.072
11198	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487969	13488132	13491434	13491593	11198	120,111,116	144,148,82	323,290,332	77,55,89	206	74	0.0	0.0	0.23,0.212,0.337	0.601,0.654,0.573	-0.35
1125	"FBgn0035438"	"PHGPx"	chr3L	+	3326586	3326712	3326264	3326367	3327859	3328183	1125	770,1013,802	588,870,639	798,629,743	1543,1093,1562	200	74	0.0	0.0	0.326,0.301,0.317	0.161,0.176,0.15	0.152
1130	"FBgn0035438"	"PHGPx"	chr3L	+	3326522	3326708	3326264	3326367	3327859	3328183	1130	788,1021,748	588,870,639	783,628,739	1543,1093,1562	260	74	0.0	0.0	0.276,0.25,0.25	0.126,0.141,0.119	0.13
1135	"FBgn0035438"	"PHGPx"	chr3L	+	3326522	3326712	3326264	3326367	3327859	3328183	1135	1294,1666,1267	588,870,639	1305,1034,1223	1543,1093,1562	264	74	0.0	0.0	0.382,0.349,0.357	0.192,0.21,0.18	0.169
11379	"FBgn0033699"	"RpS11"	chr2R	-	12200427	12200550	12199833	12200039	12200774	12200815	11379	33,39,28	1,0,1	48,38,28	53,35,57	197	74	0.0	0.0	0.925,1.0,0.913	0.254,0.29,0.156	0.713
1137	"FBgn0035438"	"PHGPx"	chr3L	+	3326464	3326708	3326264	3326367	3327859	3328183	1137	1036,1366,1036	588,870,639	983,806,960	1543,1093,1562	318	74	0.0	0.0	0.291,0.268,0.274	0.129,0.146,0.125	0.144
11392	"FBgn0033699"	"RpS11"	chr2R	-	12200193	12200241	12199833	12200039	12200774	12200815	11392	355,557,373	1,0,1	591,440,582	53,35,57	122	74	0.0	0.0	0.995,1.0,0.996	0.871,0.884,0.861	0.125
1141	"FBgn0035438"	"PHGPx"	chr3L	+	3326464	3326712	3326264	3326367	3327859	3328183	1141	1542,2011,1555	588,870,639	1505,1212,1444	1543,1093,1562	322	74	0.0	0.0	0.376,0.347,0.359	0.183,0.203,0.175	0.174
1142	"FBgn0035438"	"PHGPx"	chr3L	+	3326586	3326708	3326264	3326367	3327859	3328183	1142	264,368,283	588,870,639	276,223,259	1543,1093,1562	196	74	0.0	0.0	0.145,0.138,0.143	0.063,0.072,0.059	0.077
11679	"FBgn0033544"	"CG7220"	chr2R	+	10735819	10736055	10731658	10731796	10736656	10736748	11679	30,27,21	155,206,134	115,76,120	170,132,211	310	74	0.0	0.0	0.044,0.03,0.036	0.139,0.121,0.12	-0.09
12250	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13551472	13551666	13609790	13609987	12250	409,523,381	1,3,1	349,321,438	19,20,30	107	74	0.0	0.0	0.996,0.992,0.996	0.927,0.917,0.91	0.077
12398	"FBgn0260934"	"par-1"	chr2R	+	19479153	19479389	19478741	19478865	19481150	19482575	12398	13,20,31	143,175,116	89,87,105	144,127,131	310	74	0.0	0.0	0.021,0.027,0.06	0.129,0.141,0.161	-0.108
12446	"FBgn0030955"	"CG6891"	chrX	+	18779605	18779845	18775227	18775629	18780680	18781004	12446	170,224,146	1620,1656,1390	361,302,390	1266,878,1254	314	74	0.0	0.0	0.024,0.031,0.024	0.063,0.075,0.068	-0.042
