ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1168	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	1168	659,913,727	588,870,639	785,613,738	1543,1093,1562	148	74	0.0	0.0	0.359,0.344,0.363	0.203,0.219,0.191	0.151
5036	"FBgn0024491"	"Bin1"	chr3R	-	16189428	16189564	16189504	16189564	16189202	16189374	5036	131,289,172	10,25,17	479,395,555	213,152,205	148	74	0.0	0.0	0.868,0.853,0.835	0.529,0.565,0.575	0.296
5164	"FBgn0260233"	"CG42507"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	5164	103,156,81	3,8,4	89,75,102	44,47,64	139	74	0.0	0.0	0.948,0.912,0.915	0.519,0.459,0.459	0.446
7355	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	7355	81,97,64	3,8,4	52,41,61	44,47,64	148	74	0.0	0.0	0.931,0.858,0.889	0.371,0.304,0.323	0.56
2373	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18247970	18248158	18247970	18248151	18248214	18248579	2373	125,158,157	1647,1792,1330	223,183,197	977,769,960	80	74	1.11022302463e-16	2.65287791735e-13	0.066,0.075,0.098	0.174,0.18,0.16	-0.092
5032	"FBgn0024491"	"Bin1"	chr3R	-	16189455	16189564	16189504	16189564	16189202	16189374	5032	71,179,78	10,25,17	289,256,327	213,152,205	122	74	1.11022302463e-16	2.65287791735e-13	0.812,0.813,0.736	0.451,0.505,0.492	0.304
7352	"FBgn0013263"	"Trl"	chr3L	-	14757662	14757962	14757907	14757962	14756903	14757330	7352	29,46,19	3,8,4	33,29,33	44,47,64	148	74	4.4408920985e-16	9.09558143088e-13	0.829,0.742,0.704	0.273,0.236,0.205	0.52
5168	"FBgn0260233"	"CG42507"	chr3L	-	14757793	14757962	14757907	14757962	14756903	14757330	5168	29,46,19	3,8,4	35,29,33	44,47,64	148	74	8.881784197e-16	1.5917267504e-12	0.829,0.742,0.704	0.285,0.236,0.205	0.516
14554	"FBgn0261673"	"nemy"	chr2R	-	12665564	12665799	12665744	12665799	12664984	12665232	14554	156,222,159	30,45,29	188,134,191	106,97,113	148	74	3.66373598126e-15	4.37724856361e-12	0.722,0.712,0.733	0.47,0.409,0.458	0.277
14568	"FBgn0261673"	"nemy"	chr2R	-	12665615	12665799	12665744	12665799	12664984	12665232	14568	156,221,159	30,45,29	189,134,189	106,97,113	148	74	3.66373598126e-15	4.37724856361e-12	0.722,0.711,0.733	0.471,0.409,0.455	0.277
