ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2525	"FBgn0020309"	"crol"	chr2L	-	11798664	11799402	11800154	11800322	11797828	11798041	11802904	11803674	2525	24,23,19	299,366,217	69,78,88	223,324,270	148	148	0.0	0.0	0.074,0.059,0.081	0.236,0.194,0.246	-0.154
321	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067357	27067495	27066607	27066665	27069143	27070070	321	203,293,268	266,352,230	248,276,198	82,94,61	148	148	0.0	0.0	0.433,0.454,0.538	0.752,0.746,0.764	-0.279
261	"FBgn0000253"	"Cam"	chr2R	+	12260039	12260188	12269192	12269435	12259397	12259458	12273765	12278809	261	953,1631,1052	2486,3092,2429	2207,2432,2020	2636,2925,2418	148	148	2.34479102801e-13	1.49753986989e-10	0.277,0.345,0.302	0.456,0.454,0.455	-0.147
257	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	257	280,581,370	2529,3131,2332	691,882,649	2529,2817,2355	148	148	7.92033105768e-13	3.79383857663e-10	0.1,0.157,0.137	0.215,0.238,0.216	-0.092
2627	"FBgn0261451"	"trol"	chrX	-	2495040	2495238	2501118	2501241	2492987	2493215	2501626	2501737	2627	0,0,0	2,5,2	1,5,3	1,1,0	148	148	1.03117514527e-12	3.95146315667e-10	0.0,0.0,0.0	0.5,0.833,1.0	-0.778
2182	"FBgn0262468"	"vib"	chr3R	-	19218683	19218764	19218968	19219046	19218401	19218511	19219188	19219340	2182	523,690,498	6,7,6	578,587,526	29,35,29	148	148	3.40283357048e-12	1.08663818684e-09	0.989,0.99,0.988	0.952,0.944,0.948	0.041
2500	"FBgn0004657"	"mys"	chrX	+	8065447	8065532	8066097	8066182	8064532	8064761	8067061	8067496	2500	726,998,704	2,16,13	695,889,684	24,40,46	148	148	2.92839086313e-11	8.01542413394e-09	0.997,0.984,0.982	0.967,0.957,0.937	0.034
319	"FBgn0003495"	"spz"	chr3R	-	27066607	27066665	27067121	27067199	27066098	27066453	27067357	27067495	319	135,231,159	515,642,534	167,176,159	240,306,245	148	131	6.39667208091e-11	1.48114398277e-08	0.188,0.242,0.209	0.381,0.337,0.365	-0.148
322	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067121	27067199	27066607	27066665	27069143	27070070	322	656,929,694	266,352,230	458,481,392	82,94,61	148	148	6.95735691281e-11	1.48114398277e-08	0.711,0.725,0.751	0.848,0.837,0.865	-0.121
28	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12737397	12737618	12726745	12727116	12737958	12738176	28	139,210,187	178,249,162	199,272,221	107,141,101	148	148	2.46155351658e-09	4.71633653777e-07	0.438,0.458,0.536	0.65,0.659,0.686	-0.188
164	"FBgn0261041"	"stj"	chr2R	+	13811197	13811254	13812437	13812491	13810752	13810836	13813799	13813880	164	24,40,34	44,83,37	65,87,62	27,40,29	130	127	3.09624104133e-09	5.39308894108e-07	0.348,0.32,0.473	0.702,0.68,0.676	-0.306
2221	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2221	4266,6857,4978	12357,12962,10828	5915,6303,4977	7945,8341,6948	148	148	6.58828225308e-09	1.05192906641e-06	0.257,0.346,0.315	0.427,0.43,0.417	-0.119
2334	"FBgn0011661"	"Moe"	chrX	-	8876572	8876752	8880291	8880400	8875093	8875860	8898183	8898332	2334	186,279,232	2457,2972,2126	325,388,313	2037,2451,1976	148	148	1.96309194456e-08	2.89329551214e-06	0.07,0.086,0.098	0.138,0.137,0.137	-0.053
260	"FBgn0000253"	"Cam"	chr2R	+	12260039	12260188	12264742	12264917	12259397	12259458	12269192	12269435	260	953,1631,1052	3421,3965,3126	2206,2433,2021	3981,4669,3605	148	148	2.5810641624e-08	3.53237066797e-06	0.218,0.291,0.252	0.357,0.343,0.359	-0.099
2091	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2091	371,519,360	36,38,23	223,314,276	36,65,49	148	148	5.56636481353e-08	7.11010332182e-06	0.912,0.932,0.94	0.861,0.828,0.849	0.082
230	"FBgn0037443"	"Dmtn"	chr3R	-	6392879	6392959	6405377	6405660	6391304	6391988	6405741	6405895	230	3,0,1	45,62,36	7,13,11	45,43,45	148	148	7.85055302988e-08	9.40103725328e-06	0.063,0.0,0.027	0.135,0.232,0.196	-0.158
