ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
157	"FBgn0003256"	"rl"	chr2R	+	1076634	1076761	1080330	1080441	1071974	1072045	1105846	1105981	157	94	400	118	112	150	150	0.0	0.0	0.19	0.513	-0.323
169	"FBgn0039959"	"CG17514"	chr3L	-	27987737	27988702	28012380	28012483	27967243	27974140	28012536	28012599	169	469	545	554	248	150	150	0.0	0.0	0.463	0.691	-0.228
16	"FBgn0026401"	"Nipped-B"	chr2R	-	4695461	4695610	4700939	4701261	4693247	4693483	4711813	4712045	16	392	0	245	51	150	150	0.0	0.0	1.0	0.828	0.172
19	"FBgn0026401"	"Nipped-B"	chr2R	-	4719769	4720210	4722146	4722325	4711813	4712045	4726623	4726788	19	447	20	326	107	150	150	0.0	0.0	0.957	0.753	0.204
2085	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18920412	18921319	18914967	18915925	18925077	18925796	2085	480	922	435	1752	150	150	0.0	0.0	0.342	0.199	0.143
2086	"FBgn0032006"	"Pvr"	chr2L	-	8227669	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2086	1421	847	304	592	150	150	0.0	0.0	0.627	0.339	0.288
2089	"FBgn0032006"	"Pvr"	chr2L	-	8226928	8227150	8228082	8228257	8226457	8226606	8228493	8229011	2089	1421	237	304	210	150	150	0.0	0.0	0.857	0.591	0.266
2092	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226606	8228493	8229011	2092	1421	888	304	598	150	150	0.0	0.0	0.615	0.337	0.278
2093	"FBgn0032006"	"Pvr"	chr2L	-	8227651	8227826	8228082	8228257	8226457	8226603	8228493	8229011	2093	535	844	132	585	150	150	0.0	0.0	0.388	0.184	0.204
20	"FBgn0026401"	"Nipped-B"	chr2R	-	4719769	4720210	4722146	4722325	4695461	4695610	4726623	4726788	20	447	4	326	71	150	150	0.0	0.0	0.991	0.821	0.17
2131	"FBgn0010348"	"Arf79F"	chr3L	-	22869664	22869774	22869841	22870065	22869345	22869471	22871459	22871724	2131	35	1425	109	655	150	150	0.0	0.0	0.024	0.143	-0.119
2168	"FBgn0250823"	"gish"	chr3R	+	16299590	16299689	16301244	16301351	16298469	16298550	16301822	16302372	2168	45	633	158	331	150	150	0.0	0.0	0.066	0.323	-0.257
21	"FBgn0026401"	"Nipped-B"	chr2R	-	4719769	4720210	4722146	4722325	4700939	4701261	4726623	4726788	21	447	0	328	75	150	150	0.0	0.0	1.0	0.814	0.186
2320	"FBgn0058178"	"CG40178"	chr3L	-	25961359	25961540	25969229	25969627	25924295	25924456	25977966	25978150	2320	240	41	81	139	150	150	0.0	0.0	0.854	0.368	0.486
2326	"FBgn0058178"	"CG40178"	chr3L	-	25873859	25874085	25933195	25933410	25843724	25844107	25961359	25961540	2326	226	644	259	276	150	150	0.0	0.0	0.26	0.484	-0.224
2367	"FBgn0013305"	"Nmda1"	chr2R	-	12879051	12879146	12879196	12879222	12878384	12878710	12879688	12879798	2367	1299	832	820	1001	100	150	0.0	0.0	0.701	0.551	0.15
23	"FBgn0026401"	"Nipped-B"	chr2R	-	4699058	4699151	4700939	4701261	4695461	4695610	4711813	4712045	23	392	11	245	80	150	150	0.0	0.0	0.973	0.754	0.219
2457	"FBgn0004509"	"Fur1"	chr3R	-	25417937	25417964	25431916	25431981	25396711	25397562	25438387	25438452	2457	13	151	66	59	139	101	0.0	0.0	0.059	0.448	-0.389
2532	"FBgn0261793"	"Trf2"	chrX	+	8410281	8410689	8418350	8418426	8409271	8409364	8423183	8423575	2532	97	780	170	75	150	150	0.0	0.0	0.111	0.694	-0.583
2602	"FBgn0036318"	"Wbp2"	chr3L	+	12852231	12852277	12852426	12852521	12851308	12851722	12852615	12852716	2602	492	182	142	264	120	150	0.0	0.0	0.772	0.402	0.37
2603	"FBgn0036318"	"Wbp2"	chr3L	+	12852231	12852277	12852426	12852528	12851308	12851722	12852615	12852716	2603	492	150	142	228	120	150	0.0	0.0	0.804	0.438	0.366
2656	"FBgn0005278"	"Sam-S"	chr2L	+	111004	111117	111906	112019	110754	110877	112689	113369	2656	25	1108	133	461	150	150	0.0	0.0	0.022	0.224	-0.202
2667	"FBgn0040056"	"CG17698"	chr3L	+	23746189	23746544	23747872	23748060	23740160	23741084	23748423	23748716	2667	149	21	36	125	150	150	0.0	0.0	0.876	0.224	0.652
2673	"FBgn0040056"	"CG17698"	chr3L	+	23740160	23741084	23747872	23748060	23737959	23738184	23748423	23748716	2673	176	22	58	123	150	150	0.0	0.0	0.889	0.32	0.569
267	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	267	1418	1054	800	1096	150	150	0.0	0.0	0.574	0.422	0.152
2704	"FBgn0002921"	"Atpalpha"	chr3R	+	20967107	20967202	20968391	20968486	20966397	20966613	20973172	20973347	2704	1073	1	426	69	150	150	0.0	0.0	0.999	0.861	0.138
275	"FBgn0000253"	"Cam"	chr2R	+	12260039	12260188	12264742	12264917	12259397	12259458	12269192	12269435	275	5626	2513	2760	1913	150	150	0.0	0.0	0.691	0.591	0.1
2765	"FBgn0262579"	"Ect4"	chr3L	+	8093058	8093337	8098345	8098725	8072368	8072493	8099145	8099536	2765	32	726	135	607	150	150	0.0	0.0	0.042	0.182	-0.14
3	"FBgn0026401"	"Nipped-B"	chr2R	-	4728008	4728124	4728432	4728551	4727793	4727953	4728778	4729017	3	408	3154	770	2066	150	150	0.0	0.0	0.115	0.272	-0.157
106	"FBgn0020647"	"KrT95D"	chr3R	-	24003415	24003764	24005687	24005995	24000179	24000780	24012982	24013230	106	138	46	101	179	150	150	1.11022302463e-16	5.21804821576e-15	0.75	0.361	0.389
109	"FBgn0004907"	"14-3-3zeta"	chr2R	+	10105940	10106104	10106633	10106797	10105701	10105825	10107466	10108474	109	1815	27	1034	84	150	150	1.11022302463e-16	5.21804821576e-15	0.985	0.925	0.06
155	"FBgn0003256"	"rl"	chr2R	+	1080330	1080441	1105846	1105981	1076634	1076761	1113197	1113482	155	999	318	252	207	150	150	1.11022302463e-16	5.21804821576e-15	0.759	0.549	0.21
156	"FBgn0003256"	"rl"	chr2R	+	1080330	1080441	1105846	1105981	1072250	1072439	1113197	1113482	156	1	297	43	169	150	150	1.11022302463e-16	5.21804821576e-15	0.003	0.203	-0.2
2488	"FBgn0053554"	"Nipped-A"	chr2R	-	5212328	5212467	5217344	5217435	5204193	5204278	5241895	5242062	2488	405	0	101	25	150	150	2.22044604925e-16	1.01291524188e-14	1.0	0.802	0.198
2333	"FBgn0058178"	"CG40178"	chr3L	-	25924295	25924456	25933195	25933410	25843724	25844107	25961359	25961540	2333	226	4	259	82	150	150	3.33066907388e-16	1.4759622096e-14	0.983	0.76	0.223
11	"FBgn0026401"	"Nipped-B"	chr2R	-	4711813	4712045	4722146	4722325	4695461	4695610	4726623	4726788	11	447	0	326	46	150	150	4.4408920985e-16	1.91328434577e-14	1.0	0.876	0.124
17	"FBgn0026401"	"Nipped-B"	chr2R	-	4695461	4695610	4698502	4698996	4693247	4693483	4699058	4699151	17	559	11	368	67	150	150	5.55111512313e-16	2.32696744756e-14	0.981	0.846	0.135
2451	"FBgn0259214"	"PMCA"	chr4	-	331397	332002	342921	343060	330270	330339	348994	349146	2451	461	36	222	89	150	150	7.77156117238e-16	3.17202404694e-14	0.928	0.714	0.214
318	"FBgn0003721"	"Tm1"	chr3R	+	15301010	15301073	15301623	15301686	15300746	15300822	15303152	15303222	318	18	1176	80	816	137	137	8.881784197e-16	3.53221725373e-14	0.015	0.089	-0.074
2312	"FBgn0041210"	"HDAC4"	chrX	-	13271481	13271589	13276434	13276547	13270390	13270693	13282165	13282229	2312	199	1	50	26	150	150	9.99200722163e-16	3.87440080019e-14	0.995	0.658	0.337
2206	"FBgn0261862"	"whd"	chr2R	-	10471213	10471273	10471439	10471505	10470367	10470749	10471617	10471956	2206	2	286	46	198	140	134	5.55111512313e-15	2.09994623316e-13	0.007	0.182	-0.175
2585	"FBgn0020309"	"crol"	chr2L	-	11802286	11803674	11803784	11803898	11800154	11800322	11809125	11809438	2585	35	252	141	225	150	150	9.54791801178e-15	3.52590972292e-13	0.122	0.385	-0.263
10	"FBgn0026401"	"Nipped-B"	chr2R	-	4711813	4712045	4719769	4720210	4695461	4695610	4722146	4722325	10	479	0	384	45	150	150	1.01030295241e-14	3.56131790725e-13	1.0	0.895	0.105
2378	"FBgn0000256"	"capu"	chr2L	-	3884035	3884518	3886983	3887799	3878894	3879067	3893261	3893604	2378	0	96	28	32	150	150	9.99200722163e-15	3.56131790725e-13	0.0	0.467	-0.467
2768	"FBgn0262579"	"Ect4"	chr3L	+	8105439	8105657	8106015	8106949	8105126	8105296	8108285	8108506	2768	572	124	376	217	150	150	2.53130849615e-14	8.72457661673e-13	0.822	0.634	0.188
123	"FBgn0010280"	"Taf4"	chr3L	+	16115668	16115830	16116031	16116619	16114311	16114720	16117544	16118108	123	75	3	41	49	150	150	4.4408920985e-14	1.49735296626e-12	0.962	0.456	0.506
2176	"FBgn0016930"	"Dyrk2"	chr2L	-	14217026	14217069	14222016	14222081	14197656	14197867	14233647	14234108	2176	4	85	121	157	139	117	5.68434188608e-14	1.87583282241e-12	0.038	0.393	-0.355
148	"FBgn0003256"	"rl"	chr2R	+	1072250	1072439	1076634	1076761	1071974	1072045	1080330	1080441	148	204	1070	142	280	150	150	7.21644966006e-14	2.33181529641e-12	0.16	0.336	-0.176
4	"FBgn0026401"	"Nipped-B"	chr2R	-	4728008	4728124	4728179	4728351	4727793	4727953	4728432	4728551	4	409	3168	465	2085	150	150	1.0236256287e-13	3.24008846962e-12	0.114	0.182	-0.068
2606	"FBgn0036318"	"Wbp2"	chr3L	+	12851308	12851722	12852231	12852277	12850914	12851153	12852615	12852716	2606	508	114	451	20	150	120	1.26121335597e-13	3.91228383022e-12	0.781	0.947	-0.166
2480	"FBgn0030520"	"Pdcd4"	chrX	-	13750585	13752027	13754829	13755061	13750315	13750455	13755252	13755406	2480	9	431	52	255	150	150	1.33337785257e-13	4.05503735164e-12	0.02	0.169	-0.149
108	"FBgn0004907"	"14-3-3zeta"	chr2R	+	10106288	10106452	10106633	10106797	10105701	10105825	10107466	10109687	108	1043	27	713	84	150	150	3.89355214736e-13	1.16132680395e-11	0.975	0.895	0.08
2763	"FBgn0011217"	"eff"	chr3R	-	14734386	14734418	14737419	14737483	14733699	14733883	14740379	14740791	2763	1178	853	1102	481	138	106	5.97633054156e-13	1.74892239056e-11	0.515	0.638	-0.123
2486	"FBgn0053554"	"Nipped-A"	chr2R	-	5241895	5242062	5245951	5246137	5212328	5212467	5250728	5251022	2486	101	0	41	25	150	150	1.80178094666e-12	5.17511527457e-11	1.0	0.621	0.379
2162	"FBgn0027066"	"Eb1"	chr2R	+	6753226	6753503	6754179	6754438	6752842	6752988	6754701	6754844	2162	5	913	33	390	150	150	2.36644037699e-12	6.67336186311e-11	0.005	0.078	-0.073
2604	"FBgn0036318"	"Wbp2"	chr3L	+	12852231	12852277	12852426	12852521	12850914	12851153	12852615	12852716	2604	114	192	20	176	120	150	2.83828516245e-12	7.86103622671e-11	0.426	0.124	0.302
2526	"FBgn0259984"	"kuz"	chr2L	+	13558799	13558832	13609790	13609987	13551141	13551666	13610055	13610578	2526	88	406	45	745	107	150	9.69035962584e-12	2.63679785608e-10	0.233	0.078	0.155
2636	"FBgn0028582"	"lqf"	chr3L	+	7536003	7536435	7536710	7536769	7535542	7535644	7536975	7538279	2636	17	108	28	12	150	133	3.1733171646e-11	8.48588779706e-10	0.122	0.674	-0.552
2485	"FBgn0053554"	"Nipped-A"	chr2R	-	5241895	5242062	5245951	5246137	5204193	5204278	5250728	5251022	2485	101	1	42	24	150	150	9.14739395341e-11	2.40467932572e-09	0.99	0.636	0.354
2138	"FBgn0264605"	"CG43954"	chr3L	-	16680811	16680947	16681237	16681370	16678807	16679932	16694201	16694296	2138	367	407	128	318	150	150	9.67180779909e-11	2.50016231606e-09	0.474	0.287	0.187
2311	"FBgn0041210"	"HDAC4"	chrX	-	13271481	13271589	13276434	13276547	13270390	13270642	13282165	13282229	2311	199	59	52	69	150	150	1.11396558644e-10	2.83239446651e-09	0.771	0.43	0.341
147	"FBgn0003256"	"rl"	chr2R	+	1072250	1072439	1080330	1080441	1071974	1072045	1105846	1105981	147	205	400	151	112	150	150	1.22584054019e-10	3.01790266323e-09	0.339	0.574	-0.235
22	"FBgn0026401"	"Nipped-B"	chr2R	-	4699058	4699151	4700939	4701261	4693247	4693483	4711813	4712045	22	392	0	245	27	150	150	1.21742393944e-10	3.01790266323e-09	1.0	0.901	0.099
2677	"FBgn0011642"	"Zyx"	chr4	-	1059418	1059836	1060412	1060634	1058209	1058504	1060740	1060918	2677	38	4	16	41	150	150	1.58299706676e-10	3.83629445398e-09	0.905	0.281	0.624
14	"FBgn0026401"	"Nipped-B"	chr2R	-	4695461	4695610	4699058	4699151	4693247	4693483	4700388	4700583	14	950	24	596	65	150	150	1.68016267565e-10	4.00912663067e-09	0.975	0.902	0.073
2153	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604709	5604834	2153	15	280	24	44	123	150	2.3931445714e-10	5.62388974279e-09	0.061	0.399	-0.338
2615	"FBgn0037989"	"ATP8B"	chr3R	-	12076683	12076742	12082574	12082881	12076373	12076586	12090237	12090612	2615	121	267	130	720	150	133	3.42024408795e-10	7.91760982151e-09	0.287	0.138	0.149
289	"FBgn0032694"	"MESR3"	chr2L	+	18631742	18631774	18649597	18649627	18617255	18617724	18660208	18661776	289	152	155	20	95	106	104	6.05445027446e-10	1.38094887878e-08	0.49	0.171	0.319
39	"FBgn0026401"	"Nipped-B"	chr2R	-	4700388	4700583	4700939	4701261	4695461	4695610	4711813	4712045	39	392	24	245	65	150	150	6.98047730729e-10	1.56908989907e-08	0.942	0.79	0.152
411	"FBgn0033159"	"Dscam1"	chr2R	-	7334933	7335218	7344278	7344569	7332260	7332380	7347848	7348010	411	26	3	24	67	150	150	1.00603891884e-09	2.22909480446e-08	0.897	0.264	0.633
2767	"FBgn0262579"	"Ect4"	chr3L	+	8096970	8097172	8098345	8098725	8096521	8096876	8099145	8099536	2767	90	782	19	664	150	150	1.47300061037e-09	3.2177802066e-08	0.103	0.028	0.075
114	"FBgn0010247"	"Parp"	chr3R	-	3523413	3523947	3584979	3585313	3468908	3469478	3585368	3585510	114	852	310	333	47	150	150	1.78573500431e-09	3.84677082178e-08	0.733	0.876	-0.143
2455	"FBgn0259214"	"PMCA"	chr4	-	352180	352590	353942	353978	351883	352126	354350	354561	2455	696	622	571	298	110	150	1.97842042748e-09	4.20346586715e-08	0.604	0.723	-0.119
2220	"FBgn0043841"	"vir-1"	chr2L	-	12409455	12409623	12421640	12421829	12403269	12404177	12423322	12423439	2220	3492	0	1213	13	150	150	2.48721820917e-09	5.21307492219e-08	1.0	0.989	0.011
93	"FBgn0032901"	"sky"	chr2L	-	20903015	20903559	20916904	20917142	20882261	20882464	20918798	20918931	93	0	181	17	81	150	150	8.40969882621e-09	1.73912571726e-07	0.0	0.173	-0.173
2443	"FBgn0260798"	"Gprk1"	chr2R	-	4378963	4379155	4407980	4408032	4378368	4378695	4427935	4427997	2443	272	28	138	58	126	150	8.94786633676e-09	1.8260711432e-07	0.92	0.739	0.181
80	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12729930	12730151	12726745	12727116	12737958	12738176	80	86	79	203	54	150	150	9.15294418036e-09	1.84366447062e-07	0.521	0.79	-0.269
2586	"FBgn0020309"	"crol"	chr2L	-	11802286	11803674	11803784	11803898	11800154	11800322	11808013	11808972	2586	24	252	81	224	150	150	1.1250210763e-08	2.23706114018e-07	0.087	0.266	-0.179
40	"FBgn0026401"	"Nipped-B"	chr2R	-	4700388	4700583	4700939	4701261	4693247	4693483	4711813	4712045	40	392	0	245	22	150	150	1.16052796262e-08	2.27845426585e-07	1.0	0.918	0.082
