ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1222,893,1357	9640,6854,11076	293,433,431	4921,7350,7909	257	74	0.0	0.0	0.035,0.036,0.034	0.017,0.017,0.015	0.019
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	1527,1042,1620	279,258,394	482,662,588	1505,1160,1560	146	74	0.0	0.0	0.735,0.672,0.676	0.14,0.224,0.16	0.52
1296	"FBgn0004179"	"Csp"	chr3L	+	22271557	22273745	22271557	22271762	22272368	22273745	1296	336,330,345	347,385,324	658,831,814	194,264,256	680	74	0.0	0.0	0.095,0.085,0.104	0.27,0.255,0.257	-0.166
1305	"FBgn0011290"	"Taf12"	chr3R	-	11678943	11679398	11678943	11679184	11679353	11679398	1305	575,491,593	60,57,66	299,259,298	115,71,109	243	74	0.0	0.0	0.745,0.724,0.732	0.442,0.526,0.454	0.26
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	4185,3124,4215	1770,1062,1809	1595,2454,2749	2495,3718,4140	332	74	0.0	0.0	0.345,0.396,0.342	0.125,0.128,0.129	0.234
1377	"FBgn0010551"	"Phb2"	chr2R	+	18821183	18821839	18821183	18821283	18821489	18821839	1377	3594,2720,3712	96,97,97	2292,2336,2456	9,11,5	280	74	0.0	0.0	0.908,0.881,0.91	0.985,0.982,0.992	-0.087
1415	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8428319	8429462	1415	558,547,571	536,518,554	1974,1454,1946	672,600,719	326	74	0.0	0.0	0.191,0.193,0.19	0.4,0.355,0.381	-0.187
1481	"FBgn0003074"	"Pgi"	chr2R	-	8913432	8914069	8913432	8913570	8913709	8914069	1481	494,433,462	36,26,29	510,708,601	2,6,5	213	74	0.0	0.0	0.827,0.853,0.847	0.989,0.976,0.977	-0.138
224	"FBgn0032000"	"CG8372"	chr2L	-	8212038	8212902	8212038	8212692	8212766	8212902	224	69,56,69	90,57,101	118,148,184	28,39,34	148	74	0.0	0.0	0.277,0.329,0.255	0.678,0.655,0.73	-0.401
398	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267283	27267591	27267918	398	2917,2186,2664	121,126,213	3679,3485,4620	538,785,898	382	74	0.0	0.0	0.824,0.771,0.708	0.57,0.462,0.499	0.257
470	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	470	603,413,600	436,381,404	858,741,856	159,152,149	637	74	0.0	0.0	0.138,0.112,0.147	0.385,0.362,0.4	-0.25
516	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061076	31061210	516	275,293,208	187,151,140	354,262,388	651,403,553	686	74	0.0	0.0	0.137,0.173,0.138	0.055,0.066,0.07	0.086
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	4750,3382,4870	4046,2787,4261	1069,1173,1444	3604,5093,5514	379	74	0.0	0.0	0.186,0.192,0.182	0.055,0.043,0.049	0.138
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	4750,3380,4869	53,45,87	1069,1173,1443	62,74,70	357	74	0.0	0.0	0.949,0.94,0.921	0.781,0.767,0.81	0.151
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	5128,4462,5984	273,224,277	3412,4064,4177	5,27,23	136	74	0.0	0.0	0.911,0.916,0.922	0.997,0.988,0.99	-0.075
909	"FBgn0047135"	"CG32276"	chr3L	-	3198751	3199047	3198751	3198866	3198992	3199047	909	2089,1743,2024	420,296,455	1306,1423,1577	980,909,1002	200	74	0.0	0.0	0.648,0.685,0.622	0.33,0.367,0.368	0.297
1451	"FBgn0035165"	"CG13887"	chr3L	+	837860	838624	837860	837945	838048	838624	1451	744,687,786	339,270,376	409,598,530	588,497,666	177	74	2.22044604925e-16	1.39104414262e-14	0.479,0.515,0.466	0.225,0.335,0.25	0.217
584	"FBgn0050392"	"CG30392"	chr2R	-	21290913	21291581	21290913	21290970	21291031	21291581	584	220,202,265	57,46,50	81,103,127	3,3,1	135	74	3.33066907388e-16	1.97064586871e-14	0.679,0.706,0.744	0.937,0.95,0.986	-0.248
758	"FBgn0031897"	"CG13784"	chr2L	-	7218908	7220033	7218908	7219130	7219859	7220033	758	658,450,469	38,33,32	1327,1031,1375	19,18,19	803	74	5.55111512313e-16	3.11154610849e-14	0.615,0.557,0.575	0.866,0.841,0.87	-0.277
1577	"FBgn0262579"	"Ect4"	chr3L	+	8105439	8106949	8105439	8105657	8106015	8106949	1577	2986,2799,2449	12,11,28	2024,1828,1947	48,46,50	432	74	6.66133814775e-16	3.54716256368e-14	0.977,0.978,0.937	0.878,0.872,0.87	0.091
942	"FBgn0010315"	"CycD"	chrX	-	15908536	15909676	15908536	15909222	15909530	15909676	942	106,82,101	186,139,143	92,140,103	44,66,64	382	74	3.10862446895e-15	1.57651669497e-13	0.099,0.103,0.12	0.288,0.291,0.238	-0.165
687	"FBgn0024814"	"Clc"	chr3L	+	20242505	20243735	20242505	20242667	20242784	20243735	687	248,229,312	443,367,375	102,159,195	374,598,620	191	74	3.77475828373e-15	1.82732616917e-13	0.178,0.195,0.244	0.096,0.093,0.109	0.106
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	380,363,370	112,105,80	210,275,282	127,182,196	560	74	3.43058914609e-14	1.58851193069e-12	0.31,0.314,0.379	0.179,0.166,0.16	0.166
1283	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	1283	64,52,67	109,84,63	95,115,118	36,37,41	138	74	5.14033260401e-14	2.28102259303e-12	0.239,0.249,0.363	0.586,0.625,0.607	-0.322
1594	"FBgn0016754"	"sba"	chr3R	-	23896208	23897191	23896208	23896608	23897062	23897191	1594	150,152,136	29,22,21	17,28,56	29,18,33	528	74	4.62185845151e-13	1.96891170034e-11	0.42,0.492,0.476	0.076,0.179,0.192	0.314
20	"FBgn0026401"	"Nipped-B"	chr2R	-	4726847	4727734	4726847	4727085	4727157	4727734	20	86,77,57	149,134,100	159,178,203	105,98,154	146	74	4.8872017544e-13	2.00187302632e-11	0.226,0.226,0.224	0.434,0.479,0.401	-0.213
321	"FBgn0031285"	"CG3662"	chr2L	+	823636	824337	823636	824137	824190	824337	321	991,817,1136	60,54,82	1183,889,1272	27,20,28	127	74	1.65334412827e-12	6.52152406151e-11	0.906,0.898,0.89	0.962,0.963,0.964	-0.065
1462	"FBgn0001961"	"Arpc1"	chr2L	-	13829345	13829741	13829345	13829643	13829709	13829741	1462	399,393,425	13,2,9	259,380,387	26,36,32	140	74	2.38287167775e-12	9.06342263144e-11	0.942,0.99,0.961	0.84,0.848,0.865	0.113
1336	"FBgn0015756"	"RpL9"	chr2L	-	11004005	11004153	11004005	11004055	11004128	11004153	1336	212,162,239	285,268,486	144,158,159	559,467,632	147	74	3.55848683853e-12	1.30682361484e-10	0.272,0.233,0.198	0.115,0.146,0.112	0.11
1042	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536536	22536565	22536620	22536650	1042	1691,1059,1480	2343,1620,2065	490,625,614	976,2694,1742	129	74	7.98094923482e-12	2.83323697836e-10	0.293,0.273,0.291	0.224,0.117,0.168	0.116
399	"FBgn0028697"	"RpL15"	chr3L	+	27267255	27267918	27267255	27267455	27267513	27267918	399	587,421,504	78,59,74	296,368,384	104,104,135	132	74	1.00863761787e-11	3.46515826784e-10	0.808,0.8,0.792	0.615,0.665,0.615	0.168
635	"FBgn0053057"	"CG33057"	chr3L	-	8402167	8405277	8402167	8404050	8404102	8405277	635	7,12,9	81,62,55	41,27,43	55,43,70	126	74	1.43621781135e-11	4.7799124034e-10	0.048,0.102,0.088	0.304,0.269,0.265	-0.2
747	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	747	818,747,803	47,30,39	317,436,452	38,70,54	179	74	1.66112679167e-11	5.3609091913e-10	0.878,0.911,0.895	0.775,0.72,0.776	0.138
146	"FBgn0031220"	"CG4822"	chr2L	-	119133	119375	119133	119235	119287	119375	146	191,163,166	1476,1244,1120	179,236,264	587,973,949	126	74	1.73575598339e-11	5.43700035974e-10	0.071,0.071,0.08	0.152,0.125,0.14	-0.065
788	"FBgn0260742"	"CG12213"	chr3R	-	11965544	11966739	11965544	11966286	11966454	11966739	788	140,125,140	90,76,118	49,42,48	94,86,84	242	74	2.70380384748e-11	8.22728885019e-10	0.322,0.335,0.266	0.137,0.13,0.149	0.169
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	600,504,557	509,352,465	578,579,581	756,934,899	262	74	4.01576549791e-11	1.15942044254e-09	0.25,0.288,0.253	0.178,0.149,0.154	0.103
517	"FBgn0002413"	"dco"	chr3R	-	31060374	31061210	31060374	31060464	31061069	31061210	517	254,263,189	20,22,16	283,209,300	77,49,74	679	74	4.02803346233e-11	1.15942044254e-09	0.581,0.566,0.563	0.286,0.317,0.306	0.267
1018	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1499879	1499042	1499337	1499771	1499879	1018	480,344,386	1,0,1	152,144,222	8,5,8	508	74	4.36655156477e-11	1.22378353065e-09	0.986,1.0,0.983	0.735,0.808,0.802	0.208
554	"FBgn0045823"	"vsg"	chr3L	+	9714323	9714623	9714323	9714399	9714505	9714623	554	1430,1086,1154	1441,1179,1127	553,922,869	1184,1416,1621	180	74	7.04528657636e-11	1.92390518047e-09	0.29,0.275,0.296	0.161,0.211,0.181	0.103
406	"FBgn0033886"	"Rpn13"	chr2R	-	13958544	13959398	13958544	13959099	13959204	13959398	406	326,284,349	450,411,504	225,276,296	146,234,188	179	74	7.44855288559e-11	1.98317720579e-09	0.23,0.222,0.223	0.389,0.328,0.394	-0.145
334	"FBgn0027786"	"Mtch"	chr3L	+	184625	185074	184625	184681	184774	185074	334	150,124,144	16,15,7	54,83,71	17,36,43	167	74	9.49700318387e-11	2.46690448557e-09	0.806,0.786,0.901	0.585,0.505,0.423	0.327
286	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2830707	2830781	2830865	2831043	286	118,119,129	39,32,42	175,144,170	7,18,13	158	74	1.90800486521e-10	4.83815519393e-09	0.586,0.635,0.59	0.921,0.789,0.86	-0.253
135	"FBgn0005640"	"Eip63E"	chr3L	+	3515750	3516828	3515750	3515934	3516528	3516828	135	470,458,400	56,34,33	666,710,700	15,20,22	668	74	1.95879978904e-10	4.85144598913e-09	0.482,0.599,0.573	0.831,0.797,0.779	-0.251
1534	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6002062	6003098	6003672	6003911	1534	637,670,627	199,168,173	254,245,337	168,135,165	648	74	2.74626876795e-10	6.64721872242e-09	0.268,0.313,0.293	0.147,0.172,0.189	0.122
895	"FBgn0011604"	"Iswi"	chr2R	+	12636670	12636990	12636670	12636737	12636843	12636990	895	119,86,79	41,25,32	53,89,96	59,88,88	180	74	3.22103677064e-10	7.62312035718e-09	0.544,0.586,0.504	0.27,0.294,0.31	0.253
553	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	553	202,185,141	45,56,41	161,221,215	14,17,21	512	74	6.21044327076e-10	1.43785262682e-08	0.393,0.323,0.332	0.624,0.653,0.597	-0.275
43	"FBgn0039302"	"Nup358"	chr3R	+	25256354	25257057	25256354	25256855	25256924	25257057	43	616,548,530	34,26,39	695,694,787	11,6,21	143	74	7.88045406708e-10	1.78567735775e-08	0.904,0.916,0.876	0.97,0.984,0.951	-0.07
424	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13665452	13665526	424	3486,2729,2907	792,636,736	3165,3298,3603	419,482,479	2475	74	9.76296932187e-10	2.16615881829e-08	0.116,0.114,0.106	0.184,0.17,0.184	-0.067
1454	"FBgn0033463"	"CG1513"	chr2R	-	9883896	9884206	9883896	9884002	9884084	9884206	1454	97,55,75	192,153,191	56,41,56	286,248,331	156	74	1.21838128475e-09	2.64811442502e-08	0.193,0.146,0.157	0.085,0.073,0.074	0.088
310	"FBgn0035207"	"CG9153"	chr3L	+	1313695	1314090	1313695	1313908	1313974	1314090	310	171,144,97	46,45,24	563,496,635	73,47,61	140	74	1.43178058298e-09	3.04969264175e-08	0.663,0.628,0.681	0.803,0.848,0.846	-0.175
153	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072250	1072439	153	589,292,354	21,14,10	270,353,343	30,37,43	279	74	1.98392635653e-09	4.14290503864e-08	0.882,0.847,0.904	0.705,0.717,0.679	0.177
1502	"FBgn0052582"	"CR32582"	chrX	+	15836281	15836674	15836281	15836397	15836524	15836674	1502	103,82,97	41,33,39	37,43,41	33,56,57	201	74	2.52775111953e-09	5.17702873519e-08	0.48,0.478,0.478	0.292,0.22,0.209	0.238
192	"FBgn0016975"	"stnB"	chrX	-	22990167	22991790	22990167	22990774	22990837	22991790	192	188,172,147	53,59,53	328,352,363	27,48,59	137	74	3.00442370982e-09	6.03719103954e-08	0.657,0.612,0.6	0.868,0.798,0.769	-0.189
473	"FBgn0035253"	"CG7971"	chr3L	-	1660598	1661165	1660598	1660857	1661108	1661165	473	304,250,260	25,18,28	243,280,336	6,3,9	325	74	7.75180586388e-09	1.52882837871e-07	0.735,0.76,0.679	0.902,0.955,0.895	-0.193
562	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	562	1209,942,982	66,46,59	1320,1164,1411	31,19,39	253	74	8.86286011248e-09	1.7161720036e-07	0.843,0.857,0.83	0.926,0.947,0.914	-0.086
661	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8384996	8385097	661	277,173,217	361,267,293	81,120,104	229,313,280	175	74	1.09511145707e-08	2.08266732461e-07	0.245,0.215,0.238	0.13,0.14,0.136	0.097
591	"FBgn0031078"	"Nup205"	chrX	+	19852213	19852569	19852213	19852354	19852423	19852569	591	13,4,4	116,99,51	23,42,32	87,114,129	143	74	2.3341529376e-08	4.36118048867e-07	0.055,0.02,0.039	0.12,0.16,0.114	-0.093
231	"FBgn0028540"	"CG9008"	chr2L	-	13774339	13775406	13774339	13775185	13775254	13775406	231	24,12,14	8,2,6	1,11,14	0,0,0	143	74	2.95542420536e-08	5.42677030812e-07	0.608,0.756,0.547	1.0,1.0,1.0	-0.363
1065	"FBgn0003607"	"Su(var)205"	chr2L	-	8210729	8211122	8210729	8210861	8210978	8211122	1065	385,357,409	907,735,760	645,596,721	805,795,820	191	74	3.05710001758e-08	5.518324608e-07	0.141,0.158,0.173	0.237,0.225,0.254	-0.081
429	"FBgn0014189"	"Hel25E"	chr2L	-	5540168	5541090	5540168	5540300	5540971	5541090	429	747,549,660	935,766,957	651,682,765	397,701,651	745	74	4.24754361683e-08	7.53938991987e-07	0.074,0.066,0.064	0.14,0.088,0.105	-0.043
1224	"FBgn0027561"	"CG18659"	chr2R	-	9124743	9126066	9124743	9125220	9125550	9126066	1224	107,76,97	189,160,207	75,66,87	54,77,72	404	74	4.76611180522e-08	8.32116241403e-07	0.094,0.08,0.079	0.203,0.136,0.181	-0.089
154	"FBgn0003256"	"rl"	chr2R	+	1071974	1072439	1071974	1072045	1072267	1072439	154	661,344,414	5,3,1	332,427,440	14,15,12	296	74	6.41259867429e-08	1.10151896583e-06	0.971,0.966,0.99	0.856,0.877,0.902	0.097
1108	"FBgn0026575"	"hang"	chrX	+	16435144	16438454	16435144	16436504	16436587	16438454	1108	141,109,95	8,14,10	81,116,123	36,33,35	157	74	7.12229748512e-08	1.20400743201e-06	0.893,0.786,0.817	0.515,0.624,0.624	0.244
221	"FBgn0020660"	"eIF-4B"	chr3L	-	27856365	27857935	27856365	27856707	27856783	27857935	221	16,22,25	87,67,65	12,4,7	116,70,118	150	74	1.00434602079e-07	1.67129455022e-06	0.083,0.139,0.159	0.049,0.027,0.028	0.092
712	"FBgn0003638"	"su(w[a])"	chrX	+	1042259	1043421	1042259	1042432	1042802	1043421	712	102,50,38	6,4,6	99,88,109	2,0,0	444	74	1.72697763645e-07	2.82958643511e-06	0.739,0.676,0.514	0.892,1.0,1.0	-0.321
1491	"FBgn0046214"	"vig2"	chr3R	+	25123444	25124115	25123444	25123479	25123631	25124115	1491	1228,1066,1183	4,3,2	912,1551,1483	15,16,20	226	74	2.64796972682e-07	4.272860241e-06	0.99,0.991,0.995	0.952,0.969,0.96	0.032
426	"FBgn0004587"	"B52"	chr3R	+	13662969	13665526	13662969	13663051	13663454	13665526	426	419,409,369	75,54,47	412,550,541	23,39,37	477	74	3.19896602319e-07	5.08492360403e-06	0.464,0.54,0.549	0.735,0.686,0.694	-0.187
95	"FBgn0011764"	"Dsp1"	chrX	+	16333611	16334413	16333611	16333643	16334300	16334413	95	1208,1036,880	34,20,21	709,962,1003	59,40,71	731	74	3.8561200999e-07	6.03936456823e-06	0.782,0.84,0.809	0.549,0.709,0.588	0.195
1412	"FBgn0011672"	"Mvl"	chr3R	-	21058260	21060653	21058260	21058468	21060584	21060653	1412	571,612,465	8,10,11	399,460,533	23,27,29	2190	74	3.97410744979e-07	6.13394845511e-06	0.707,0.674,0.588	0.37,0.365,0.383	0.284
290	"FBgn0019624"	"CoVa"	chr3R	+	11819598	11820299	11819598	11819644	11819710	11820299	290	305,185,263	754,497,662	110,154,184	456,734,770	140	74	4.0826952985e-07	6.21152927558e-06	0.176,0.164,0.174	0.113,0.1,0.112	0.063
993	"FBgn0051712"	"CG31712"	chr2L	-	9935485	9937510	9935485	9935569	9937237	9937510	993	740,520,595	51,71,68	684,598,791	183,120,167	1742	74	5.17431073432e-07	7.76146610148e-06	0.381,0.237,0.271	0.137,0.175,0.168	0.136
602	"FBgn0030838"	"CG5445"	chrX	+	17302469	17303390	17302469	17302786	17302838	17303390	602	93,76,77	61,54,38	111,88,142	34,22,26	126	74	5.57979207838e-07	8.25344244927e-06	0.472,0.453,0.543	0.657,0.701,0.762	-0.217
601	"FBgn0030838"	"CG5445"	chrX	+	17302469	17303390	17302469	17302507	17302838	17303390	601	293,264,225	3,8,4	201,178,262	19,13,17	405	74	5.96558590971e-07	8.70321779978e-06	0.947,0.858,0.911	0.659,0.714,0.738	0.202
447	"FBgn0041096"	"rols"	chr3L	-	12055193	12056474	12055193	12055732	12056229	12056474	447	3,9,4	0,0,0	2,0,9	2,2,0	571	74	6.18289209275e-07	8.89835145781e-06	1.0,1.0,1.0	0.115,0.0,1.0	0.628
1372	"FBgn0086347"	"Myo31DF"	chr2L	-	10505925	10506779	10505925	10506106	10506683	10506779	1372	658,454,398	55,36,36	457,408,541	61,92,117	651	74	6.70539085368e-07	9.52165501223e-06	0.576,0.589,0.557	0.46,0.335,0.345	0.194
746	"FBgn0010198"	"RpS15Aa"	chrX	-	13337504	13337638	13337504	13337539	13337606	13337638	746	346,222,340	493,401,608	61,133,122	200,390,310	141	74	1.09988755814e-06	1.54128980187e-05	0.269,0.225,0.227	0.138,0.152,0.171	0.087
495	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27066728	27066884	495	542,477,505	16,24,22	372,378,387	26,48,36	137	74	1.24892602538e-06	1.72741067147e-05	0.948,0.915,0.925	0.885,0.81,0.853	0.08
1343	"FBgn0026620"	"tacc"	chr3R	-	4734411	4735346	4734411	4734853	4735164	4735346	1343	3712,3236,3402	12,10,15	2586,2523,2691	21,24,31	385	74	1.38876916933e-06	1.89620405812e-05	0.983,0.984,0.978	0.959,0.953,0.943	0.03
1322	"FBgn0038013"	"CG10038"	chr3R	-	12350373	12350644	12350373	12350465	12350543	12350644	1322	67,25,31	100,73,79	35,50,73	34,43,39	152	74	1.41114173413e-06	1.90236195804e-05	0.246,0.143,0.16	0.334,0.361,0.477	-0.208
896	"FBgn0027108"	"Inx2"	chrX	+	6998957	7004151	6998957	7000263	7002771	7004151	896	204,166,237	66,55,39	87,100,97	37,68,53	2582	74	1.9240931064e-06	2.5614489479e-05	0.081,0.08,0.148	0.063,0.04,0.05	0.052
738	"FBgn0262732"	"mbf1"	chr3L	+	16574644	16574976	16574644	16574752	16574852	16574976	738	260,181,196	683,392,508	227,270,270	349,381,423	174	74	2.6278022135e-06	3.45507328071e-05	0.139,0.164,0.141	0.217,0.232,0.214	-0.073
1271	"FBgn0261854"	"aPKC"	chr2R	-	14945113	14946417	14945113	14946090	14946149	14946417	1271	104,97,79	71,63,64	117,121,121	43,39,38	133	74	2.66910471447e-06	3.46658112306e-05	0.449,0.461,0.407	0.602,0.633,0.639	-0.186
980	"FBgn0030049"	"Trf4-1"	chrX	+	8563152	8564375	8563152	8563547	8563659	8564375	980	42,60,31	23,20,17	154,111,131	14,13,27	186	74	3.57923487204e-06	4.59263269726e-05	0.421,0.544,0.42	0.814,0.773,0.659	-0.287
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	98,64,120	828,713,975	127,125,126	574,651,765	158	74	3.96539519398e-06	5.02755462094e-05	0.053,0.04,0.055	0.094,0.083,0.072	-0.034
57	"FBgn0038294"	"Mf"	chr3R	-	15176363	15178489	15176363	15176427	15178279	15178489	57	902,817,794	38,35,45	334,379,313	26,38,40	1926	74	5.09777697133e-06	6.38721467584e-05	0.477,0.473,0.404	0.33,0.277,0.231	0.172
722	"FBgn0260398"	"Pbp49"	chr2R	-	8129353	8131323	8129353	8131172	8131255	8131323	722	181,109,129	15,12,7	214,224,299	4,3,8	157	74	5.48793747646e-06	6.7961086191e-05	0.85,0.811,0.897	0.962,0.972,0.946	-0.107
639	"FBgn0004227"	"nonA"	chrX	+	16365586	16368526	16365586	16365642	16366903	16368526	639	68,48,46	214,158,208	69,67,78	118,129,145	1335	74	5.96421743182e-06	7.30102478723e-05	0.017,0.017,0.012	0.031,0.028,0.029	-0.014
1542	"FBgn0030674"	"CG8184"	chrX	+	15721545	15724378	15721545	15723124	15723232	15724378	1542	76,64,44	14,20,14	216,168,216	13,18,19	182	74	6.06650529167e-06	7.34185015412e-05	0.688,0.565,0.561	0.871,0.791,0.822	-0.223
1006	"FBgn0030328"	"Amun"	chrX	-	11712768	11713805	11712768	11713688	11713754	11713805	1006	43,41,49	142,120,97	46,56,53	335,220,307	140	74	6.32869675055e-06	7.57310341498e-05	0.138,0.153,0.211	0.068,0.119,0.084	0.077
1017	"FBgn0028577"	"pUf68"	chr3L	-	1499042	1501892	1499042	1499337	1501798	1501892	1017	1606,1276,1161	184,160,134	649,619,884	129,135,149	2535	74	6.76901372754e-06	8.00999957759e-05	0.203,0.189,0.202	0.128,0.118,0.148	0.067
935	"FBgn0025637"	"SkpA"	chrX	+	656355	657899	656355	656604	657098	657899	935	397,357,369	98,87,86	243,153,219	92,78,92	568	74	7.76455999851e-06	9.08709494331e-05	0.345,0.348,0.359	0.256,0.204,0.237	0.118
1512	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665699	12665799	1512	648,631,564	54,29,31	774,745,940	18,26,20	541	74	8.41623089598e-06	9.7427020698e-05	0.621,0.749,0.713	0.855,0.797,0.865	-0.145
1260	"FBgn0020440"	"Fak"	chr2R	-	19436547	19437259	19436547	19436643	19437214	19437259	1260	135,172,91	0,0,1	146,195,268	6,1,9	645	74	8.75360022567e-06	9.94963345622e-05	1.0,1.0,0.913	0.736,0.957,0.774	0.149
59	"FBgn0038294"	"Mf"	chr3R	-	15176363	15178489	15176363	15176433	15176538	15178489	59	67,55,83	1,1,2	21,56,41	5,7,5	179	74	8.7818361022e-06	9.94963345622e-05	0.965,0.958,0.945	0.635,0.768,0.772	0.231
370	"FBgn0035397"	"CG11486"	chr3L	+	3071132	3071307	3071132	3071189	3071256	3071307	370	4,3,6	7,4,8	21,12,11	1,3,3	141	74	9.21397906051e-06	0.000103293554731	0.231,0.282,0.282	0.917,0.677,0.658	-0.486
1131	"FBgn0032796"	"CG10188"	chr2L	-	19507489	19508764	19507489	19508265	19508351	19508764	1131	21,13,16	0,0,0	34,23,48	3,2,6	160	74	1.01116327214e-05	0.000112175925503	1.0,1.0,1.0	0.84,0.842,0.787	0.177
10	"FBgn0262737"	"mub"	chr3L	+	21920902	21921327	21920902	21920987	21921053	21921327	10	76,72,65	4,8,5	36,51,40	0,1,0	140	74	1.08359780694e-05	0.000118972336535	0.909,0.826,0.873	1.0,0.964,1.0	-0.119
1435	"FBgn0033913"	"CG8468"	chr2R	+	14219897	14220765	14219897	14220042	14220607	14220765	1435	269,282,236	132,146,137	413,378,447	360,321,380	639	74	1.21093268193e-05	0.00013159625574	0.191,0.183,0.166	0.117,0.12,0.12	0.061
579	"FBgn0067779"	"dbr"	chr2L	+	67042	67507	67042	67111	67388	67507	579	221,187,119	1,0,1	124,176,206	9,3,4	351	74	1.27284911601e-05	0.000136927707934	0.979,1.0,0.962	0.744,0.925,0.916	0.119
