ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2348	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2348	7148,5811,7504	11134,10232,13180	15201,4867,5372	9804,2735,2200	148	148	0.0	0.0	0.391,0.362,0.363	0.608,0.64,0.709	-0.28
2604	"FBgn0032634"	"Rpb11"	chr2L	-	17409855	17410030	17410087	17410177	17409697	17409793	17410251	17410406	2604	539,386,522	332,274,378	693,594,393	218,123,126	148	148	0.0	0.0	0.619,0.585,0.58	0.761,0.828,0.757	-0.187
318	"FBgn0052230"	"CG32230"	chr3L	+	23339429	23339476	23339533	23339680	23339325	23339369	23341456	23341597	318	39,15,26	3227,2485,3575	96,68,47	1964,1275,989	120	148	0.0	0.0	0.015,0.007,0.009	0.057,0.062,0.055	-0.048
342	"FBgn0010078"	"RpL23"	chr2R	+	22854479	22854529	22854646	22854858	22854382	22854412	22855444	22855694	342	107,62,100	12260,11234,14617	308,129,167	12687,8159,8067	123	148	0.0	0.0	0.01,0.007,0.008	0.028,0.019,0.024	-0.015
2359	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2359	27,21,23	115,89,121	5,3,5	210,134,121	148	148	1.57651669497e-14	7.32449656483e-12	0.19,0.191,0.16	0.023,0.022,0.04	0.152
133	"FBgn0025726"	"unc-13"	chr4	-	883566	883641	885759	885891	883142	883362	886964	892840	133	24,24,27	366,317,288	97,140,157	567,405,358	148	148	1.03472785895e-13	3.18190057637e-11	0.062,0.07,0.086	0.146,0.257,0.305	-0.163
2826	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096925	9096991	9095272	9095339	9097241	9097312	2826	34,17,22	254,194,338	73,64,45	282,155,92	134	139	9.11493103217e-14	3.18190057637e-11	0.122,0.083,0.063	0.212,0.3,0.337	-0.194
2877	"FBgn0039094"	"CG10184"	chr3R	-	23603353	23603762	23603827	23603902	23602976	23603113	23604813	23605027	2877	141,125,147	377,332,428	355,103,112	380,130,134	148	148	1.09579012531e-13	3.18190057637e-11	0.272,0.274,0.256	0.483,0.442,0.455	-0.193
309	"FBgn0000308"	"chic"	chr2L	-	5976610	5976782	5979411	5979704	5973202	5973674	5980950	5981018	309	586,434,695	2483,2270,2951	1778,586,938	4269,1614,1895	148	148	2.50577336658e-13	6.46767947841e-11	0.191,0.161,0.191	0.294,0.266,0.331	-0.116
2825	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096670	9096735	9095272	9095339	9096925	9096991	2825	33,16,21	239,185,262	73,64,45	223,224,150	134	138	3.17175175013e-11	7.36797931555e-09	0.124,0.082,0.076	0.252,0.227,0.236	-0.144
2679	"FBgn0261243"	"Psa"	chr3L	+	1518176	1518796	1519946	1520763	1517599	1517956	1521133	1522458	2679	112,110,106	190,187,127	313,123,126	223,55,61	148	148	4.40376624056e-11	9.29995361529e-09	0.371,0.37,0.455	0.584,0.691,0.674	-0.251
2673	"FBgn0000250"	"cact"	chr2L	-	16323339	16323517	16324332	16325054	16322959	16323170	16325493	16325625	2673	91,99,100	223,213,222	204,128,112	215,69,66	148	148	5.59987611837e-11	1.08404268525e-08	0.29,0.317,0.311	0.487,0.65,0.629	-0.283
208	"FBgn0020660"	"eIF-4B"	chr3L	-	27844504	27844604	27847424	27847485	27842668	27842778	27856783	27857935	208	180,156,216	639,522,640	245,346,371	495,469,565	134	148	2.44501530133e-10	4.36905426538e-08	0.237,0.248,0.272	0.353,0.449,0.42	-0.155
46	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12729930	12730151	12726745	12727116	12737958	12738176	46	293,260,279	455,366,353	281,132,88	703,343,292	148	148	8.40517655476e-10	1.39465893834e-07	0.392,0.415,0.441	0.286,0.278,0.232	0.151
2239	"FBgn0039969"	"Fis1"	chr2R	-	5604243	5604411	5604467	5604516	5603794	5604012	5604582	5604650	2239	722,398,455	904,738,867	371,301,110	1165,974,772	122	148	1.42570166783e-09	2.20793664958e-07	0.492,0.395,0.389	0.279,0.273,0.147	0.192
381	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067357	27067495	27066607	27066665	27069143	27070070	381	214,173,163	105,102,103	318,250,240	88,59,62	148	148	2.84702672548e-09	4.051109264e-07	0.671,0.629,0.613	0.783,0.809,0.795	-0.158
384	"FBgn0039970"	"CG17508"	chr2R	+	5609012	5609489	5610063	5610256	5608634	5608797	5611191	5611586	384	468,334,410	121,111,143	397,209,184	238,130,119	148	148	2.9646516353e-09	4.051109264e-07	0.795,0.751,0.741	0.625,0.617,0.607	0.146
86	"FBgn0011726"	"tsr"	chr2R	-	24044813	24044919	24044991	24045182	24044452	24044750	24046665	24046805	86	18267,13482,15048	21174,19103,22463	18622,24268,20103	17288,12717,12195	148	148	7.0477902403e-09	9.09556484901e-07	0.463,0.414,0.401	0.519,0.656,0.622	-0.173
