ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
111	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15769551	15763645	15763829	15773815	15773966	111	210,189,172	1490,1511,1410	957,421,373	3295,1340,1342	4503	984	0.0	0.0	0.03,0.027,0.026	0.06,0.064,0.057	-0.033
2359	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2359	78,84,97	269,225,277	33,18,23	516,331,351	339	315	0.0	0.0	0.212,0.258,0.246	0.056,0.048,0.057	0.185
318	"FBgn0052230"	"CG32230"	chr3L	+	23339429	23339476	23339533	23339680	23339325	23339369	23341456	23341597	318	39,15,26	6584,4921,7191	96,68,47	5481,3546,2671	121	221	0.0	0.0	0.011,0.006,0.007	0.031,0.034,0.031	-0.024
42	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12728577	12728798	12726745	12727116	12737958	12738176	42	965,853,857	55,72,37	1126,486,384	243,97,68	295	295	0.0	0.0	0.946,0.922,0.959	0.822,0.834,0.85	0.107
47	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12736035	12736256	12726745	12727116	12737958	12738176	47	965,853,857	166,141,112	1126,486,384	349,210,169	295	295	0.0	0.0	0.853,0.858,0.884	0.763,0.698,0.694	0.147
48	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12729184	12729405	12726745	12727116	12737958	12738176	48	965,853,857	78,86,35	1126,486,384	256,126,84	295	295	0.0	0.0	0.925,0.908,0.961	0.815,0.794,0.821	0.121
381	"FBgn0003495"	"spz"	chr3R	-	27066728	27066884	27067357	27067495	27066607	27066665	27069143	27070070	381	351,309,312	376,352,393	528,442,451	305,185,218	212	230	2.22044604925e-16	9.0054947626e-14	0.503,0.488,0.463	0.653,0.722,0.692	-0.204
43	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12736592	12736813	12726745	12727116	12737958	12738176	43	965,853,857	149,133,117	1126,486,384	364,176,154	295	295	5.55111512313e-16	1.96995197932e-13	0.866,0.865,0.88	0.756,0.734,0.714	0.136
2826	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096925	9096991	9095272	9095339	9097241	9097312	2826	34,17,22	254,194,338	73,64,45	282,155,92	135	140	9.10382880193e-14	2.87175221874e-11	0.122,0.083,0.063	0.212,0.3,0.337	-0.194
2963	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20960725	20960825	20948779	20948829	20963724	20963856	2963	188,171,146	4,6,12	203,129,161	46,27,39	218	174	1.22346577314e-13	3.47341932994e-11	0.974,0.958,0.907	0.779,0.792,0.767	0.167
44	"FBgn0032456"	"MRP"	chr2L	+	12728020	12728241	12730842	12731066	12726745	12727116	12737958	12738176	44	965,853,857	116,74,77	1126,486,384	279,113,81	295	298	2.33146835171e-13	6.0173078641e-11	0.894,0.921,0.918	0.803,0.813,0.827	0.097
2070	"FBgn0033159"	"Dscam1"	chr2R	-	7338640	7338928	7345484	7345775	7332260	7332380	7347848	7348010	2070	93,98,60	2,0,0	248,125,94	34,19,15	365	362	2.37099229139e-12	5.37451391085e-10	0.979,1.0,1.0	0.879,0.867,0.861	0.124
2455	"FBgn0041182"	"Tep2"	chr2L	-	7696593	7696807	7697006	7697157	7696027	7696206	7698724	7698992	2455	822,738,643	142,82,92	639,416,346	196,147,103	225	288	2.46103137869e-12	5.37451391085e-10	0.881,0.92,0.899	0.807,0.784,0.811	0.099
2077	"FBgn0033159"	"Dscam1"	chr2R	-	7338640	7338928	7344278	7344569	7332260	7332380	7347848	7348010	2077	139,149,66	2,0,0	390,157,96	34,19,15	365	362	3.14337444962e-12	6.37431433034e-10	0.986,1.0,1.0	0.919,0.891,0.864	0.104
2319	"FBgn0004607"	"zfh2"	chr4	+	524903	526520	537174	537760	521472	523104	538537	538604	2319	1526,1540,817	2268,1817,1976	2298,1074,1077	1510,967,863	1691	660	4.50883774761e-12	8.53372691031e-10	0.208,0.249,0.139	0.373,0.302,0.328	-0.136
2825	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096670	9096735	9095272	9095339	9096925	9096991	2825	33,16,21	239,185,262	73,64,45	223,224,150	135	139	3.17175175013e-11	5.62787701164e-09	0.124,0.082,0.076	0.252,0.227,0.236	-0.144
110	"FBgn0265991"	"Zasp52"	chr2R	-	15763925	15764835	15765122	15767253	15763645	15763829	15773815	15773966	110	98,98,100	1490,1511,1410	481,194,159	3295,1340,1342	2205	984	3.65590890894e-11	6.10536787793e-09	0.029,0.028,0.031	0.061,0.061,0.05	-0.028
1614	"FBgn0033159"	"Dscam1"	chr2R	-	7338249	7338537	7344278	7344569	7332260	7332380	7347848	7348010	1614	139,149,66	6,3,0	390,157,96	58,19,23	365	362	7.34095007004e-11	1.15783095827e-08	0.958,0.98,1.0	0.87,0.891,0.805	0.124
1395	"FBgn0033159"	"Dscam1"	chr2R	-	7341327	7341618	7344278	7344569	7332260	7332380	7347848	7348010	1395	139,149,66	7,3,0	390,157,96	54,27,20	365	365	1.42555078853e-10	1.92720889935e-08	0.952,0.98,1.0	0.878,0.853,0.828	0.124
208	"FBgn0020660"	"eIF-4B"	chr3L	-	27844504	27844604	27847424	27847485	27842668	27842778	27856783	27857935	208	180,156,216	668,564,680	245,346,371	517,481,573	135	174	1.42282852167e-10	1.92720889935e-08	0.258,0.263,0.29	0.379,0.481,0.455	-0.168
2348	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2348	54013,46561,57021	15187,13866,17793	75692,30423,28820	15746,4330,3484	477	191	1.3631251683e-10	1.92720889935e-08	0.587,0.573,0.562	0.658,0.738,0.768	-0.147
2877	"FBgn0039094"	"CG10184"	chr3R	-	23603353	23603762	23603827	23603902	23602976	23603113	23604813	23605027	2877	144,127,154	1904,1682,2162	356,103,112	2182,833,746	149	483	1.60374158398e-10	2.06955561678e-08	0.197,0.197,0.188	0.346,0.286,0.327	-0.126
