ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2306	"FBgn0264693"	"ens"	chr3L	-	4133548	4133656	4131955	4132212	4133768	4133822	2306	28,25,22	93,103,82	6,8,4	179,187,224	148	74	0.0	0.0	0.131,0.108,0.118	0.016,0.021,0.009	0.104
3413	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3413	195,195,179	1686,1380,1417	65,70,65	1736,2098,2587	106	74	0.0	0.0	0.075,0.09,0.081	0.025,0.023,0.017	0.06
3579	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3579	129,85,103	420,381,415	9,6,10	305,369,434	148	74	0.0	0.0	0.133,0.1,0.11	0.015,0.008,0.011	0.103
3597	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3597	299,262,231	62,56,62	168,200,236	262,298,313	148	74	0.0	0.0	0.707,0.701,0.651	0.243,0.251,0.274	0.43
359	"FBgn0014141"	"cher"	chr3R	-	17109707	17109722	17108747	17108839	17110213	17110549	359	22,22,13	153,134,58	1,0,0	80,161,174	88	74	0.0	0.0	0.108,0.121,0.159	0.01,0.0,0.0	0.126
3825	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3825	203,178,230	110,98,84	219,292,305	21,21,22	148	74	0.0	0.0	0.48,0.476,0.578	0.839,0.874,0.874	-0.351
4530	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4530	239,212,246	50,44,40	8,7,7	25,34,44	148	74	0.0	0.0	0.705,0.707,0.755	0.138,0.093,0.074	0.621
4829	"FBgn0034051"	"Mlf"	chr2R	-	15937020	15937326	15935892	15936580	15938446	15938978	4829	111,98,111	136,148,165	24,44,28	179,176,169	148	74	0.0	0.0	0.29,0.249,0.252	0.063,0.111,0.077	0.18
4869	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578551	12576567	12576993	12579128	12579356	4869	54,51,61	129,119,106	10,16,11	239,216,286	148	74	0.0	0.0	0.173,0.176,0.223	0.02,0.036,0.019	0.166
5513	"FBgn0042693"	"PP2A-B'"	chr3R	+	18171273	18171312	18169483	18170098	18171528	18171703	5513	33,36,32	215,150,157	4,0,1	324,225,317	112	74	0.0	0.0	0.092,0.137,0.119	0.008,0.0,0.002	0.113
5654	"FBgn0266410"	"CG45050"	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5654	184,123,177	323,243,209	50,72,68	300,310,410	148	74	0.0	0.0	0.222,0.202,0.297	0.077,0.104,0.077	0.154
604	"FBgn0025726"	"unc-13"	chr4	-	882616	882723	876869	877194	882960	883081	604	188,214,160	19,16,10	158,168,183	79,91,109	148	74	0.0	0.0	0.832,0.87,0.889	0.5,0.48,0.456	0.385
6050	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20948779	20948829	20962214	20962295	6050	119,118,76	35,28,32	77,84,80	120,101,146	148	74	0.0	0.0	0.63,0.678,0.543	0.243,0.294,0.215	0.366
6052	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20957733	20958167	20963724	20963856	6052	181,157,104	266,229,170	94,128,84	478,502,561	148	74	0.0	0.0	0.254,0.255,0.234	0.09,0.113,0.07	0.157
6102	"FBgn0040271"	"Sulf1"	chr3R	-	16321962	16322169	16314364	16315246	16330919	16330956	6102	144,122,71	219,160,133	62,89,85	351,393,528	148	74	0.0	0.0	0.247,0.276,0.211	0.081,0.102,0.074	0.159
738	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	738	149,126,142	2088,1647,1812	23,40,52	2069,2166,2248	148	74	0.0	0.0	0.034,0.037,0.038	0.006,0.009,0.011	0.028
940	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	940	499,469,416	582,547,513	31,50,59	586,621,751	130	74	0.0	0.0	0.328,0.328,0.316	0.029,0.044,0.043	0.285
962	"FBgn0261041"	"stj"	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	962	14,27,18	151,145,123	0,0,0	119,203,209	121	74	0.0	0.0	0.054,0.102,0.082	0.0,0.0,0.0	0.079
2811	"FBgn0264953"	"Piezo"	chr2L	+	8181983	8182049	8179871	8180029	8182304	8182450	2811	257,243,158	28,24,19	179,207,229	0,3,1	139	74	1.11022302463e-16	2.9387603462e-14	0.83,0.844,0.816	1.0,0.973,0.992	-0.158
4828	"FBgn0034051"	"Mlf"	chr2R	-	15937020	15937326	15935892	15936580	15937678	15937879	4828	301,279,297	50,48,44	80,99,84	59,53,48	148	74	1.11022302463e-16	2.9387603462e-14	0.751,0.744,0.771	0.404,0.483,0.467	0.304
613	"FBgn0025726"	"unc-13"	chr4	-	878850	878992	876869	877194	882960	883081	613	221,153,164	19,16,10	260,207,325	79,91,109	148	74	2.22044604925e-16	5.59763875463e-14	0.853,0.827,0.891	0.622,0.532,0.599	0.273
2634	"FBgn0005427"	"ewg"	chrX	-	269430	269468	268508	269366	271087	271209	2634	0,0,3	5,5,3	2,2,7	0,0,0	111	74	1.11022302463e-15	2.67160031472e-13	0.0,0.0,0.4	1.0,1.0,1.0	-0.867
589	"FBgn0025726"	"unc-13"	chr4	-	906027	906997	903336	903471	907073	907550	589	162,160,176	58,44,31	208,178,227	200,196,232	148	74	1.55431223448e-15	3.42855373722e-13	0.583,0.645,0.739	0.342,0.312,0.329	0.328
794	"FBgn0039959"	"CG17514"	chr3L	-	27987737	27988702	27967243	27974140	28012380	28012483	794	244,161,134	50,38,29	180,341,320	13,13,12	148	74	1.55431223448e-15	3.42855373722e-13	0.709,0.679,0.698	0.874,0.929,0.93	-0.216
1228	"FBgn0005672"	"spi"	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	1228	951,782,798	296,220,225	1536,1146,1398	202,173,152	148	74	2.22044604925e-15	4.70201655389e-13	0.616,0.64,0.639	0.792,0.768,0.821	-0.162
4282	"FBgn0013576"	"mtd"	chr3R	-	5291989	5292079	5274965	5275087	5292639	5292841	4282	18,20,33	159,149,135	0,1,9	159,189,209	148	74	1.13242748512e-14	2.30579657932e-12	0.054,0.063,0.109	0.0,0.003,0.021	0.067
6413	"FBgn0034971"	"CG3209"	chr2R	+	24071990	24072224	24069999	24070242	24072704	24072961	6413	463,403,472	37,18,34	185,294,249	53,63,49	148	74	1.18793863635e-14	2.32923968179e-12	0.862,0.918,0.874	0.636,0.7,0.718	0.2
146	"FBgn0264492"	"CkIIalpha"	chr3L	+	23100219	23100357	23099639	23099723	23102121	23103460	146	558,374,508	106,95,123	399,494,422	199,248,300	148	74	3.81916720471e-14	7.22095399348e-12	0.725,0.663,0.674	0.501,0.499,0.413	0.216
4431	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4431	1724,1330,877	217,156,115	1142,1425,1521	288,369,406	148	74	2.74891220897e-13	5.01818663251e-11	0.799,0.81,0.792	0.665,0.659,0.652	0.142
148	"FBgn0264492"	"CkIIalpha"	chr3L	+	23100244	23100357	23099639	23099723	23102121	23103460	148	608,434,560	106,95,123	474,614,545	199,248,300	148	74	7.83928477688e-13	1.38337245363e-10	0.741,0.696,0.695	0.544,0.553,0.476	0.186
2806	"FBgn0264953"	"Piezo"	chr2L	+	8185125	8185278	8184814	8184850	8186116	8186255	2806	21,23,17	112,105,80	5,1,12	158,177,213	148	74	1.59428026336e-12	2.72261926265e-10	0.086,0.099,0.096	0.016,0.003,0.027	0.078
2478	"FBgn0053113"	"Rtnl1"	chr2L	-	5004171	5004207	4994786	4994994	5008180	5009720	2478	65,55,67	153,141,147	85,105,120	65,98,107	109	74	3.56303875293e-12	5.89460223688e-10	0.224,0.209,0.236	0.47,0.421,0.432	-0.218
669	"FBgn0003256"	"rl"	chr2R	+	1076815	1076877	1076634	1076761	1080330	1080441	669	67,38,54	588,440,440	15,22,17	524,542,568	135	74	4.12703204944e-12	6.62075989992e-10	0.059,0.045,0.063	0.015,0.022,0.016	0.038
