ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"FBgn0034743"	"RpS16"	chr2R	+	22606246	22606288	22606508	22606640	22606020	22606169	22606933	22607048	15	69,72,103	28287,24037,32494	82,126,109	5301,6252,8630	116	206	0.0	0.0	0.004,0.005,0.006	0.027,0.035,0.022	-0.023
164	"FBgn0036821"	"CG3961"	chr3L	-	18887060	18887215	18887552	18887746	18881077	18881251	18890189	18890281	164	1616,1361,1013	1194,1076,932	1539,1914,1943	535,582,606	268	229	0.0	0.0	0.536,0.519,0.482	0.711,0.738,0.733	-0.215
2114	"FBgn0003475"	"spir"	chr2L	+	20339244	20339375	20339979	20340112	20336469	20336549	20343598	20343672	2114	609,647,650	476,499,478	572,853,767	123,194,243	205	207	0.0	0.0	0.564,0.567,0.579	0.824,0.816,0.761	-0.23
2115	"FBgn0003475"	"spir"	chr2L	+	20339244	20339375	20339979	20340112	20322009	20322080	20343598	20343672	2115	143,183,182	476,498,479	280,428,382	123,194,242	205	207	0.0	0.0	0.233,0.271,0.277	0.697,0.69,0.614	-0.407
2120	"FBgn0261113"	"Xrp1"	chr3R	+	18919422	18919512	18920412	18921319	18918259	18918625	18925077	18925796	2120	1270,1263,985	13933,13336,11701	396,614,581	11480,16142,16882	164	981	0.0	0.0	0.353,0.362,0.335	0.171,0.185,0.171	0.174
2206	"FBgn0039969"	"Fis1"	chr2R	-	5603899	5604012	5604467	5604516	5603586	5603761	5604582	5604650	2206	722,398,456	474,404,499	99,124,142	494,633,639	123	187	0.0	0.0	0.698,0.6,0.581	0.234,0.229,0.253	0.388
2222	"FBgn0250823"	"gish"	chr3R	+	16274151	16275169	16289630	16289839	16273000	16273330	16292723	16292834	2222	2449,2286,1739	925,846,733	2473,3437,2844	461,584,538	1092	283	0.0	0.0	0.407,0.412,0.381	0.582,0.604,0.578	-0.188
2298	"FBgn0261545"	"CG42663"	chr2R	+	12722304	12723006	12734920	12735119	12705171	12705636	12738435	12738504	2298	1705,1593,1227	352,369,240	1242,1437,1179	651,713,629	776	273	0.0	0.0	0.63,0.603,0.643	0.402,0.415,0.397	0.221
2302	"FBgn0002590"	"RpS5a"	chrX	-	17145015	17145132	17146797	17147200	17144617	17144716	17148203	17148264	2302	54013,46561,57021	15187,13866,17793	21840,24528,30920	2554,2921,4658	477	191	0.0	0.0	0.587,0.573,0.562	0.774,0.771,0.727	-0.183
2310	"FBgn0262614"	"pyd"	chr3R	-	8832703	8832944	8833473	8833738	8832353	8832645	8833974	8834074	2310	78,84,97	269,225,277	0,0,1	113,135,173	339	315	0.0	0.0	0.212,0.258,0.246	0.0,0.0,0.005	0.237
