ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
113	"FBgn0025726"	"unc-13"	chr4	-	882616	882723	882960	883081	878850	878992	883142	883362	113	242,183,191	99,88,65	209,208,203	17,17,30	148	148	0.0	0.0	0.71,0.675,0.746	0.925,0.924,0.871	-0.196
178	"FBgn0020660"	"eIF-4B"	chr3L	-	27844504	27844604	27847424	27847485	27842668	27842778	27856783	27857935	178	180,156,216	639,522,640	252,258,191	298,334,268	134	148	0.0	0.0	0.237,0.248,0.272	0.483,0.46,0.44	-0.209
2392	"FBgn0041182"	"Tep2"	chr2L	-	7696593	7696807	7697006	7697157	7696027	7696206	7698724	7698992	2392	471,435,361	44,31,36	155,153,148	54,50,70	148	148	0.0	0.0	0.915,0.933,0.909	0.742,0.754,0.679	0.194
2399	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7698373	7698551	7696027	7696206	7698724	7698992	2399	28,17,12	471,435,361	41,50,39	155,153,148	148	148	0.0	0.0	0.056,0.038,0.032	0.209,0.246,0.209	-0.179
2400	"FBgn0041182"	"Tep2"	chr2L	-	7697006	7697157	7697976	7698130	7696027	7696206	7698724	7698992	2400	35,15,23	471,435,361	68,73,39	155,153,148	148	148	0.0	0.0	0.069,0.033,0.06	0.305,0.323,0.209	-0.225
2527	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13490739	13490871	13487973	13488132	13491434	13491593	2527	358,394,356	239,212,246	375,435,373	11,25,28	148	148	0.0	0.0	0.6,0.65,0.591	0.972,0.946,0.93	-0.336
2528	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13489741	13489873	13487973	13488132	13491434	13491593	2528	38,34,40	239,212,246	52,42,36	11,25,28	148	148	0.0	0.0	0.137,0.138,0.14	0.825,0.627,0.563	-0.533
2533	"FBgn0262109"	"CR42862"	chr3L	+	224972	225140	225725	229244	224105	224183	229588	230964	2533	732,665,460	85,69,52	683,913,802	16,30,12	148	148	0.0	0.0	0.896,0.906,0.898	0.977,0.968,0.985	-0.077
116	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	878850	878992	882960	883081	116	283,290,218	12,4,10	92,109,123	26,24,20	148	148	1.22124532709e-15	2.89299448595e-13	0.959,0.986,0.956	0.78,0.82,0.86	0.147
1675	"FBgn0033159"	"Dscam1"	chr2R	-	7356972	7357096	7359221	7359345	7348130	7348975	7361717	7361867	1675	0,0,0	4,4,2	4,2,5	0,1,1	148	148	4.10782519111e-15	8.75788330745e-13	0.0,0.0,0.0	1.0,0.667,0.833	-0.833
1202	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7359221	7359345	7348130	7348975	7361717	7361867	1202	0,0,0	4,4,1	4,2,5	2,0,0	148	148	6.2172489379e-15	1.20501588505e-12	0.0,0.0,0.0	0.667,1.0,1.0	-0.889
1217	"FBgn0033159"	"Dscam1"	chr2R	-	7352898	7353022	7355086	7355210	7348130	7348975	7361717	7361867	1217	0,0,0	4,4,1	2,3,6	2,0,0	148	148	7.92699239582e-14	1.40836231566e-11	0.0,0.0,0.0	0.5,1.0,1.0	-0.833
2397	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7697976	7698130	7696027	7696206	7698724	7698992	2397	35,15,23	277,216,221	68,73,39	164,210,146	148	148	2.07611705605e-13	3.40483197192e-11	0.112,0.065,0.094	0.293,0.258,0.211	-0.164
115	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	882616	882723	876869	877194	882960	883081	115	188,214,160	3,0,4	76,96,94	17,9,13	148	148	6.25499652074e-13	9.52546613016e-11	0.984,1.0,0.976	0.817,0.914,0.879	0.117
2407	"FBgn0041210"	"HDAC4"	chrX	-	13271481	13271589	13276434	13276547	13270390	13270642	13285202	13285632	2407	36,24,9	107,76,75	2,3,6	90,128,101	148	148	2.82595058465e-11	4.01661776432e-09	0.252,0.24,0.107	0.022,0.023,0.056	0.166
2607	"FBgn0039890"	"CG2316"	chr4	-	188577	189248	189997	190061	188424	188523	193544	193829	2607	34,26,17	191,167,188	5,7,10	245,287,199	137	148	5.40785194403e-11	7.20596271542e-09	0.161,0.144,0.089	0.022,0.026,0.051	0.098
1112	"FBgn0033159"	"Dscam1"	chr2R	-	7359221	7359345	7359441	7359565	7348130	7348975	7361717	7361867	1112	3,5,1	0,0,0	1,2,3	4,2,5	148	148	1.03105746163e-10	1.29306735776e-08	1.0,1.0,1.0	0.2,0.5,0.375	0.642
2396	"FBgn0041182"	"Tep2"	chr2L	-	7697400	7697581	7698373	7698551	7696027	7696206	7698724	7698992	2396	28,17,12	277,216,221	41,50,39	164,210,146	148	148	1.87622473113e-10	2.22228395932e-08	0.092,0.073,0.052	0.2,0.192,0.211	-0.129
1397	"FBgn0033159"	"Dscam1"	chr2R	-	7355685	7355809	7356972	7357096	7348130	7348975	7361717	7361867	1397	4,4,2	0,1,0	0,1,1	2,2,5	148	148	3.47990636307e-10	3.70958018303e-08	1.0,0.8,1.0	0.0,0.333,0.167	0.767
983	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7359221	7359345	7348130	7348975	7361717	7361867	983	0,0,0	2,4,1	4,2,5	4,1,2	148	148	3.45902084753e-10	3.70958018303e-08	0.0,0.0,0.0	0.5,0.667,0.714	-0.627
117	"FBgn0025726"	"unc-13"	chr4	-	878850	878992	881842	881949	876869	877194	882960	883081	117	3,0,4	221,153,164	17,9,13	105,157,109	148	148	5.62103030788e-10	5.57009124884e-08	0.013,0.0,0.024	0.139,0.054,0.107	-0.088
751	"FBgn0033159"	"Dscam1"	chr2R	-	7355086	7355210	7357590	7357714	7348130	7348975	7361717	7361867	751	2,1,1	0,0,0	1,4,2	2,3,6	148	148	5.74774894346e-10	5.57009124884e-08	1.0,1.0,1.0	0.333,0.571,0.25	0.615
1344	"FBgn0033159"	"Dscam1"	chr2R	-	7354685	7354809	7355086	7355210	7348130	7348975	7361717	7361867	1344	0,0,0	9,5,4	2,3,6	3,2,4	148	148	8.06543831722e-10	7.40808933641e-08	0.0,0.0,0.0	0.4,0.6,0.6	-0.533
2707	"FBgn0083124"	"Uhg4"	chr2R	+	9095897	9095958	9096149	9096202	9095272	9095339	9096382	9096438	2707	33,16,24	227,153,225	2,4,3	153,158,122	134	126	8.33931257382e-10	7.40808933641e-08	0.12,0.09,0.091	0.012,0.023,0.023	0.081
1000	"FBgn0033159"	"Dscam1"	chr2R	-	7350781	7350905	7355086	7355210	7348130	7348975	7361717	7361867	1000	0,0,0	2,4,1	2,3,6	4,1,2	148	148	1.39966815915e-09	1.1477278905e-07	0.0,0.0,0.0	0.333,0.75,0.75	-0.611
