ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3056	"FBgn0021765"	"scu"	chrX	+	18091554	18091654	18091258	18091390	18091951	18092853	3056	37,22,46	273,243,283	4,8,5	319,309,386	148	74	0.0	0.0	0.063,0.043,0.075	0.006,0.013,0.006	0.052
3278	"FBgn0051363"	"Jupiter"	chr3R	-	11593321	11593354	11592366	11592624	11593632	11593766	3278	195,195,179	1686,1380,1417	16,30,31	1564,1901,1760	106	74	0.0	0.0	0.075,0.09,0.081	0.007,0.011,0.012	0.072
3441	"FBgn0262734"	"Rbp2"	chrX	+	16451701	16451791	16451274	16451559	16451918	16453615	3441	129,85,103	420,381,415	5,2,2	278,339,321	148	74	0.0	0.0	0.133,0.1,0.11	0.009,0.003,0.003	0.109
3458	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3458	299,262,231	62,56,62	230,223,260	185,175,223	148	74	0.0	0.0	0.707,0.701,0.651	0.383,0.389,0.368	0.306
3667	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3667	203,178,230	110,98,84	204,267,236	19,17,33	148	74	0.0	0.0	0.48,0.476,0.578	0.843,0.887,0.781	-0.326
3887	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536565	22536114	22536378	22536620	22536650	3887	8673,5663,7200	22,22,32	2802,3507,5255	66,80,107	102	74	0.0	0.0	0.997,0.995,0.994	0.969,0.97,0.973	0.025
4256	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4256	1724,1330,877	217,156,115	571,778,709	168,282,254	148	74	0.0	0.0	0.799,0.81,0.792	0.63,0.58,0.583	0.203
4258	"FBgn0004838"	"Hrb27C"	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	4258	1220,950,645	217,156,115	460,580,528	168,282,254	148	74	0.0	0.0	0.738,0.753,0.737	0.578,0.507,0.51	0.211
4356	"FBgn0033844"	"bbc"	chr2R	-	13488916	13489048	13487973	13488132	13491434	13491593	4356	239,212,246	50,44,40	18,29,30	20,33,36	148	74	0.0	0.0	0.705,0.707,0.755	0.31,0.305,0.294	0.419
4389	"FBgn0262109"	"CR42862"	chr3L	+	225725	229244	224105	224183	229588	230964	4389	85,69,52	0,0,0	36,38,47	9,19,22	148	74	0.0	0.0	1.0,1.0,1.0	0.667,0.5,0.516	0.439
