ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1003	"FBgn0000578"	"ena"	chr2R	+	19159782	19160035	19159794	19160035	19159119	19159352	1003	46	364	61	42	86	75	0.0	0.0	0.099	0.559	-0.46
1034	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1034	71	158	213	93	92	75	0.0	0.0	0.268	0.651	-0.383
1113	"FBgn0001105"	"Gbeta13F"	chrX	+	15861235	15861492	15861376	15861492	15860114	15860250	1113	410	629	788	186	150	75	0.0	0.0	0.246	0.679	-0.433
1114	"FBgn0001105"	"Gbeta13F"	chrX	+	15860988	15861492	15861376	15861492	15860114	15860250	1114	412	629	758	186	150	75	0.0	0.0	0.247	0.671	-0.424
1582	"FBgn0032156"	"CG13124"	chr2L	-	9907607	9907847	9907607	9907783	9908424	9908633	1582	292	731	698	548	138	75	0.0	0.0	0.178	0.409	-0.231
1584	"FBgn0032156"	"CG13124"	chr2L	-	9907607	9907855	9907607	9907783	9908424	9908633	1584	286	731	545	548	146	75	0.0	0.0	0.167	0.338	-0.171
1617	"FBgn0000256"	"capu"	chr2L	-	3886983	3887799	3886983	3887556	3893261	3893604	1617	48	372	181	115	150	75	0.0	0.0	0.061	0.44	-0.379
1658	"FBgn0024734"	"PRL-1"	chr2L	-	16248830	16249706	16248830	16249091	16250080	16250158	1658	3312	36	2234	156	150	75	0.0	0.0	0.979	0.877	0.102
1823	"FBgn0015222"	"Fer1HCH"	chr3R	-	30387463	30387642	30387463	30387550	30387774	30387860	1823	3171	3293	899	5741	150	75	0.0	0.0	0.325	0.073	0.252
1825	"FBgn0015222"	"Fer1HCH"	chr3R	-	30387463	30387602	30387463	30387550	30387774	30387860	1825	4369	3293	1255	5741	126	75	0.0	0.0	0.441	0.115	0.326
1958	"FBgn0061515"	"endos"	chr3L	-	14030806	14031057	14030806	14031002	14031388	14031706	1958	118	1303	543	373	129	75	0.0	0.0	0.05	0.458	-0.408
1960	"FBgn0061515"	"endos"	chr3L	-	14030806	14031230	14030806	14031002	14031388	14031706	1960	119	1303	388	373	150	75	0.0	0.0	0.044	0.342	-0.298
2098	"FBgn0042693"	"PP2A-B'"	chr3R	+	18169483	18170098	18169656	18170098	18167756	18167867	2098	445	31	167	104	150	75	0.0	0.0	0.878	0.445	0.433
374	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18248214	18248579	18248232	18248579	18247970	18248151	374	3231	986	2035	197	92	75	0.0	0.0	0.728	0.894	-0.166
611	"FBgn0004587"	"B52"	chr3R	+	13666355	13666891	13666418	13666891	13666083	13666248	611	13	273	104	77	137	75	0.0	0.0	0.025	0.425	-0.4
710	"FBgn0003495"	"spz"	chr3R	-	27066607	27066884	27066607	27066665	27067121	27067199	710	502	895	183	79	150	75	0.0	0.0	0.219	0.537	-0.318
715	"FBgn0010762"	"simj"	chr3L	+	10687051	10687162	10687075	10687162	10685963	10686261	715	13	128	74	29	98	75	0.0	0.0	0.072	0.661	-0.589
