ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1053	"FBgn0013305"	"Nmda1"	chr2R	-	12878384	12879222	12878384	12878710	12879196	12879222	1053	224,366,276	51,86,56	349,170,164	342,252,163	560	74	0.0	0.0	0.367,0.36,0.394	0.119,0.082,0.117	0.268
1135	"FBgn0034138"	"RpS15"	chr2R	-	16570916	16571230	16570916	16571005	16571188	16571230	1135	1413,1374,1319	4378,7663,5590	836,378,288	11895,4625,4259	257	74	0.0	0.0	0.085,0.049,0.064	0.02,0.023,0.019	0.045
1157	"FBgn0004403"	"RpS14a"	chrX	+	7933741	7934270	7933741	7933774	7934008	7934270	1157	233,337,217	373,920,630	259,141,138	2413,503,845	308	74	0.0	0.0	0.13,0.081,0.076	0.025,0.063,0.038	0.054
1210	"FBgn0261608"	"RpL37A"	chr2L	+	5070999	5071157	5070999	5071030	5071102	5071157	1210	477,930,634	165,269,150	1206,307,443	1313,958,1625	146	74	0.0	0.0	0.594,0.637,0.682	0.318,0.14,0.121	0.445
1323	"FBgn0025638"	"Roc1a"	chrX	+	647303	647637	647303	647525	647609	647637	1323	46,62,51	694,892,703	169,147,125	825,731,644	158	74	0.0	0.0	0.03,0.032,0.033	0.088,0.086,0.083	-0.054
1375	"FBgn0011272"	"RpL13"	chr2L	+	9967329	9967877	9967329	9967358	9967616	9967877	1375	977,2734,2080	262,815,467	3101,786,1115	5849,1121,1912	332	74	0.0	0.0	0.454,0.428,0.498	0.106,0.135,0.115	0.341
1418	"FBgn0045064"	"bwa"	chr2L	+	20072353	20073719	20072353	20072646	20073377	20073719	1418	189,262,155	111,133,97	597,386,301	95,41,33	805	74	0.0	0.0	0.135,0.153,0.128	0.366,0.464,0.456	-0.29
1435	"FBgn0033913"	"CG8468"	chr2R	+	14219897	14220765	14219897	14220042	14220607	14220765	1435	515,665,434	254,243,199	344,279,277	335,246,384	639	74	0.0	0.0	0.19,0.241,0.202	0.106,0.116,0.077	0.111
203	"FBgn0015790"	"Rab11"	chr3R	+	21111407	21111855	21111407	21111466	21111654	21111855	203	462,629,489	192,393,249	877,445,429	1330,727,651	262	74	0.0	0.0	0.405,0.311,0.357	0.157,0.147,0.157	0.204
274	"FBgn0058191"	"CG40191"	chr2R	+	1265342	1266349	1265342	1266052	1266191	1266349	274	357,500,463	77,79,76	503,613,507	33,24,10	213	74	0.0	0.0	0.617,0.687,0.679	0.841,0.899,0.946	-0.234
514	"FBgn0024807"	"DIP1"	chrX	-	21628360	21630148	21628360	21628754	21629973	21630148	514	775,937,643	3,5,3	1141,647,493	84,53,57	1293	74	0.0	0.0	0.937,0.915,0.925	0.437,0.411,0.331	0.533
562	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	562	889,1176,820	3,7,9	1690,1345,1230	78,51,51	253	74	0.0	0.0	0.989,0.98,0.964	0.864,0.885,0.876	0.103
566	"FBgn0037890"	"CG17734"	chr3R	-	11242207	11243013	11242207	11242563	11242823	11243013	566	128,188,141	348,440,343	446,294,246	371,216,206	334	74	0.0	0.0	0.075,0.086,0.083	0.21,0.232,0.209	-0.136
626	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348385	20348941	20349206	626	217,279,232	29,68,38	229,108,103	328,130,117	630	74	0.0	0.0	0.468,0.325,0.418	0.076,0.089,0.094	0.317
627	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20349206	20348354	20348421	20348941	20349206	627	217,279,232	36,96,55	227,108,103	296,208,173	594	74	0.0	0.0	0.429,0.266,0.344	0.087,0.061,0.069	0.274
775	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637927	16638232	16638303	775	2140,4116,2776	1280,2348,1535	1677,963,1105	9008,2003,2986	379	74	0.0	0.0	0.246,0.255,0.261	0.035,0.086,0.067	0.191
776	"FBgn0010412"	"RpS19a"	chrX	+	16637893	16638303	16637893	16637949	16638232	16638303	776	2140,4116,2776	51,64,48	1677,963,1105	110,46,64	357	74	0.0	0.0	0.897,0.93,0.923	0.76,0.813,0.782	0.132
859	"FBgn0015521"	"RpS21"	chr2L	+	2856376	2856705	2856376	2856568	2856630	2856705	859	6689,7504,6062	181,217,142	6781,3600,2999	107,10,9	136	74	0.0	0.0	0.953,0.95,0.959	0.972,0.995,0.995	-0.033
870	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	870	386,582,448	23,34,31	518,151,224	119,37,85	349	74	0.0	0.0	0.781,0.784,0.754	0.48,0.464,0.358	0.339
