ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1571	"FBgn0004587"	"B52"	chr3R	+	13663454	13664934	13662969	13663051	13665452	13665526	1571	1554,2281,1589	773,801,694	2359,2447,2610	419,482,479	1554	74	0.0	0.0	0.087,0.119,0.098	0.211,0.195,0.206	-0.103
1824	"FBgn0003495"	"spz"	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	1824	356,525,457	593,754,620	465,465,554	266,310,294	212	74	0.0	0.0	0.173,0.196,0.205	0.379,0.344,0.397	-0.182
2235	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2235	327,411,350	418,435,365	95,149,142	650,512,672	491	74	0.0	0.0	0.105,0.125,0.126	0.022,0.042,0.031	0.087
2677	"FBgn0015286"	"Rala"	chrX	-	3707367	3707491	3704983	3706251	3708743	3708918	2677	1242,1531,1216	36,43,24	1151,1295,1351	152,171,150	198	74	0.0	0.0	0.928,0.93,0.95	0.739,0.739,0.771	0.186
2937	"FBgn0086254"	"CG6084"	chr3L	-	11620922	11621103	11620534	11620665	11621213	11621422	2937	1070,1396,1209	486,581,499	499,545,551	451,546,543	255	74	0.0	0.0	0.39,0.411,0.413	0.243,0.225,0.227	0.173
3314	"FBgn0038535"	"alt"	chr3R	-	17675641	17675737	17675074	17675533	17676086	17676749	3314	198,299,223	73,115,74	206,237,278	262,298,313	170	74	0.0	0.0	0.541,0.531,0.567	0.255,0.257,0.279	0.283
357	"FBgn0035060"	"Eps-15"	chr2R	-	24772940	24773003	24772597	24772795	24773211	24773301	357	176,221,154	18,16,6	119,134,174	63,67,78	137	74	0.0	0.0	0.841,0.882,0.933	0.505,0.519,0.546	0.362
411	"FBgn0000636"	"Fas3"	chr2L	+	18391051	18391364	18387286	18387317	18392244	18393441	411	0,3,3	6,1,3	6,6,20	0,0,0	387	74	0.0	0.0	0.0,0.365,0.161	1.0,1.0,1.0	-0.825
4243	"FBgn0033699"	"RpS11"	chr2R	-	12200427	12200550	12199833	12200039	12200774	12200815	4243	33,39,28	1,0,1	23,27,29	26,42,48	197	74	0.0	0.0	0.925,1.0,0.913	0.249,0.195,0.185	0.736
4596	"FBgn0002183"	"dre4"	chr3L	-	1872353	1872470	1871573	1871917	1872581	1872735	4596	582,800,557	243,347,313	310,302,304	556,440,594	191	74	0.0	0.0	0.481,0.472,0.408	0.178,0.21,0.165	0.269
4771	"FBgn0082582"	"tmod"	chr3R	+	30576597	30576818	30572924	30573072	30577178	30577558	4771	30,57,19	771,779,622	202,127,191	711,641,745	295	74	0.0	0.0	0.01,0.018,0.008	0.067,0.047,0.06	-0.046
4775	"FBgn0082582"	"tmod"	chr3R	+	30575431	30575948	30572924	30573072	30577178	30577558	4775	99,150,102	771,779,622	338,309,379	711,641,745	591	74	0.0	0.0	0.016,0.024,0.02	0.056,0.057,0.06	-0.038
4808	"FBgn0020309"	"crol"	chr2L	-	11806047	11806157	11803784	11803898	11809125	11809438	4808	648,861,613	25,36,19	827,920,1011	139,130,167	184	74	0.0	0.0	0.912,0.906,0.928	0.705,0.74,0.709	0.197
4810	"FBgn0020309"	"crol"	chr2L	-	11797828	11798041	11795171	11797741	11798664	11799402	4810	1355,1559,1088	23,25,12	810,1199,1253	60,103,96	287	74	0.0	0.0	0.938,0.941,0.959	0.777,0.75,0.771	0.18
4998	"FBgn0083124"	"Uhg4"	chr2R	+	9095577	9095629	9095272	9095339	9095897	9095958	4998	300,464,405	0,0,2	455,434,517	44,49,39	126	74	0.0	0.0	1.0,1.0,0.992	0.859,0.839,0.886	0.136
524	"FBgn0025726"	"unc-13"	chr4	-	906027	906997	903336	903471	907073	907550	524	1994,3153,2066	26,34,12	2936,2858,3541	200,196,232	1044	74	0.0	0.0	0.845,0.868,0.924	0.51,0.508,0.52	0.366
5419	"FBgn0033463"	"CG1513"	chr2R	-	9884084	9884206	9883896	9884002	9884621	9884708	5419	648,849,638	9,11,10	819,726,868	91,54,65	196	74	0.0	0.0	0.965,0.967,0.96	0.773,0.835,0.834	0.15
549	"FBgn0025726"	"unc-13"	chr4	-	874245	874467	872126	872225	875202	875484	549	358,534,366	6,18,15	439,434,508	58,72,105	296	74	0.0	0.0	0.937,0.881,0.859	0.654,0.601,0.547	0.292
5526	"FBgn0011361"	"mtacp1"	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	5526	595,749,599	748,877,710	517,715,721	176,293,301	161	74	0.0	0.0	0.268,0.282,0.279	0.574,0.529,0.524	-0.266
5535	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20948779	20948829	20962214	20962295	5535	164,200,156	10,17,15	171,199,178	120,101,146	218	74	0.0	0.0	0.848,0.8,0.779	0.326,0.401,0.293	0.469
753	"FBgn0267795"	"CG32138"	chr3L	+	14069085	14069396	14068807	14068927	14069891	14070369	753	463,513,376	172,222,135	148,174,223	179,195,184	385	74	0.0	0.0	0.341,0.308,0.349	0.137,0.146,0.189	0.175
896	"FBgn0020660"	"eIF-4B"	chr3L	-	27847424	27847485	27844504	27844604	27856783	27857935	896	369,611,441	29,44,32	1158,740,1068	368,264,389	135	74	0.0	0.0	0.875,0.884,0.883	0.633,0.606,0.601	0.267
1894	"FBgn0024807"	"DIP1"	chrX	-	21628843	21629792	21628360	21628754	21629973	21630148	1894	745,876,592	3,5,3	529,659,714	35,30,26	1023	74	1.11022302463e-16	2.31553906485e-14	0.947,0.927,0.935	0.522,0.614,0.665	0.336
1892	"FBgn0024807"	"DIP1"	chrX	-	21628919	21629792	21628360	21628754	21629973	21630148	1892	693,829,552	3,5,3	493,618,680	35,30,26	947	74	2.22044604925e-16	4.2605918793e-14	0.948,0.928,0.935	0.524,0.617,0.671	0.333
1895	"FBgn0024807"	"DIP1"	chrX	-	21628847	21629792	21628360	21628754	21629973	21630148	1895	747,901,608	3,5,3	534,672,737	35,30,26	1019	74	2.22044604925e-16	4.2605918793e-14	0.948,0.929,0.936	0.526,0.619,0.673	0.332
