ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1276	"FBgn0024491"	"Bin1"	chr3R	-	16189202	16189564	16189202	16189374	16189504	16189564	1276	328,629,377	10,25,17	942,790,1065	213,152,205	148	74	0.0	0.0	0.943,0.926,0.917	0.689,0.722,0.722	0.218
1424	"FBgn0026573"	"ADD1"	chr2R	+	11971724	11973040	11971724	11972148	11972586	11973040	1424	73,112,67	1,8,3	52,52,61	45,33,54	148	74	0.0	0.0	0.973,0.875,0.918	0.366,0.441,0.361	0.533
1431	"FBgn0261593"	"RpS10b"	chrX	+	19598030	19598211	19598030	19598073	19598148	19598211	1431	58,93,54	260,469,327	605,350,460	616,473,591	148	74	0.0	0.0	0.1,0.09,0.076	0.329,0.27,0.28	-0.204
1457	"FBgn0250753"	"kra"	chr3R	-	5600037	5600571	5600037	5600308	5600487	5600571	1457	518,660,446	3,7,9	610,396,655	47,55,85	148	74	0.0	0.0	0.989,0.979,0.961	0.866,0.783,0.794	0.162
3027	"FBgn0260486"	"Ziz"	chr2L	-	7472512	7473889	7472512	7473199	7473297	7473889	3027	38,65,36	30,60,40	115,120,170	27,17,29	148	74	0.0	0.0	0.388,0.351,0.31	0.68,0.779,0.746	-0.385
3204	"FBgn0023170"	"RpL39"	chr2R	-	24062199	24062431	24062199	24062301	24062387	24062431	3204	1578,1464,1085	7669,17427,12876	1289,842,1188	24249,17588,22563	148	74	0.0	0.0	0.093,0.04,0.04	0.026,0.023,0.026	0.033
3450	"FBgn0034968"	"RpL12"	chr2R	+	24060377	24060582	24060377	24060444	24060512	24060582	3450	49,73,74	751,1089,807	250,193,269	1230,810,1066	141	74	0.0	0.0	0.033,0.034,0.046	0.096,0.111,0.117	-0.07
4066	"FBgn0027335"	"Rip11"	chrX	-	18636613	18636873	18636613	18636708	18636837	18636873	4066	1381,1833,1418	20,15,13	1831,1504,1823	80,58,84	148	74	0.0	0.0	0.972,0.984,0.982	0.92,0.928,0.916	0.058
3901	"FBgn0035232"	"CG12099"	chr3L	-	1557788	1558484	1557788	1558214	1558322	1558484	3901	308,408,280	2,3,1	399,352,467	27,28,32	148	74	1.11022302463e-16	4.32616905264e-14	0.987,0.986,0.993	0.881,0.863,0.879	0.114
3854	"FBgn0261673"	"nemy"	chr2R	-	12664984	12665799	12664984	12665232	12665744	12665799	3854	159,234,166	30,45,29	208,143,204	106,97,113	148	74	2.14273043753e-14	7.51455564442e-12	0.726,0.722,0.741	0.495,0.424,0.474	0.265
784	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2830953	2830707	2830781	2830865	2830953	784	130,236,187	11,23,8	128,118,150	44,32,54	148	74	6.59472476627e-14	2.10251815957e-11	0.855,0.837,0.921	0.593,0.648,0.581	0.264
516	"FBgn0016975"	"stnB"	chrX	-	22990167	22991790	22990167	22990774	22990837	22991790	516	198,272,231	17,34,25	202,201,262	65,67,82	136	74	5.97510929623e-12	1.61190063861e-09	0.864,0.813,0.834	0.628,0.62,0.635	0.209
854	"FBgn0031285"	"CG3662"	chr2L	+	823636	824337	823636	824137	824190	824337	854	550,787,588	18,20,17	892,670,900	78,62,75	126	74	5.79702952308e-12	1.61190063861e-09	0.947,0.959,0.953	0.87,0.864,0.876	0.083
2259	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642428	4641962	4642008	4642283	4642428	2259	184,296,231	23,34,31	269,212,224	86,82,78	148	74	9.78239711458e-12	2.4504904772e-09	0.8,0.813,0.788	0.61,0.564,0.589	0.213
3315	"FBgn0261564"	"CG42678"	chr2R	+	22925106	22925612	22925106	22925484	22925548	22925612	3315	60,108,75	13,27,12	85,61,73	67,42,63	137	74	2.07336370295e-11	4.8475243375e-09	0.714,0.684,0.771	0.407,0.44,0.385	0.312
1241	"FBgn0039266"	"CG11791"	chr3R	+	25050242	25051556	25050242	25050617	25051180	25051556	1241	203,281,215	198,275,203	176,137,214	367,330,363	148	74	2.9039326499e-11	6.365057377e-09	0.339,0.338,0.346	0.193,0.172,0.228	0.143
1966	"FBgn0037074"	"CG7324"	chr3L	-	21338869	21339555	21338869	21339220	21339325	21339555	1966	378,443,342	86,82,87	539,447,589	51,43,46	148	74	3.18172155289e-11	6.56370440352e-09	0.687,0.73,0.663	0.841,0.839,0.865	-0.155
