ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1229	"FBgn0013263"	"Trl"	chr3L	-	14757483	14757962	14757907	14757962	14756903	14757330	1229	81,97,64	3,8,4	48,34,33	42,45,21	148	74	0.0	0.0	0.931,0.858,0.889	0.364,0.274,0.44	0.533
1230	"FBgn0013263"	"Trl"	chr3L	-	14757841	14757962	14757907	14757962	14756903	14757330	1230	103,156,81	3,8,4	80,64,49	42,45,21	139	74	0.0	0.0	0.948,0.912,0.915	0.503,0.431,0.554	0.429
1227	"FBgn0013263"	"Trl"	chr3L	-	14757662	14757962	14757907	14757962	14756903	14757330	1227	29,46,19	3,8,4	24,20,13	42,45,21	148	74	2.22044604925e-16	1.3256062914e-13	0.829,0.742,0.704	0.222,0.182,0.236	0.545
1617	"FBgn0041210"	"HDAC4"	chrX	-	13284891	13285632	13285202	13285632	13276434	13276547	1617	66,105,43	0,0,1	90,88,67	32,24,8	148	74	4.77395900589e-15	2.13754014489e-12	1.0,1.0,0.956	0.584,0.647,0.807	0.306
210	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	210	659,913,727	588,870,639	691,565,704	1231,1004,1402	148	74	8.43769498715e-15	3.0223823444e-12	0.359,0.344,0.363	0.219,0.22,0.201	0.142
1853	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460908	30460466	30460789	30462814	30462969	1853	335,398,295	131,167,143	224,180,143	246,187,138	148	74	2.49800180541e-14	6.81740378435e-12	0.561,0.544,0.508	0.313,0.325,0.341	0.211
1854	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460890	30460466	30460789	30462814	30462969	1854	415,494,397	131,167,143	285,238,187	246,187,138	148	74	2.6645352591e-14	6.81740378435e-12	0.613,0.597,0.581	0.367,0.389,0.404	0.21
1852	"FBgn0039774"	"CDase"	chr3R	+	30460466	30460894	30460466	30460789	30462814	30462969	1852	333,395,295	131,167,143	224,176,148	246,187,138	148	74	4.08562073062e-14	9.14668341068e-12	0.56,0.542,0.508	0.313,0.32,0.349	0.209
1077	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348421	20348941	20349206	1077	29,74,41	36,96,55	25,26,26	126,99,135	148	74	2.73292499742e-12	5.43852074487e-10	0.287,0.278,0.272	0.09,0.116,0.088	0.181
1455	"FBgn0037262"	"MED31"	chr3R	+	4641962	4642422	4641962	4642008	4642568	4642658	1455	29,68,47	0,2,1	39,34,38	11,14,12	148	74	7.28450633147e-12	1.30465508397e-09	1.0,0.944,0.959	0.639,0.548,0.613	0.368
1703	"FBgn0034708"	"Vps35"	chr2R	+	22185971	22186320	22185971	22186094	22186516	22186706	1703	168,167,120	79,118,78	76,70,73	144,113,99	148	74	3.96351840237e-11	6.33374686033e-09	0.515,0.414,0.435	0.209,0.236,0.269	0.217
1737	"FBgn0022153"	"l(2)k05819"	chr2L	+	4396009	4396172	4396009	4396127	4396809	4396906	1737	24,36,32	61,76,53	79,80,46	54,43,29	118	74	4.24371648933e-11	6.33374686033e-09	0.198,0.229,0.275	0.478,0.538,0.499	-0.271
1337	"FBgn0264894"	"CG44085"	chr2L	+	13271295	13271972	13271295	13271627	13272233	13273048	1337	147,113,84	22,20,16	55,50,50	35,38,27	148	74	4.62000437906e-11	6.36494449454e-09	0.77,0.739,0.724	0.44,0.397,0.481	0.305
1081	"FBgn0036974"	"eRF1"	chr3L	+	20348354	20348650	20348354	20348385	20348941	20349206	1081	19,58,32	29,68,38	23,19,18	110,76,95	148	74	9.18212172962e-11	1.17465571555e-08	0.247,0.299,0.296	0.095,0.111,0.087	0.183
1144	"FBgn0032036"	"CG13384"	chr2L	+	8384699	8385097	8384699	8384895	8386216	8386385	1144	308,354,255	2,1,1	358,297,257	16,13,15	148	74	1.08100306484e-10	1.29071765942e-08	0.987,0.994,0.992	0.918,0.92,0.895	0.08
797	"FBgn0030808"	"RhoGAP15B"	chrX	+	16948853	16949577	16948853	16949451	16950984	16953268	797	15,25,11	64,79,64	2,1,3	66,61,52	148	74	3.14853543237e-09	3.52439184961e-07	0.105,0.137,0.079	0.015,0.008,0.028	0.09
2464	"FBgn0260936"	"scny"	chr3L	+	5774413	5775013	5774413	5774846	5775188	5775845	2464	61,82,46	7,11,5	80,90,85	34,45,44	148	74	3.41100059309e-09	3.59358944837e-07	0.813,0.788,0.821	0.541,0.5,0.491	0.297
1043	"FBgn0261802"	"CG42748"	chr2L	+	22156620	22157055	22156620	22156815	22158512	22159611	1043	7,12,10	40,53,53	32,26,20	42,25,25	148	74	7.12478465115e-09	7.08916072789e-07	0.08,0.102,0.086	0.276,0.342,0.286	-0.212
2647	"FBgn0027335"	"Rip11"	chrX	-	18637330	18637573	18637412	18637573	18636613	18636873	2647	200,190,149	508,540,450	128,107,125	674,612,613	148	74	9.68647939636e-09	9.13078136783e-07	0.164,0.15,0.142	0.087,0.08,0.093	0.065
