target_id	length	eff_length	est_counts	tpm
FBtr0302391	2612	2514.2	0	0
FBtr0299728	3946	3811.02	5.54177e-05	5.70725e-07
FBtr0333191	4111	3900.73	0	0
FBtr0077629	1785	1614.13	741.48	18.0294
FBtr0077628	998	810.991	7	0.338767
FBtr0077623	619	439.206	0	0
FBtr0077622	415	236.465	23.1342	3.83978
FBtr0077621	391	217.643	6061.83	1093.14
FBtr0077627	2889	2737.87	1339.27	19.1988
FBtr0077626	2998	2841.07	2117	29.2455
FBtr0077625	3088	2925.11	330.728	4.43759
FBtr0072052	1410	1205.82	122	3.97098
FBtr0072051	788	608.159	0	0
FBtr0072050	1249	1069.12	0	0
FBtr0072057	870	687.424	138	7.87905
FBtr0072056	1052	872.121	0	0
FBtr0072059	1221	979.49	6	0.24042
FBtr0072058	3845	3757.42	1377.12	14.3847
FBtr0088225	1139	933.792	5376.89	225.996
FBtr0088224	1076	875.069	261.109	11.7111
FBtr0088227	3220	3010.03	1527	19.9108
FBtr0088226	724	559.531	1872.06	131.315
FBtr0088221	1200	1042.03	3.62733	0.136624
FBtr0088223	1523	1348.55	1481.92	43.1298
FBtr0088222	1138	936.981	129	5.40354
FBtr0088228	1549	1348.98	4930	143.437
FBtr0308321	6762	6586.58	62.2746	0.371082
FBtr0308320	3151	2958.83	4.18553	0.05552
FBtr0308323	6713	6536.83	0	0
FBtr0308322	3799	3677.38	40.2598	0.429686
FBtr0308325	7938	7673.28	0	0
FBtr0308324	6806	6633.62	1.1328e-05	6.70229e-08
FBtr0308327	8457	8197.03	43.8403	0.209912
FBtr0308326	6286	6042.39	297.597	1.93303
FBtr0308329	7097	6852.5	2107.91	12.0732
FBtr0308328	8643	8372.86	34.3236	0.160893
FBtr0085138	2050	1879.49	1603.27	33.48
FBtr0085139	1909	1735.78	2880.4	65.1295
FBtr0085132	2635	2452.3	2025.88	32.4235
FBtr0085133	1130	950.121	0	0
FBtr0085130	2897	2634.19	1	0.0148995
FBtr0085131	1556	1391.36	881	24.8517
FBtr0085136	1514	1334.12	0	0
FBtr0085137	2128	1948.66	1530.54	30.8268
FBtr0085135	1054	874.121	0	0
FBtr0080989	852	672.159	0	0
FBtr0332234	4146	3966.12	0	0
FBtr0333107	9521	9178.24	0	0
FBtr0073015	1296	1113.92	1642	57.8547
FBtr0073016	3020	2839.52	4157	57.4585
FBtr0309054	3821	3641.12	0	0
FBtr0309055	754	611.597	47.1125	3.02336
FBtr0309056	4422	4097.53	12.5316	0.120034
FBtr0333100	2497	2444.1	0	0
FBtr0333109	9722	9361.87	4073.02	17.0755
FBtr0333108	9265	8905.67	0	0
FBtr0303755	710	530.159	0	0
FBtr0303757	5340	5223.78	0	0
FBtr0303756	4522	4353.51	456.42	4.11476
FBtr0303751	3009	2886.23	103.137	1.40251
FBtr0303750	11586	11547.8	0	0
FBtr0088736	432	251.166	4	0.625055
FBtr0303759	3841	3613.35	295.388	3.20851
FBtr0303758	1942	1715.06	92.2948	2.11211
FBtr0345678	4114	3921.77	61.0698	0.611172
FBtr0309588	112	15.8519	0	0
FBtr0309583	103	15.7917	0	0
FBtr0309580	134	19.6447	0	0
FBtr0309586	111	16.0943	0	0
